depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[8];1;1;41;0.29008007420333437;0.3690482731958475;0.4908938660735948;['ip.ttl'];0.2938570239024929;0.37049978362286196;0.32101319263332595;0.38762571857514694;0.3019931672579448;0.3761328645104496;981355;0.1123277323861136;0.15426846665605404;0.22214794849977837;{'normal': {'precision': 0.9956641548751302, 'recall': 0.37192244551673936, 'f1-score': 0.5415523189367416, 'support': 8644.00000000162}, 'Other': {'precision': 0.44814713906879494, 'recall': 0.9991813344248799, 'f1-score': 0.6187679778765959, 'support': 17101.00000001592}, 'xss': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.4908938660735948, 'macro avg': {'precision': 0.3609528234859813, 'recall': 0.3427759449854048, 'f1-score': 0.29008007420333437, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.3934106724365271, 'recall': 0.4908938660699244, 'f1-score': 0.3690482731958475, 'support': 41357.000000018765}};{'normal': {'precision': 0.8937029019709966, 'recall': 0.08182662174224689, 'f1-score': 0.14992614273973578, 'support': 671053.0}, 'Other': {'precision': 0.1772948340823164, 'recall': 0.9614978747487134, 'f1-score': 0.29938478680471864, 'support': 169627.0}, 'xss': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.22214794849977837, 'macro avg': {'precision': 0.26774943401332824, 'recall': 0.26083112412274007, 'f1-score': 0.1123277323861136, 'support': 981355.0}, 'weighted avg': {'precision': 0.641761650266442, 'recall': 0.22214794849977837, 'f1-score': 0.15426846665605404, 'support': 981355.0}}
[12];1;2;41;0.43001597923379437;0.5405120810254562;0.5986737013659567;['ip.ttl', 'tcp.window_size_value'];0.4342010002634238;0.5416651025301534;0.462145294638957;0.5502648389347713;0.44262123445305196;0.5448159759788999;981355;0.44788982166194646;0.8006094350758646;0.8262310784578466;{'normal': {'precision': 0.9908436092783128, 'recall': 0.6646766117782245, 'f1-score': 0.7956297538871615, 'support': 8644.00000000162}, 'Other': {'precision': 0.5475090861030073, 'recall': 0.9776365321644706, 'f1-score': 0.7019197089840226, 'support': 17101.00000001592}, 'xss': {'precision': 0.456983946048635, 'recall': 0.1470605650038401, 'f1-score': 0.22251445406399334, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.5986737013659567, 'macro avg': {'precision': 0.49883416035748884, 'recall': 0.4473434272366338, 'f1-score': 0.43001597923379437, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.6059532961766054, 'recall': 0.5986737013647292, 'f1-score': 0.5405120810254562, 'support': 41357.000000018765}};{'normal': {'precision': 0.9895245882055427, 'recall': 0.9504539879860459, 'f1-score': 0.969595852874332, 'support': 671053.0}, 'Other': {'precision': 0.5197636921639491, 'recall': 0.9445017597434371, 'f1-score': 0.6705310451190598, 'support': 169627.0}, 'xss': {'precision': 0.4485222019890741, 'recall': 0.0910940100425314, 'f1-score': 0.15143238865439412, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.8262310784578466, 'macro avg': {'precision': 0.48945262058964145, 'recall': 0.4965124394430036, 'f1-score': 0.44788982166194646, 'support': 981355.0}, 'weighted avg': {'precision': 0.8307416968822252, 'recall': 0.8262310784578466, 'f1-score': 0.8006094350758646, 'support': 981355.0}}
[15];1;3;41;0.49657903296116523;0.6798358034885852;0.694623318906856;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total'];0.3771308222731522;0.4989403922776784;0.5656786152901501;0.7682052307373523;0.44522425462703186;0.5963599030314017;981355;0.28626634722962496;0.2717052687026665;0.3037545027028955;{'normal': {'precision': 0.9911164770712876, 'recall': 0.4073090564247505, 'f1-score': 0.5773503235080522, 'support': 8644.00000000162}, 'Other': {'precision': 0.6413618745606842, 'recall': 0.9315530746729368, 'f1-score': 0.7596884072035915, 'support': 17101.00000001592}, 'xss': {'precision': 0.7154231039499639, 'recall': 0.5943277797442602, 'f1-score': 0.649277401133017, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.694623318906856, 'macro avg': {'precision': 0.586975363895484, 'recall': 0.4832974777104869, 'f1-score': 0.49657903296116523, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.7423522995167993, 'recall': 0.6946233189053613, 'f1-score': 0.6798358034885852, 'support': 41357.000000018765}};{'normal': {'precision': 0.9109906913109961, 'recall': 0.10121108168803358, 'f1-score': 0.1821817659973686, 'support': 671053.0}, 'Other': {'precision': 0.18773728028683448, 'recall': 0.8914795404033556, 'f1-score': 0.3101581464226051, 'support': 169627.0}, 'xss': {'precision': 0.7792615402836586, 'recall': 0.5615425100638682, 'f1-score': 0.6527254764985263, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.3037545027028955, 'macro avg': {'precision': 0.4694973779703723, 'recall': 0.38855828303881434, 'f1-score': 0.28626634722962496, 'support': 981355.0}, 'weighted avg': {'precision': 0.767035455168105, 'recall': 0.3037545027028955, 'f1-score': 0.2717052687026665, 'support': 981355.0}}
[13];1;4;41;0.6088947698956957;0.7848162316176194;0.7923092011702941;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length'];0.4712034772201224;0.5739191923826816;0.6416999877706142;0.8270973409993803;0.538056800454912;0.6719039859133843;981355;0.5947528975200966;0.8891438004257605;0.8888139358336178;{'normal': {'precision': 0.9927658117088363, 'recall': 0.9437665665861553, 'f1-score': 0.9676462857445106, 'support': 8644.00000000162}, 'Other': {'precision': 0.6833619566714447, 'recall': 0.9404965693857382, 'f1-score': 0.7915708980618267, 'support': 17101.00000001592}, 'xss': {'precision': 0.8877839766856966, 'recall': 0.5462699640001054, 'f1-score': 0.6763618957764457, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.7923092011702941, 'macro avg': {'precision': 0.6409779362664944, 'recall': 0.6076332749929998, 'f1-score': 0.6088947698956957, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.8251123825605823, 'recall': 0.7923092011691415, 'f1-score': 0.7848162316176194, 'support': 41357.000000018765}};{'normal': {'precision': 0.989651792432652, 'recall': 0.9584131208712278, 'f1-score': 0.9737819889713564, 'support': 671053.0}, 'Other': {'precision': 0.6278654568184696, 'recall': 0.9059996344921504, 'f1-score': 0.7417156536260001, 'support': 169627.0}, 'xss': {'precision': 0.8696765265524996, 'recall': 0.5363650588185089, 'f1-score': 0.6635139474830303, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.8888139358336178, 'macro avg': {'precision': 0.6217984439509053, 'recall': 0.6001944535454717, 'f1-score': 0.5947528975200966, 'support': 981355.0}, 'weighted avg': {'precision': 0.9098542292008391, 'recall': 0.8888139358336178, 'f1-score': 0.8891438004257605, 'support': 981355.0}}
[12];1;5;41;0.5695778001002362;0.752192768071626;0.7532198111418502;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length', 'ip.len'];0.419224588086455;0.5259389558676362;0.5915444001923754;0.7959094380030276;0.4895054628829565;0.6330085291623034;981355;0.3096176358798222;0.2987183649468335;0.3214484055209379;{'normal': {'precision': 0.993175447885587, 'recall': 0.6725354964901601, 'f1-score': 0.8019947821089621, 'support': 8644.00000000162}, 'Other': {'precision': 0.643057114471209, 'recall': 0.9268651204112378, 'f1-score': 0.7593079409825542, 'support': 17101.00000001592}, 'xss': {'precision': 0.8739713014506251, 'recall': 0.6078417781597033, 'f1-score': 0.7170084773094283, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.7532198111418502, 'macro avg': {'precision': 0.6275509659518552, 'recall': 0.5518105987652753, 'f1-score': 0.5695778001002362, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.8033192049504161, 'recall': 0.7532198111403783, 'f1-score': 0.752192768071626, 'support': 41357.000000018765}};{'normal': {'precision': 0.921508688597832, 'recall': 0.11679852411061421, 'f1-score': 0.20731986345847875, 'support': 671053.0}, 'Other': {'precision': 0.18899492084863526, 'recall': 0.8871052367842384, 'f1-score': 0.3116036789349601, 'support': 169627.0}, 'xss': {'precision': 0.8650916537635482, 'recall': 0.615922959844099, 'f1-score': 0.71954700112585, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.3214484055209379, 'macro avg': {'precision': 0.4938988158025039, 'recall': 0.4049566801847379, 'f1-score': 0.3096176358798222, 'support': 981355.0}, 'weighted avg': {'precision': 0.7867422371627951, 'recall': 0.3214484055209379, 'f1-score': 0.2987183649468335, 'support': 981355.0}}
[14];1;6;41;0.5860324489429696;0.7765943810063559;0.7757510946269105;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length', 'ip.len', 'dstport'];0.4452227555324964;0.561636970152495;0.603615814882899;0.8160802680607475;0.5105674025347293;0.6626293261996882;981355;0.3186997314171415;0.3044715213143413;0.32815749652266507;{'normal': {'precision': 0.9938238077058639, 'recall': 0.6797746362059894, 'f1-score': 0.8073337063543383, 'support': 8644.00000000162}, 'Other': {'precision': 0.6727153181191928, 'recall': 0.9058716103686157, 'f1-score': 0.7720749456959352, 'support': 17101.00000001592}, 'xss': {'precision': 0.8630027899310225, 'recall': 0.6865361132868382, 'f1-score': 0.764721143721605, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.7757510946269105, 'macro avg': {'precision': 0.6323854789390199, 'recall': 0.5680455899653609, 'f1-score': 0.5860324489429696, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.8115788184396195, 'recall': 0.775751094626328, 'f1-score': 0.7765943810063559, 'support': 41357.000000018765}};{'normal': {'precision': 0.9224562347245449, 'recall': 0.11754958252179783, 'f1-score': 0.20852642069561678, 'support': 671053.0}, 'Other': {'precision': 0.1874799271684096, 'recall': 0.8637834778661416, 'f1-score': 0.3080903658285286, 'support': 169627.0}, 'xss': {'precision': 0.8453631695432715, 'recall': 0.6873017453521287, 'f1-score': 0.7581821391444206, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.32815749652266507, 'macro avg': {'precision': 0.4888248328590565, 'recall': 0.41715870143501704, 'f1-score': 0.3186997314171415, 'support': 981355.0}, 'weighted avg': {'precision': 0.7843017395850929, 'recall': 0.32815749652266507, 'f1-score': 0.3044715213143413, 'support': 981355.0}}
[12];1;7;41;0.5208578259173582;0.7071360617106349;0.7163903365007802;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length', 'ip.len', 'dstport', 'Max Packet Length'];0.3568583923412247;0.469048882319886;0.5991026157360941;0.8092621092077155;0.4482695237605181;0.5982882919531037;981355;0.30875627977161735;0.2939760789600336;0.32101329284509683;{'normal': {'precision': 0.9909006406409355, 'recall': 0.46508540668287823, 'f1-score': 0.6330464887103681, 'support': 8644.00000000162}, 'Other': {'precision': 0.6487504177361808, 'recall': 0.9186414854797109, 'f1-score': 0.760459520343279, 'support': 17101.00000001592}, 'xss': {'precision': 0.7564528449991756, 'recall': 0.6341535653548591, 'f1-score': 0.6899252946157858, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.7163903365007802, 'macro avg': {'precision': 0.599025975844073, 'recall': 0.5044701143793621, 'f1-score': 0.5208578259173582, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.7608468224521214, 'recall': 0.7163903364996661, 'f1-score': 0.7071360617106349, 'support': 41357.000000018765}};{'normal': {'precision': 0.9261257701663189, 'recall': 0.11177358569293334, 'f1-score': 0.1994729017794219, 'support': 671053.0}, 'Other': {'precision': 0.18905791441376538, 'recall': 0.8818348494048707, 'f1-score': 0.3113623756152239, 'support': 169627.0}, 'xss': {'precision': 0.8284690923747756, 'recall': 0.6432269811240239, 'f1-score': 0.7241898416918235, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.32101329284509683, 'macro avg': {'precision': 0.48591319423871493, 'recall': 0.409208854055457, 'f1-score': 0.30875627977161735, 'support': 981355.0}, 'weighted avg': {'precision': 0.7846632611254447, 'recall': 0.32101329284509683, 'f1-score': 0.2939760789600336, 'support': 981355.0}}
[10];1;8;41;0.5549173167222976;0.7313064258609224;0.7345865697456021;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length', 'ip.len', 'dstport', 'Max Packet Length', 'srcport'];0.41417374579608424;0.520062197846308;0.5711430173839738;0.767281883353704;0.47753430447443;0.6168525945922129;981355;0.2939742885784845;0.28245524306777325;0.30819733939298216;{'normal': {'precision': 0.9903667279073592, 'recall': 0.6599537252872373, 'f1-score': 0.7920839982535501, 'support': 8644.00000000162}, 'Other': {'precision': 0.6209416363967564, 'recall': 0.939060179401014, 'f1-score': 0.7475652381521165, 'support': 17101.00000001592}, 'xss': {'precision': 0.8851577184302242, 'recall': 0.5520751304179639, 'f1-score': 0.6800200304835239, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.7345865697456021, 'macro avg': {'precision': 0.6241165206835849, 'recall': 0.5377722587765538, 'f1-score': 0.5549173167222976, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.7978091880288388, 'recall': 0.7345865697436011, 'f1-score': 0.7313064258609224, 'support': 41357.000000018765}};{'normal': {'precision': 0.9155787750991377, 'recall': 0.1083804110852645, 'f1-score': 0.1938178891601198, 'support': 671053.0}, 'Other': {'precision': 0.18824153179435507, 'recall': 0.9041956763958567, 'f1-score': 0.3116099998984163, 'support': 169627.0}, 'xss': {'precision': 0.876160528822429, 'recall': 0.5429936985249143, 'f1-score': 0.670469265255402, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.30819733939298216, 'macro avg': {'precision': 0.4949952089289804, 'recall': 0.3888924465015089, 'f1-score': 0.2939742885784845, 'support': 981355.0}, 'weighted avg': {'precision': 0.7841429989695614, 'recall': 0.30819733939298216, 'f1-score': 0.28245524306777325, 'support': 981355.0}}
[8];1;1;85;0.29008007420333437;0.3690482731958475;0.4908938660735948;['ip.ttl'];0.2938570239024929;0.37049978362286196;0.32101319263332595;0.38762571857514694;0.3019931672579448;0.3761328645104496;981355;0.1123277323861136;0.15426846665605404;0.22214794849977837;{'normal': {'precision': 0.9956641548751302, 'recall': 0.37192244551673936, 'f1-score': 0.5415523189367416, 'support': 8644.00000000162}, 'Other': {'precision': 0.44814713906879494, 'recall': 0.9991813344248799, 'f1-score': 0.6187679778765959, 'support': 17101.00000001592}, 'xss': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.4908938660735948, 'macro avg': {'precision': 0.3609528234859813, 'recall': 0.3427759449854048, 'f1-score': 0.29008007420333437, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.3934106724365271, 'recall': 0.4908938660699244, 'f1-score': 0.3690482731958475, 'support': 41357.000000018765}};{'normal': {'precision': 0.8937029019709966, 'recall': 0.08182662174224689, 'f1-score': 0.14992614273973578, 'support': 671053.0}, 'Other': {'precision': 0.1772948340823164, 'recall': 0.9614978747487134, 'f1-score': 0.29938478680471864, 'support': 169627.0}, 'xss': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.22214794849977837, 'macro avg': {'precision': 0.26774943401332824, 'recall': 0.26083112412274007, 'f1-score': 0.1123277323861136, 'support': 981355.0}, 'weighted avg': {'precision': 0.641761650266442, 'recall': 0.22214794849977837, 'f1-score': 0.15426846665605404, 'support': 981355.0}}
[15];1;2;85;0.430377067052048;0.5409966964318667;0.5989897159784536;['ip.ttl', 'tcp.window_size_value'];0.4345252562452953;0.5420941429157149;0.46256535740706534;0.5508406568720854;0.44297535061374393;0.5452895862613553;981355;0.4468533499064186;0.7989897660451716;0.8240229071029342;{'normal': {'precision': 0.9908514978786632, 'recall': 0.6652550476875417, 'f1-score': 0.796046561421179, 'support': 8644.00000000162}, 'Other': {'precision': 0.5478518938281062, 'recall': 0.9775870523769633, 'f1-score': 0.7021885987098124, 'support': 17101.00000001592}, 'xss': {'precision': 0.4578691121874673, 'recall': 0.14763178298022633, 'f1-score': 0.22327310807720052, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.5989897159784536, 'macro avg': {'precision': 0.49914312597355914, 'recall': 0.44761847076118283, 'f1-score': 0.430377067052048, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.6064307538515633, 'recall': 0.5989897159772352, 'f1-score': 0.5409966964318667, 'support': 41357.000000018765}};{'normal': {'precision': 0.9894885474673346, 'recall': 0.947160656460816, 'f1-score': 0.9678620374600274, 'support': 671053.0}, 'Other': {'precision': 0.5161961778760178, 'recall': 0.9444369115765768, 'f1-score': 0.667538928867573, 'support': 169627.0}, 'xss': {'precision': 0.44939030781593936, 'recall': 0.09147807285813858, 'f1-score': 0.15201243329807415, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.8240229071029342, 'macro avg': {'precision': 0.48876875828982297, 'recall': 0.49576891022388286, 'f1-score': 0.4468533499064186, 'support': 981355.0}, 'weighted avg': {'precision': 0.8302247844742314, 'recall': 0.8240229071029342, 'f1-score': 0.7989897660451716, 'support': 981355.0}}
[17];1;3;85;0.5075559225431108;0.6974696105968538;0.7110776865703374;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total'];0.3724269101825393;0.49281404330778855;0.5820257636369897;0.7951361604958428;0.45001908429198145;0.604813342607506;981355;0.29745708673045007;0.27350775209910616;0.3094884114311335;{'normal': {'precision': 0.9858457499570626, 'recall': 0.4040951137240481, 'f1-score': 0.5732264743813829, 'support': 8644.00000000162}, 'Other': {'precision': 0.66335289773028, 'recall': 0.9172383879340554, 'f1-score': 0.7699052222596162, 'support': 17101.00000001592}, 'xss': {'precision': 0.7220151774785588, 'recall': 0.6553913408739487, 'f1-score': 0.6870919935314437, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.7110776865703374, 'macro avg': {'precision': 0.5928034562914754, 'recall': 0.49418121063301307, 'f1-score': 0.5075559225431108, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.7528317203084998, 'recall': 0.7110776865694867, 'f1-score': 0.6974696105968538, 'support': 41357.000000018765}};{'normal': {'precision': 0.9058379091943208, 'recall': 0.09612057467890017, 'f1-score': 0.173798938377388, 'support': 671053.0}, 'Other': {'precision': 0.18659798621937831, 'recall': 0.8728150589234025, 'f1-score': 0.30746370942620393, 'support': 169627.0}, 'xss': {'precision': 0.7810735552414, 'recall': 0.6483762677629052, 'f1-score': 0.7085656991182083, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.3094884114311335, 'macro avg': {'precision': 0.46837736266377483, 'recall': 0.404327975341302, 'f1-score': 0.29745708673045007, 'support': 981355.0}, 'weighted avg': {'precision': 0.7635746565728634, 'recall': 0.3094884114311335, 'f1-score': 0.27350775209910616, 'support': 981355.0}}
[18];1;4;85;0.624181447202086;0.8082634093466529;0.812131967295578;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length'];0.47131365162088557;0.574026090399842;0.6611895578197635;0.8585960686991669;0.5474652447661448;0.6864947033534765;981355;0.6108569552087193;0.8972405934519595;0.8949788812407334;{'normal': {'precision': 0.9929763392675572, 'recall': 0.9450022432919157, 'f1-score': 0.9683954988855914, 'support': 8644.00000000162}, 'Other': {'precision': 0.7128860814953536, 'recall': 0.9253256406275339, 'f1-score': 0.8053315223496585, 'support': 17101.00000001592}, 'xss': {'precision': 0.8775522712393312, 'recall': 0.6147327396216303, 'f1-score': 0.7229987675730939, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.812131967295578, 'macro avg': {'precision': 0.6458536730005605, 'recall': 0.62126515588527, 'f1-score': 0.624181447202086, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.8335031120676711, 'recall': 0.8121319672946046, 'f1-score': 0.8082634093466529, 'support': 41357.000000018765}};{'normal': {'precision': 0.9896086545063183, 'recall': 0.9536832411150833, 'f1-score': 0.9713138733214696, 'support': 671053.0}, 'Other': {'precision': 0.6485608371425856, 'recall': 0.884953456702058, 'f1-score': 0.7485370785452317, 'support': 169627.0}, 'xss': {'precision': 0.8546541483785329, 'recall': 0.6273594970199571, 'f1-score': 0.7235768689681762, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.8949788812407334, 'macro avg': {'precision': 0.6232059100068592, 'recall': 0.6164990487092746, 'f1-score': 0.6108569552087193, 'support': 981355.0}, 'weighted avg': {'precision': 0.9112496172381374, 'recall': 0.8949788812407334, 'f1-score': 0.8972405934519595, 'support': 981355.0}}
[14];1;5;85;0.6258302647169451;0.8106749571568278;0.8142674099603207;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length', 'ip.len'];0.4740005775545638;0.5777482095266083;0.6646489742376349;0.8629874034247906;0.5501963355610671;0.69013573489872;981355;0.6197535877778835;0.9072126285687977;0.9056936582582246;{'normal': {'precision': 0.9956972062219165, 'recall': 0.9446544499351449, 'f1-score': 0.9695044644725876, 'support': 8644.00000000162}, 'Other': {'precision': 0.7189994950167733, 'recall': 0.9230794805929846, 'f1-score': 0.808357807711715, 'support': 17101.00000001592}, 'xss': {'precision': 0.8681649118759779, 'recall': 0.623044721349605, 'f1-score': 0.7254587866834783, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.8142674099603207, 'macro avg': {'precision': 0.6457154032786669, 'recall': 0.6226946629694337, 'f1-score': 0.6258302647169451, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.8330569180410291, 'recall': 0.8142674099592903, 'f1-score': 0.8106749571568278, 'support': 41357.000000018765}};{'normal': {'precision': 0.9963259914885212, 'recall': 0.9621967266370912, 'f1-score': 0.9789639903602327, 'support': 671053.0}, 'Other': {'precision': 0.6737524116177636, 'recall': 0.9079156030584754, 'f1-score': 0.7735002812600451, 'support': 169627.0}, 'xss': {'precision': 0.8510811017305268, 'recall': 0.6338103298672849, 'f1-score': 0.7265500794912559, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.9056936582582246, 'macro avg': {'precision': 0.6302898762092028, 'recall': 0.6259806648907129, 'f1-score': 0.6197535877778835, 'support': 981355.0}, 'weighted avg': {'precision': 0.9196853849599264, 'recall': 0.9056936582582246, 'f1-score': 0.9072126285687977, 'support': 981355.0}}
[17];1;6;85;0.5834476541690837;0.7747218419479015;0.7736859062616048;['ip.ttl', 'tcp.window_size_value', 'Packet Length Total', 'udp.length', 'ip.len', 'dstport'];0.4446537531295235;0.5611382817956809;0.6009201918082128;0.8157390935312485;0.5103443830210619;0.6635486533142659;981355;0.3215525524057983;0.31003042401946246;0.3300406071197477;{'normal': {'precision': 0.9474809155182329, 'recall': 0.6833094854525138, 'f1-score': 0.7939986603716267, 'support': 8644.00000000162}, 'Other': {'precision': 0.6762723923182103, 'recall': 0.8834221734791853, 'f1-score': 0.7660910537061246, 'support': 17101.00000001592}, 'xss': {'precision': 0.8591623111820978, 'recall': 0.7037031166285065, 'f1-score': 0.7737009025985836, 'support': 15608.000000001224}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999999996}, 'accuracy': 0.7736859062616048, 'macro avg': {'precision': 0.6207289047546353, 'recall': 0.5676086938900514, 'f1-score': 0.5834476541690837, 'support': 41357.000000018765}, 'weighted avg': {'precision': 0.8019141757792349, 'recall': 0.7736859062615353, 'f1-score': 0.7747218419479015, 'support': 41357.000000018765}};{'normal': {'precision': 0.8913639997407256, 'recall': 0.12295601092611165, 'f1-score': 0.2161025328075912, 'support': 671053.0}, 'Other': {'precision': 0.1844073002338555, 'recall': 0.8381684519563513, 'f1-score': 0.3023040220451279, 'support': 169627.0}, 'xss': {'precision': 0.842113752122241, 'recall': 0.7055447290934695, 'f1-score': 0.767803654770474, 'support': 140602.0}, 'mitm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 73.0}, 'accuracy': 0.3300406071197477, 'macro avg': {'precision': 0.4794712630242055, 'recall': 0.4166672979939831, 'f1-score': 0.3215525524057983, 'support': 981355.0}, 'weighted avg': {'precision': 0.7620441338869958, 'recall': 0.3300406071197477, 'f1-score': 0.31003042401946246, 'support': 981355.0}}
