depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;500;0.6267079111268344;0.9798904108380891;0.9819644471443798;['tcp.window_size_value'];0.6190350764716556;0.9783988315823821;0.6488836065103677;0.9840839517849167;0.6319989653259025;0.9810054566287504;1488248;0.8203970194708733;0.9882948631252636;0.9887525466185744;{'Other': {'precision': 0.9849394107035867, 'recall': 0.9966411053183426, 'f1-score': 0.990755707394487, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.8266395583354966, 'recall': 0.5128070020064898, 'f1-score': 0.6329577695757618, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.5555555555555552, 'recall': 0.16666666666666496, 'f1-score': 0.2564102564102544, 'support': 6.000000000000046}, 'accuracy': 0.9819644471443798, 'macro avg': {'precision': 0.7890448415315462, 'recall': 0.5587049246638325, 'f1-score': 0.6267079111268344, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9801220481132458, 'recall': 0.9819644471442547, 'f1-score': 0.9798904108380891, 'support': 61161.99999992223}};{'Other': {'precision': 0.991693678672591, 'recall': 0.9967282193682749, 'f1-score': 0.9942045754736416, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.8831136594931367, 'recall': 0.7496891923214699, 'f1-score': 0.81095003646973, 'support': 47457}, 'Withings Smart scale': {'precision': 0.972972972972973, 'recall': 0.4948453608247423, 'f1-score': 0.6560364464692483, 'support': 291}, 'accuracy': 0.9887525466185744, 'macro avg': {'precision': 0.9492601037129003, 'recall': 0.7470875908381623, 'f1-score': 0.8203970194708733, 'support': 1488248}, 'weighted avg': {'precision': 0.9882276369271574, 'recall': 0.9887525466185744, 'f1-score': 0.9882948631252636, 'support': 1488248}}
5;1;2;500;0.4436769288294043;0.9680832712506799;0.9756837222908707;['tcp.window_size_value', 'srcport'];0.5071838059665508;0.9750187039524003;0.3653946560330597;0.9618463293285769;0.46217616419893304;0.9705338851332246;1488248;0.34447043570806374;0.9540120473820735;0.9685428772623917;{'Other': {'precision': 0.9759077496586228, 'recall': 0.9996020424786974, 'f1-score': 0.9876128012244639, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.94256756138398, 'recall': 0.20995722563573513, 'f1-score': 0.3434179852637489, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.9756837222908707, 'macro avg': {'precision': 0.6394917703475342, 'recall': 0.4031864227048108, 'f1-score': 0.4436769288294043, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9748062798920233, 'recall': 0.9756837222907991, 'f1-score': 0.9680832712506799, 'support': 61161.99999992223}};{'Other': {'precision': 0.9686977471848218, 'recall': 0.9998077056577577, 'f1-score': 0.9840068979134768, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.8135935397039031, 'recall': 0.0254756937859536, 'f1-score': 0.04940440921071451, 'support': 47457}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9685428772623917, 'macro avg': {'precision': 0.594097095629575, 'recall': 0.3417611331479038, 'f1-score': 0.34447043570806374, 'support': 1488248}, 'weighted avg': {'precision': 0.963562399165639, 'recall': 0.9685428772623917, 'f1-score': 0.9540120473820735, 'support': 1488248}}
5;1;3;500;0.5238160242705318;0.9783586357532609;0.9820516272485907;['tcp.window_size_value', 'srcport', 'ip.ttl'];0.5221659494210705;0.9780811986262075;0.5108144657241332;0.9782396010655795;0.5176944444407924;0.9781549391292793;1488248;0.5317042857213522;0.9781316110908241;0.9817086937123383;{'Other': {'precision': 0.9818678127251533, 'recall': 0.999957742317829, 'f1-score': 0.9908302158772951, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.9966945847421839, 'recall': 0.4096194965669789, 'f1-score': 0.5806178569342999, 'support': 1845.0000000003079}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.9820516272485907, 'macro avg': {'precision': 0.6595207991557791, 'recall': 0.4698590796282693, 'f1-score': 0.5238160242705318, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9822187526469203, 'recall': 0.9820516272485735, 'f1-score': 0.9783586357532609, 'support': 61161.99999992223}};{'Other': {'precision': 0.9814876643481674, 'recall': 0.9999632072197153, 'f1-score': 0.9906393004955785, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.9974311748739821, 'recall': 0.4336346587437048, 'f1-score': 0.604473556668478, 'support': 47457}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9817086937123383, 'macro avg': {'precision': 0.6596396130740498, 'recall': 0.47786595532114, 'f1-score': 0.5317042857213522, 'support': 1488248}, 'weighted avg': {'precision': 0.9818041561349518, 'recall': 0.9817086937123383, 'f1-score': 0.9781316110908241, 'support': 1488248}}
5;1;4;500;0.6622470851608296;0.9726616814502619;0.9754007109806491;['tcp.window_size_value', 'srcport', 'ip.ttl', 'ip.len'];0.5625031204184264;0.9653606519284547;0.6477511279323588;0.9723732874881383;0.6056579806862663;0.9682635984664599;1488248;0.6674807616030246;0.9627907531772004;0.9649117620181583;{'Other': {'precision': 0.9817248372574056, 'recall': 0.9931204277858914, 'f1-score': 0.9873897541271254, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.6484040946323307, 'recall': 0.4078590785907291, 'f1-score': 0.5007416774443402, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.332098765432094, 'f1-score': 0.4986098239110234, 'support': 6.000000000000046}, 'accuracy': 0.9754007109806491, 'macro avg': {'precision': 0.8767096439632454, 'recall': 0.5776927572695715, 'f1-score': 0.6622470851608296, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9716717467899962, 'recall': 0.9754007109806733, 'f1-score': 0.9726616814502619, 'support': 61161.99999992223}};{'Other': {'precision': 0.9783497517426255, 'recall': 0.9855591808399862, 'f1-score': 0.9819412335321266, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.4377111657701976, 'recall': 0.34123522346545293, 'f1-score': 0.3834987093565728, 'support': 47457}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.46735395189003437, 'f1-score': 0.6370023419203746, 'support': 291}, 'accuracy': 0.9649117620181583, 'macro avg': {'precision': 0.8053536391709409, 'recall': 0.5980494520651578, 'f1-score': 0.6674807616030246, 'support': 1488248}, 'weighted avg': {'precision': 0.9611141934537849, 'recall': 0.9649117620181583, 'f1-score': 0.9627907531772004, 'support': 1488248}}
5;1;5;500;0.5557536688921184;0.9742645187801018;0.9793632580469938;['tcp.window_size_value', 'srcport', 'ip.ttl', 'ip.len', 'dstport'];0.6302780745339996;0.9937334951674991;0.4351632094382842;0.9628428757125709;0.5967537101567786;0.9833793007984467;1488248;0.6184589271877852;0.9645034440037943;0.9735494353091689;{'Other': {'precision': 0.9793156764232661, 'recall': 0.9998369769375031, 'f1-score': 0.9894699367629418, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.9897277008956453, 'recall': 0.32384393329874794, 'f1-score': 0.4880088808393676, 'support': 1845.0000000003074}, 'Withings Smart scale': {'precision': 0.22253770122947525, 'recall': 0.16543209876543102, 'f1-score': 0.18978218907404584, 'support': 6.000000000000046}, 'accuracy': 0.9793632580469938, 'macro avg': {'precision': 0.7305270261827955, 'recall': 0.49637100300056064, 'f1-score': 0.5557536688921184, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9795555233429285, 'recall': 0.9793632580469447, 'f1-score': 0.9742645187801018, 'support': 61161.99999992223}};{'Other': {'precision': 0.9734565485808823, 'recall': 0.9999382158972578, 'f1-score': 0.9865196989096929, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.994750656167979, 'recall': 0.175695893124302, 'f1-score': 0.2986443166962159, 'support': 47457}, 'Withings Smart scale': {'precision': 0.7486033519553073, 'recall': 0.46048109965635736, 'f1-score': 0.5702127659574469, 'support': 291}, 'accuracy': 0.9735494353091689, 'macro avg': {'precision': 0.9056035189013896, 'recall': 0.5453717362259723, 'f1-score': 0.6184589271877852, 'support': 1488248}, 'weighted avg': {'precision': 0.9740916054958203, 'recall': 0.9735494353091689, 'f1-score': 0.9645034440037943, 'support': 1488248}}
6;1;1;500;0.34394605818725127;0.9564202899466664;0.9700879751060105;['ip.len'];0.34396305401036115;0.9564335461475532;0.330733762949701;0.9582328526172185;0.3387592146237804;0.9571971489604039;1488248;0.3538181840089292;0.9551147956360219;0.9689890394611651;{'Other': {'precision': 0.970438730873375, 'recall': 0.9996041690061548, 'f1-score': 0.9848055605341257, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.6571430024893179, 'recall': 0.02438908699533446, 'f1-score': 0.04703261402762807, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6.000000000000046}, 'accuracy': 0.9700879751060105, 'macro avg': {'precision': 0.542527244454231, 'recall': 0.3413310853338298, 'f1-score': 0.34394605818725127, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9608927178055442, 'recall': 0.9700879751059128, 'f1-score': 0.9564202899466664, 'support': 61161.99999992223}};{'Other': {'precision': 0.9691596130836618, 'recall': 0.9997757723012842, 'f1-score': 0.9842296581657444, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.8559322033898306, 'recall': 0.04043660576943338, 'f1-score': 0.07722489386104348, 'support': 47457}, 'Withings Smart scale': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 291}, 'accuracy': 0.9689890394611651, 'macro avg': {'precision': 0.6083639388244975, 'recall': 0.34673745935690586, 'f1-score': 0.3538181840089292, 'support': 1488248}, 'weighted avg': {'precision': 0.9653595349856248, 'recall': 0.9689890394611651, 'f1-score': 0.9551147956360219, 'support': 1488248}}
6;1;2;500;0.586348812893785;0.974213508554567;0.9793825020861339;['ip.len', 'tcp.window_size_value'];0.526132890157658;0.978659540567764;0.5891699694231126;0.9762797731175823;0.5650055139146833;0.9777076787949485;1488248;0.7422469420545896;0.978355004561942;0.9818491272959883;{'Other': {'precision': 0.9792449763280666, 'recall': 0.9999325588845209, 'f1-score': 0.9894806479292018, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.9932998324958197, 'recall': 0.3214092140920733, 'f1-score': 0.48566748566740936, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.16543209876543102, 'f1-score': 0.2838983050847442, 'support': 6.000000000000046}, 'accuracy': 0.9793825020861339, 'macro avg': {'precision': 0.990848269607962, 'recall': 0.495591290580675, 'f1-score': 0.586348812893785, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9796709882271474, 'recall': 0.9793825020861071, 'f1-score': 0.974213508554567, 'support': 61161.99999992223}};{'Other': {'precision': 0.9815952926906553, 'recall': 0.9999972231863936, 'f1-score': 0.9907108137709529, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.9998059100393032, 'recall': 0.4341825231261984, 'f1-score': 0.6054417770986984, 'support': 47457}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.46048109965635736, 'f1-score': 0.6305882352941177, 'support': 291}, 'accuracy': 0.9818491272959883, 'macro avg': {'precision': 0.9938004009099862, 'recall': 0.6315536153229832, 'f1-score': 0.7422469420545896, 'support': 1488248}, 'weighted avg': {'precision': 0.9821795884782807, 'recall': 0.9818491272959883, 'f1-score': 0.978355004561942, 'support': 1488248}}
6;1;3;500;0.6471846421670441;0.9834362929858916;0.9854652919830187;['ip.len', 'tcp.window_size_value', 'srcport'];0.7098383139402592;0.9908326411245257;0.59926118181542;0.9788745227883116;0.671572145759359;0.9864838742267569;1488248;0.7703555119174941;0.9811315094645315;0.983734565744419;{'Other': {'precision': 0.9857791704091333, 'recall': 0.9994294353737755, 'f1-score': 0.992557373381613, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.9678563609489593, 'recall': 0.5392243614115261, 'f1-score': 0.6925862967092647, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.5555555555555552, 'recall': 0.16666666666666496, 'f1-score': 0.2564102564102544, 'support': 6.000000000000046}, 'accuracy': 0.9854652919830187, 'macro avg': {'precision': 0.8363970289712159, 'recall': 0.5684401544839889, 'f1-score': 0.6471846421670441, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9851963097253233, 'recall': 0.9854652919828821, 'f1-score': 0.9834362929858916, 'support': 61161.99999992223}};{'Other': {'precision': 0.9836745789384174, 'recall': 0.999788267962513, 'f1-score': 0.9916659694959403, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.9874599008457277, 'recall': 0.4994415997639969, 'f1-score': 0.6633641197872936, 'support': 47457}, 'Withings Smart scale': {'precision': 0.972972972972973, 'recall': 0.4948453608247423, 'f1-score': 0.6560364464692483, 'support': 291}, 'accuracy': 0.983734565744419, 'macro avg': {'precision': 0.9813691509190393, 'recall': 0.6646917428504174, 'f1-score': 0.7703555119174941, 'support': 1488248}, 'weighted avg': {'precision': 0.9837931921362307, 'recall': 0.983734565744419, 'f1-score': 0.9811315094645315, 'support': 1488248}}
6;1;4;500;0.6661894431488399;0.9842877678865624;0.9855337786801757;['ip.len', 'tcp.window_size_value', 'srcport', 'ip.ttl'];0.5590972430164414;0.9731515911978282;0.6836231810626999;0.9877053280108316;0.6168083709813932;0.9794473613081388;1488248;0.43356508046791925;0.9161115764921963;0.8825612397933678;{'Other': {'precision': 0.9879139718567743, 'recall': 0.9972829586766739, 'f1-score': 0.992576357154254, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.8788022123679451, 'recall': 0.6099592504491641, 'f1-score': 0.7201066821473324, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.25096241065798575, 'recall': 0.332098765432094, 'f1-score': 0.2858852901449333, 'support': 6.000000000000046}, 'accuracy': 0.9855337786801757, 'macro avg': {'precision': 0.7058928649609016, 'recall': 0.6464469915193106, 'f1-score': 0.6661894431488399, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9845502344769573, 'recall': 0.9855337786819018, 'f1-score': 0.9842877678865624, 'support': 61161.99999992223}};{'Other': {'precision': 0.9944829213560402, 'recall': 0.8835702880944116, 'f1-score': 0.9357515078975306, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.20091959945894255, 'recall': 0.8544787913268854, 'f1-score': 0.3253397731101876, 'support': 47457}, 'Withings Smart scale': {'precision': 0.020678120723734227, 'recall': 0.46735395189003437, 'f1-score': 0.03960396039603961, 'support': 291}, 'accuracy': 0.8825612397933678, 'macro avg': {'precision': 0.40536021384623905, 'recall': 0.7351343437704437, 'f1-score': 0.43356508046791925, 'support': 1488248}, 'weighted avg': {'precision': 0.9689874987085683, 'recall': 0.8825612397933678, 'f1-score': 0.9161115764921963, 'support': 1488248}}
6;1;5;500;0.6291691568822565;0.9764477767532489;0.9798137653981538;['ip.len', 'tcp.window_size_value', 'srcport', 'ip.ttl', 'dstport'];0.6175969183038732;0.9780860425975212;0.6073345288732036;0.975420051649381;0.6168262109116335;0.9769426407796515;1488248;0.8400537081972009;0.9779596531287732;0.9808069622804801;{'Other': {'precision': 0.981926469305524, 'recall': 0.9975447903622596, 'f1-score': 0.9896740144021345, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.8425287794877508, 'recall': 0.41192296233404296, 'f1-score': 0.5533205290053836, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.35789123565607556, 'recall': 0.3320987654320958, 'f1-score': 0.344512927239251, 'support': 6.000000000000046}, 'accuracy': 0.9798137653981538, 'macro avg': {'precision': 0.7274488281497834, 'recall': 0.5805221727094662, 'f1-score': 0.6291691568822565, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9776602100413393, 'recall': 0.9798137653980138, 'f1-score': 0.9764477767532489, 'support': 61161.99999992223}};{'Other': {'precision': 0.9826616784807911, 'recall': 0.9977757723012842, 'f1-score': 0.9901610523168579, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.8746044303797469, 'recall': 0.4658954421897718, 'f1-score': 0.6079436875317926, 'support': 47457}, 'Withings Smart scale': {'precision': 0.8910256410256411, 'recall': 0.9553264604810997, 'f1-score': 0.9220563847429519, 'support': 291}, 'accuracy': 0.9808069622804801, 'macro avg': {'precision': 0.9160972499620597, 'recall': 0.8063325583240518, 'f1-score': 0.8400537081972009, 'support': 1488248}, 'weighted avg': {'precision': 0.9791980494955477, 'recall': 0.9808069622804801, 'f1-score': 0.9779596531287732, 'support': 1488248}}
7;1;1;500;0.6267079111268344;0.9798904108380891;0.9819644471443798;['tcp.window_size_value'];0.6190350764716556;0.9783988315823821;0.6488836065103677;0.9840839517849167;0.6319989653259025;0.9810054566287504;1488248;0.8203970194708733;0.9882948631252636;0.9887525466185744;{'Other': {'precision': 0.9849394107035867, 'recall': 0.9966411053183426, 'f1-score': 0.990755707394487, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.8266395583354966, 'recall': 0.5128070020064898, 'f1-score': 0.6329577695757618, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.5555555555555552, 'recall': 0.16666666666666496, 'f1-score': 0.2564102564102544, 'support': 6.000000000000046}, 'accuracy': 0.9819644471443798, 'macro avg': {'precision': 0.7890448415315462, 'recall': 0.5587049246638325, 'f1-score': 0.6267079111268344, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9801220481132458, 'recall': 0.9819644471442547, 'f1-score': 0.9798904108380891, 'support': 61161.99999992223}};{'Other': {'precision': 0.991693678672591, 'recall': 0.9967282193682749, 'f1-score': 0.9942045754736416, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.8831136594931367, 'recall': 0.7496891923214699, 'f1-score': 0.81095003646973, 'support': 47457}, 'Withings Smart scale': {'precision': 0.972972972972973, 'recall': 0.4948453608247423, 'f1-score': 0.6560364464692483, 'support': 291}, 'accuracy': 0.9887525466185744, 'macro avg': {'precision': 0.9492601037129003, 'recall': 0.7470875908381623, 'f1-score': 0.8203970194708733, 'support': 1488248}, 'weighted avg': {'precision': 0.9882276369271574, 'recall': 0.9887525466185744, 'f1-score': 0.9882948631252636, 'support': 1488248}}
7;1;2;500;0.760668308365129;0.9906158874845907;0.9912898602306547;['tcp.window_size_value', 'ip.ttl'];0.7138433268140117;0.9938028259202007;0.7518688825489837;0.9903326139839127;0.7378156351986546;0.9923837738122867;1488248;0.9437317121170361;0.9919349168746223;0.9923708951733851;{'Other': {'precision': 0.9913315232842901, 'recall': 0.999760210396504, 'f1-score': 0.9955280266863664, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.990030234331409, 'recall': 0.7211382113820757, 'f1-score': 0.8344574541312831, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.7074957730603006, 'recall': 0.3320987654320958, 'f1-score': 0.45201944427773755, 'support': 6.000000000000046}, 'accuracy': 0.9912898602306547, 'macro avg': {'precision': 0.8962858435586666, 'recall': 0.6843323957368918, 'f1-score': 0.760668308365129, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9912644245527344, 'recall': 0.9912898602305161, 'f1-score': 0.9906158874845907, 'support': 61161.99999992223}};{'Other': {'precision': 0.9926322973830075, 'recall': 0.999536966331135, 'f1-score': 0.9960726663945597, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.9823207370810522, 'recall': 0.7750805992793476, 'f1-score': 0.8664813549739699, 'support': 47457}, 'Withings Smart scale': {'precision': 0.9823321554770318, 'recall': 0.9553264604810997, 'f1-score': 0.9686411149825784, 'support': 291}, 'accuracy': 0.9923708951733851, 'macro avg': {'precision': 0.9857617299803638, 'recall': 0.9099813420305275, 'f1-score': 0.9437317121170361, 'support': 1488248}, 'weighted avg': {'precision': 0.9923014700890723, 'recall': 0.9923708951733851, 'f1-score': 0.9919349168746223, 'support': 1488248}}
7;1;3;500;0.7872708997067761;0.9892945905200069;0.9899136481426273;['tcp.window_size_value', 'ip.ttl', 'ip.len'];0.6679929562188338;0.9824310760072916;0.7837525592529643;0.9900423520690323;0.7309385676327231;0.9854869404335104;1488248;0.8448808244401177;0.9918430937082579;0.9921605807634212;{'Other': {'precision': 0.991360307104515, 'recall': 0.9982990332884264, 'f1-score': 0.994817571160199, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.9307590965207985, 'recall': 0.721950642910628, 'f1-score': 0.8131641172021864, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.6243772016712197, 'recall': 0.49760802469135657, 'f1-score': 0.5538310107579428, 'support': 6.000000000000046}, 'accuracy': 0.9899136481426273, 'macro avg': {'precision': 0.8488322017655111, 'recall': 0.7392859002968036, 'f1-score': 0.7872708997067761, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9894962226703938, 'recall': 0.9899136481424313, 'f1-score': 0.9892945905200069, 'support': 61161.99999992223}};{'Other': {'precision': 0.9932708473581551, 'recall': 0.9986664352655328, 'f1-score': 0.9959613337602659, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.9578984789619359, 'recall': 0.794888003877194, 'f1-score': 0.8688131923812156, 'support': 47457}, 'Withings Smart scale': {'precision': 0.514760147601476, 'recall': 0.9587628865979382, 'f1-score': 0.6698679471788715, 'support': 291}, 'accuracy': 0.9921605807634212, 'macro avg': {'precision': 0.821976491307189, 'recall': 0.9174391085802217, 'f1-score': 0.8448808244401177, 'support': 1488248}, 'weighted avg': {'precision': 0.9920493351501035, 'recall': 0.9921605807634212, 'f1-score': 0.9918430937082579, 'support': 1488248}}
7;1;4;500;0.6708641852771152;0.9841772256106671;0.9843664969214263;['tcp.window_size_value', 'ip.ttl', 'ip.len', 'srcport'];0.6138296062342006;0.9907371636472496;0.6403560364398294;0.979278190434772;0.6357292846598191;0.9857803684850253;1488248;0.7837789161240987;0.9821254368344479;0.9816347812998909;{'Other': {'precision': 0.9912614480041945, 'recall': 0.9926292102999021, 'f1-score': 0.991944857660918, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.7527561388874866, 'recall': 0.7214092140921025, 'f1-score': 0.7367493930856834, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.16543209876543102, 'f1-score': 0.2838983050847442, 'support': 6.000000000000046}, 'accuracy': 0.9843664969214263, 'macro avg': {'precision': 0.9146725289638936, 'recall': 0.6264901743858119, 'f1-score': 0.6708641852771152, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.984067604375651, 'recall': 0.984366496921116, 'f1-score': 0.9841772256106671, 'support': 61161.99999992223}};{'Other': {'precision': 0.9924520569712886, 'recall': 0.9885442554668518, 'f1-score': 0.9904943018674739, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.6903126524790751, 'recall': 0.7751016709863666, 'f1-score': 0.7302542112107044, 'support': 47457}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.46048109965635736, 'f1-score': 0.6305882352941177, 'support': 291}, 'accuracy': 0.9816347812998909, 'macro avg': {'precision': 0.8942549031501213, 'recall': 0.7413756753698587, 'f1-score': 0.7837789161240987, 'support': 1488248}, 'weighted avg': {'precision': 0.982818962710409, 'recall': 0.9816347812998909, 'f1-score': 0.9821254368344479, 'support': 1488248}}
7;1;5;500;0.7936983860790682;0.993268065024428;0.9935091013680484;['tcp.window_size_value', 'ip.ttl', 'ip.len', 'srcport', 'dstport'];0.7254411819671057;0.9937221136906214;0.8209228849602548;0.9978466618032139;0.7737436851686321;0.9954996982499361;1488248;0.9516202719370747;0.9927664032762513;0.993093892953325;{'Other': {'precision': 0.9945518466331033, 'recall': 0.9987778342819805, 'f1-score': 0.9966603607741811, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.9546095994155394, 'recall': 0.8262866862710245, 'f1-score': 0.8858249735519982, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.3320987654320958, 'f1-score': 0.49860982391102543, 'support': 6.000000000000046}, 'accuracy': 0.9935091013680484, 'macro avg': {'precision': 0.9830538153495475, 'recall': 0.7190544286617002, 'f1-score': 0.7936983860790682, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9933474916872823, 'recall': 0.9935091013678546, 'f1-score': 0.993268065024428, 'support': 61161.99999992223}};{'Other': {'precision': 0.9935292144648559, 'recall': 0.9993738285317598, 'f1-score': 0.9964429512084206, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.9768694225048723, 'recall': 0.8027056071812377, 'f1-score': 0.8812649647785502, 'support': 47457}, 'Withings Smart scale': {'precision': 1.0, 'recall': 0.9553264604810997, 'f1-score': 0.977152899824253, 'support': 291}, 'accuracy': 0.993093892953325, 'macro avg': {'precision': 0.9901328789899093, 'recall': 0.9191352987313658, 'f1-score': 0.9516202719370747, 'support': 1488248}, 'weighted avg': {'precision': 0.9929992350874576, 'recall': 0.993093892953325, 'f1-score': 0.9927664032762513, 'support': 1488248}}
8;1;1;500;0.6267079111268344;0.9798904108380891;0.9819644471443798;['tcp.window_size_value'];0.6190350764716556;0.9783988315823821;0.6488836065103677;0.9840839517849167;0.6319989653259025;0.9810054566287504;1488248;0.8203970194708733;0.9882948631252636;0.9887525466185744;{'Other': {'precision': 0.9849394107035867, 'recall': 0.9966411053183426, 'f1-score': 0.990755707394487, 'support': 59310.99999992192}, 'Netatmo Welcome': {'precision': 0.8266395583354966, 'recall': 0.5128070020064898, 'f1-score': 0.6329577695757618, 'support': 1845.0000000003076}, 'Withings Smart scale': {'precision': 0.5555555555555552, 'recall': 0.16666666666666496, 'f1-score': 0.2564102564102544, 'support': 6.000000000000046}, 'accuracy': 0.9819644471443798, 'macro avg': {'precision': 0.7890448415315462, 'recall': 0.5587049246638325, 'f1-score': 0.6267079111268344, 'support': 61161.99999992223}, 'weighted avg': {'precision': 0.9801220481132458, 'recall': 0.9819644471442547, 'f1-score': 0.9798904108380891, 'support': 61161.99999992223}};{'Other': {'precision': 0.991693678672591, 'recall': 0.9967282193682749, 'f1-score': 0.9942045754736416, 'support': 1440500}, 'Netatmo Welcome': {'precision': 0.8831136594931367, 'recall': 0.7496891923214699, 'f1-score': 0.81095003646973, 'support': 47457}, 'Withings Smart scale': {'precision': 0.972972972972973, 'recall': 0.4948453608247423, 'f1-score': 0.6560364464692483, 'support': 291}, 'accuracy': 0.9887525466185744, 'macro avg': {'precision': 0.9492601037129003, 'recall': 0.7470875908381623, 'f1-score': 0.8203970194708733, 'support': 1488248}, 'weighted avg': {'precision': 0.9882276369271574, 'recall': 0.9887525466185744, 'f1-score': 0.9882948631252636, 'support': 1488248}}
