depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;41;0.5443323759669678;0.9997726851613404;0.9996645909933687;['Flow Duration'];0.49998101980583265;0.9998861245987414;0.5510426957638808;0.9994231965329503;0.5424774496597913;0.9997711885943491;1488248;0.44079681730220577;0.6949219939642349;0.7882187646144997;{'Other': {'precision': 0.9999509350846745, 'recall': 0.9997136223271814, 'f1-score': 0.9998322646242299, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.05401234567901235, 'recall': 0.2500000000009675, 'f1-score': 0.08883248730970575, 'support': 3.9999999999845204}, 'accuracy': 0.9996645909933687, 'macro avg': {'precision': 0.5269816403818434, 'recall': 0.6248568111640744, 'f1-score': 0.5443323759669678, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998890706205037, 'recall': 0.9996645909925408, 'f1-score': 0.9997726851613404, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882632164976995, 'recall': 0.9999275452501223, 'f1-score': 0.8815682531690279, 'support': 1173146}, 'Dropcam': {'precision': 0.0449438202247191, 'recall': 1.2694302162474374e-05, 'f1-score': 2.5381435383624532e-05, 'support': 315102}, 'accuracy': 0.7882187646144997, 'macro avg': {'precision': 0.4166035183612093, 'recall': 0.49997011977614236, 'f1-score': 0.44079681730220577, 'support': 1488248}, 'weighted avg': {'precision': 0.6308825726773089, 'recall': 0.7882187646144997, 'f1-score': 0.6949219939642349, 'support': 1488248}}
5;1;2;41;0.49998364944428847;0.9999019009422125;0.9999345999158092;['Flow Duration', 'udp.length'];0.49998101980583265;0.9998861245987414;0.4999726581724723;0.9998359609953881;0.4999788653511522;0.9998731992533851;1488248;0.4408013244187069;0.69494373321719;0.7882731910273019;{'Other': {'precision': 0.9999345999158092, 'recall': 1.0, 'f1-score': 0.9999672988885769, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9999345999158092, 'macro avg': {'precision': 0.4999672999579046, 'recall': 0.5, 'f1-score': 0.49998364944428847, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998692041079604, 'recall': 0.9999345999149801, 'f1-score': 0.9999019009422125, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882731910273019, 'recall': 1.0, 'f1-score': 0.8816026488374138, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882731910273019, 'macro avg': {'precision': 0.39413659551365093, 'recall': 0.5, 'f1-score': 0.4408013244187069, 'support': 1488248}, 'weighted avg': {'precision': 0.6213746236923652, 'recall': 0.7882731910273019, 'f1-score': 0.69494373321719, 'support': 1488248}}
5;1;3;41;0.8076807450004697;0.9999544085660161;0.9999591247398918;['Flow Duration', 'udp.length', 'ip.len'];0.49998101980583265;0.9998861245987414;0.8749863283386197;0.9999453193350831;0.6874823875444716;0.9999119436778345;1488248;0.8035041542818734;0.8807354777152175;0.8948239809494116;{'Other': {'precision': 0.999967298413847, 'recall': 0.9999918244546911, 'f1-score': 0.9999795612838843, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.7999989910033889, 'recall': 0.49999684690343243, 'f1-score': 0.6153819287170551, 'support': 3.9999999999845204}, 'accuracy': 0.9999591247398918, 'macro avg': {'precision': 0.899983144708618, 'recall': 0.7499943356790618, 'f1-score': 0.8076807450004697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9999542204695411, 'recall': 0.9999591247406497, 'f1-score': 0.9999544085660161, 'support': 61161.99999999313}};{'Other': {'precision': 0.8822820699872901, 'recall': 0.9999982951823558, 'f1-score': 0.9374592459054122, 'support': 1173146}, 'Dropcam': {'precision': 0.9999873879100506, 'recall': 0.503252914929134, 'f1-score': 0.6695490626583346, 'support': 315102}, 'accuracy': 0.8948239809494116, 'macro avg': {'precision': 0.9411347289486703, 'recall': 0.7516256050557449, 'f1-score': 0.8035041542818734, 'support': 1488248}, 'weighted avg': {'precision': 0.9072034413501932, 'recall': 0.8948239809494116, 'f1-score': 0.8807354777152175, 'support': 1488248}}
5;1;4;41;0.49992369799095643;0.9997820058772088;0.9996948385326908;['Flow Duration', 'udp.length', 'ip.len', 'srcport'];0.49998101980583265;0.9998861245987414;0.49977434045870434;0.9994393689444299;0.4999277825727018;0.9997710423330521;1488248;0.44078787673832254;0.694922532325333;0.788230187441878;{'Other': {'precision': 0.9999345842316344, 'recall': 0.9997602229354419, 'f1-score': 0.9998473959819129, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9996948385326908, 'macro avg': {'precision': 0.4999672921158172, 'recall': 0.49988011146772093, 'f1-score': 0.49992369799095643, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998691884248114, 'recall': 0.9996948385318624, 'f1-score': 0.9997820058772088, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882640856238207, 'recall': 0.9999454458353862, 'f1-score': 0.8815757534766451, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.788230187441878, 'macro avg': {'precision': 0.39413204281191033, 'recall': 0.4999727229176931, 'f1-score': 0.44078787673832254, 'support': 1488248}, 'weighted avg': {'precision': 0.6213674461469074, 'recall': 0.788230187441878, 'f1-score': 0.694922532325333, 'support': 1488248}}
5;1;5;41;0.4999711132938697;0.9998768302811055;0.9998844598506271;['Flow Duration', 'udp.length', 'ip.len', 'srcport', 'ip.ttl'];0.49998101980583265;0.9998861245987414;0.4999384766826627;0.9997676054920354;0.49997005872013356;0.9998555874802855;1488248;0.4407979625592456;0.6949384330898193;0.7882624401309459;{'Other': {'precision': 0.9999345966364803, 'recall': 0.9999498566554393, 'f1-score': 0.9999422265877393, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9998844598506271, 'macro avg': {'precision': 0.49996729831824016, 'recall': 0.49997492832771967, 'f1-score': 0.4999711132938697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.999869200828846, 'recall': 0.9998844598497985, 'f1-score': 0.9998768302811055, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882709147498508, 'recall': 0.9999863614588466, 'f1-score': 0.8815959251184912, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882624401309459, 'macro avg': {'precision': 0.3941354573749254, 'recall': 0.4999931807294233, 'f1-score': 0.4407979625592456, 'support': 1488248}, 'weighted avg': {'precision': 0.6213728293638752, 'recall': 0.7882624401309459, 'f1-score': 0.6949384330898193, 'support': 1488248}}
5;1;1;85;0.5443323759669678;0.9997726851613404;0.9996645909933687;['Flow Duration'];0.49998101980583265;0.9998861245987414;0.5510426957638808;0.9994231965329503;0.5424774496597913;0.9997711885943491;1488248;0.44079681730220577;0.6949219939642349;0.7882187646144997;{'Other': {'precision': 0.9999509350846745, 'recall': 0.9997136223271814, 'f1-score': 0.9998322646242299, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.05401234567901235, 'recall': 0.2500000000009675, 'f1-score': 0.08883248730970575, 'support': 3.9999999999845204}, 'accuracy': 0.9996645909933687, 'macro avg': {'precision': 0.5269816403818434, 'recall': 0.6248568111640744, 'f1-score': 0.5443323759669678, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998890706205037, 'recall': 0.9996645909925408, 'f1-score': 0.9997726851613404, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882632164976995, 'recall': 0.9999275452501223, 'f1-score': 0.8815682531690279, 'support': 1173146}, 'Dropcam': {'precision': 0.0449438202247191, 'recall': 1.2694302162474374e-05, 'f1-score': 2.5381435383624532e-05, 'support': 315102}, 'accuracy': 0.7882187646144997, 'macro avg': {'precision': 0.4166035183612093, 'recall': 0.49997011977614236, 'f1-score': 0.44079681730220577, 'support': 1488248}, 'weighted avg': {'precision': 0.6308825726773089, 'recall': 0.7882187646144997, 'f1-score': 0.6949219939642349, 'support': 1488248}}
5;1;2;85;0.49998364944428847;0.9999019009422125;0.9999345999158092;['Flow Duration', 'udp.length'];0.49998101980583265;0.9998861245987414;0.4999726581724723;0.9998359609953881;0.4999788653511522;0.9998731992533851;1488248;0.4408013244187069;0.69494373321719;0.7882731910273019;{'Other': {'precision': 0.9999345999158092, 'recall': 1.0, 'f1-score': 0.9999672988885769, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9999345999158092, 'macro avg': {'precision': 0.4999672999579046, 'recall': 0.5, 'f1-score': 0.49998364944428847, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998692041079604, 'recall': 0.9999345999149801, 'f1-score': 0.9999019009422125, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882731910273019, 'recall': 1.0, 'f1-score': 0.8816026488374138, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882731910273019, 'macro avg': {'precision': 0.39413659551365093, 'recall': 0.5, 'f1-score': 0.4408013244187069, 'support': 1488248}, 'weighted avg': {'precision': 0.6213746236923652, 'recall': 0.7882731910273019, 'f1-score': 0.69494373321719, 'support': 1488248}}
5;1;3;85;0.8076807450004697;0.9999544085660161;0.9999591247398918;['Flow Duration', 'udp.length', 'ip.len'];0.49998101980583265;0.9998861245987414;0.8749863283386197;0.9999453193350831;0.6874823875444716;0.9999119436778345;1488248;0.8035041542818734;0.8807354777152175;0.8948239809494116;{'Other': {'precision': 0.999967298413847, 'recall': 0.9999918244546911, 'f1-score': 0.9999795612838843, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.7999989910033889, 'recall': 0.49999684690343243, 'f1-score': 0.6153819287170551, 'support': 3.9999999999845204}, 'accuracy': 0.9999591247398918, 'macro avg': {'precision': 0.899983144708618, 'recall': 0.7499943356790618, 'f1-score': 0.8076807450004697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9999542204695411, 'recall': 0.9999591247406497, 'f1-score': 0.9999544085660161, 'support': 61161.99999999313}};{'Other': {'precision': 0.8822820699872901, 'recall': 0.9999982951823558, 'f1-score': 0.9374592459054122, 'support': 1173146}, 'Dropcam': {'precision': 0.9999873879100506, 'recall': 0.503252914929134, 'f1-score': 0.6695490626583346, 'support': 315102}, 'accuracy': 0.8948239809494116, 'macro avg': {'precision': 0.9411347289486703, 'recall': 0.7516256050557449, 'f1-score': 0.8035041542818734, 'support': 1488248}, 'weighted avg': {'precision': 0.9072034413501932, 'recall': 0.8948239809494116, 'f1-score': 0.8807354777152175, 'support': 1488248}}
5;1;4;85;0.49992369799095643;0.9997820058772088;0.9996948385326908;['Flow Duration', 'udp.length', 'ip.len', 'srcport'];0.49998101980583265;0.9998861245987414;0.49977434045870434;0.9994393689444299;0.4999277825727018;0.9997710423330521;1488248;0.44078787673832254;0.694922532325333;0.788230187441878;{'Other': {'precision': 0.9999345842316344, 'recall': 0.9997602229354419, 'f1-score': 0.9998473959819129, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9996948385326908, 'macro avg': {'precision': 0.4999672921158172, 'recall': 0.49988011146772093, 'f1-score': 0.49992369799095643, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998691884248114, 'recall': 0.9996948385318624, 'f1-score': 0.9997820058772088, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882640856238207, 'recall': 0.9999454458353862, 'f1-score': 0.8815757534766451, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.788230187441878, 'macro avg': {'precision': 0.39413204281191033, 'recall': 0.4999727229176931, 'f1-score': 0.44078787673832254, 'support': 1488248}, 'weighted avg': {'precision': 0.6213674461469074, 'recall': 0.788230187441878, 'f1-score': 0.694922532325333, 'support': 1488248}}
5;1;5;85;0.4999711132938697;0.9998768302811055;0.9998844598506271;['Flow Duration', 'udp.length', 'ip.len', 'srcport', 'ip.ttl'];0.49998101980583265;0.9998861245987414;0.4999384766826627;0.9997676054920354;0.49997005872013356;0.9998555874802855;1488248;0.4407979625592456;0.6949384330898193;0.7882624401309459;{'Other': {'precision': 0.9999345966364803, 'recall': 0.9999498566554393, 'f1-score': 0.9999422265877393, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9998844598506271, 'macro avg': {'precision': 0.49996729831824016, 'recall': 0.49997492832771967, 'f1-score': 0.4999711132938697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.999869200828846, 'recall': 0.9998844598497985, 'f1-score': 0.9998768302811055, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882709147498508, 'recall': 0.9999863614588466, 'f1-score': 0.8815959251184912, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882624401309459, 'macro avg': {'precision': 0.3941354573749254, 'recall': 0.4999931807294233, 'f1-score': 0.4407979625592456, 'support': 1488248}, 'weighted avg': {'precision': 0.6213728293638752, 'recall': 0.7882624401309459, 'f1-score': 0.6949384330898193, 'support': 1488248}}
5;1;1;129;0.5443323759669678;0.9997726851613404;0.9996645909933687;['Flow Duration'];0.49998101980583265;0.9998861245987414;0.5510426957638808;0.9994231965329503;0.5424774496597913;0.9997711885943491;1488248;0.44079681730220577;0.6949219939642349;0.7882187646144997;{'Other': {'precision': 0.9999509350846745, 'recall': 0.9997136223271814, 'f1-score': 0.9998322646242299, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.05401234567901235, 'recall': 0.2500000000009675, 'f1-score': 0.08883248730970575, 'support': 3.9999999999845204}, 'accuracy': 0.9996645909933687, 'macro avg': {'precision': 0.5269816403818434, 'recall': 0.6248568111640744, 'f1-score': 0.5443323759669678, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998890706205037, 'recall': 0.9996645909925408, 'f1-score': 0.9997726851613404, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882632164976995, 'recall': 0.9999275452501223, 'f1-score': 0.8815682531690279, 'support': 1173146}, 'Dropcam': {'precision': 0.0449438202247191, 'recall': 1.2694302162474374e-05, 'f1-score': 2.5381435383624532e-05, 'support': 315102}, 'accuracy': 0.7882187646144997, 'macro avg': {'precision': 0.4166035183612093, 'recall': 0.49997011977614236, 'f1-score': 0.44079681730220577, 'support': 1488248}, 'weighted avg': {'precision': 0.6308825726773089, 'recall': 0.7882187646144997, 'f1-score': 0.6949219939642349, 'support': 1488248}}
5;1;2;129;0.49998364944428847;0.9999019009422125;0.9999345999158092;['Flow Duration', 'udp.length'];0.49998101980583265;0.9998861245987414;0.4999726581724723;0.9998359609953881;0.4999788653511522;0.9998731992533851;1488248;0.4408013244187069;0.69494373321719;0.7882731910273019;{'Other': {'precision': 0.9999345999158092, 'recall': 1.0, 'f1-score': 0.9999672988885769, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9999345999158092, 'macro avg': {'precision': 0.4999672999579046, 'recall': 0.5, 'f1-score': 0.49998364944428847, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998692041079604, 'recall': 0.9999345999149801, 'f1-score': 0.9999019009422125, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882731910273019, 'recall': 1.0, 'f1-score': 0.8816026488374138, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882731910273019, 'macro avg': {'precision': 0.39413659551365093, 'recall': 0.5, 'f1-score': 0.4408013244187069, 'support': 1488248}, 'weighted avg': {'precision': 0.6213746236923652, 'recall': 0.7882731910273019, 'f1-score': 0.69494373321719, 'support': 1488248}}
5;1;3;129;0.8076807450004697;0.9999544085660161;0.9999591247398918;['Flow Duration', 'udp.length', 'ip.len'];0.49998101980583265;0.9998861245987414;0.8749863283386197;0.9999453193350831;0.6874823875444716;0.9999119436778345;1488248;0.8035041542818734;0.8807354777152175;0.8948239809494116;{'Other': {'precision': 0.999967298413847, 'recall': 0.9999918244546911, 'f1-score': 0.9999795612838843, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.7999989910033889, 'recall': 0.49999684690343243, 'f1-score': 0.6153819287170551, 'support': 3.9999999999845204}, 'accuracy': 0.9999591247398918, 'macro avg': {'precision': 0.899983144708618, 'recall': 0.7499943356790618, 'f1-score': 0.8076807450004697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9999542204695411, 'recall': 0.9999591247406497, 'f1-score': 0.9999544085660161, 'support': 61161.99999999313}};{'Other': {'precision': 0.8822820699872901, 'recall': 0.9999982951823558, 'f1-score': 0.9374592459054122, 'support': 1173146}, 'Dropcam': {'precision': 0.9999873879100506, 'recall': 0.503252914929134, 'f1-score': 0.6695490626583346, 'support': 315102}, 'accuracy': 0.8948239809494116, 'macro avg': {'precision': 0.9411347289486703, 'recall': 0.7516256050557449, 'f1-score': 0.8035041542818734, 'support': 1488248}, 'weighted avg': {'precision': 0.9072034413501932, 'recall': 0.8948239809494116, 'f1-score': 0.8807354777152175, 'support': 1488248}}
5;1;4;129;0.49992369799095643;0.9997820058772088;0.9996948385326908;['Flow Duration', 'udp.length', 'ip.len', 'srcport'];0.49998101980583265;0.9998861245987414;0.49977434045870434;0.9994393689444299;0.4999277825727018;0.9997710423330521;1488248;0.44078787673832254;0.694922532325333;0.788230187441878;{'Other': {'precision': 0.9999345842316344, 'recall': 0.9997602229354419, 'f1-score': 0.9998473959819129, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9996948385326908, 'macro avg': {'precision': 0.4999672921158172, 'recall': 0.49988011146772093, 'f1-score': 0.49992369799095643, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998691884248114, 'recall': 0.9996948385318624, 'f1-score': 0.9997820058772088, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882640856238207, 'recall': 0.9999454458353862, 'f1-score': 0.8815757534766451, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.788230187441878, 'macro avg': {'precision': 0.39413204281191033, 'recall': 0.4999727229176931, 'f1-score': 0.44078787673832254, 'support': 1488248}, 'weighted avg': {'precision': 0.6213674461469074, 'recall': 0.788230187441878, 'f1-score': 0.694922532325333, 'support': 1488248}}
5;1;5;129;0.4999711132938697;0.9998768302811055;0.9998844598506271;['Flow Duration', 'udp.length', 'ip.len', 'srcport', 'ip.ttl'];0.49998101980583265;0.9998861245987414;0.4999384766826627;0.9997676054920354;0.49997005872013356;0.9998555874802855;1488248;0.4407979625592456;0.6949384330898193;0.7882624401309459;{'Other': {'precision': 0.9999345966364803, 'recall': 0.9999498566554393, 'f1-score': 0.9999422265877393, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9998844598506271, 'macro avg': {'precision': 0.49996729831824016, 'recall': 0.49997492832771967, 'f1-score': 0.4999711132938697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.999869200828846, 'recall': 0.9998844598497985, 'f1-score': 0.9998768302811055, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882709147498508, 'recall': 0.9999863614588466, 'f1-score': 0.8815959251184912, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882624401309459, 'macro avg': {'precision': 0.3941354573749254, 'recall': 0.4999931807294233, 'f1-score': 0.4407979625592456, 'support': 1488248}, 'weighted avg': {'precision': 0.6213728293638752, 'recall': 0.7882624401309459, 'f1-score': 0.6949384330898193, 'support': 1488248}}
5;1;1;173;0.5443323759669678;0.9997726851613404;0.9996645909933687;['Flow Duration'];0.49998101980583265;0.9998861245987414;0.5510426957638808;0.9994231965329503;0.5424774496597913;0.9997711885943491;1488248;0.44079681730220577;0.6949219939642349;0.7882187646144997;{'Other': {'precision': 0.9999509350846745, 'recall': 0.9997136223271814, 'f1-score': 0.9998322646242299, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.05401234567901235, 'recall': 0.2500000000009675, 'f1-score': 0.08883248730970575, 'support': 3.9999999999845204}, 'accuracy': 0.9996645909933687, 'macro avg': {'precision': 0.5269816403818434, 'recall': 0.6248568111640744, 'f1-score': 0.5443323759669678, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998890706205037, 'recall': 0.9996645909925408, 'f1-score': 0.9997726851613404, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882632164976995, 'recall': 0.9999275452501223, 'f1-score': 0.8815682531690279, 'support': 1173146}, 'Dropcam': {'precision': 0.0449438202247191, 'recall': 1.2694302162474374e-05, 'f1-score': 2.5381435383624532e-05, 'support': 315102}, 'accuracy': 0.7882187646144997, 'macro avg': {'precision': 0.4166035183612093, 'recall': 0.49997011977614236, 'f1-score': 0.44079681730220577, 'support': 1488248}, 'weighted avg': {'precision': 0.6308825726773089, 'recall': 0.7882187646144997, 'f1-score': 0.6949219939642349, 'support': 1488248}}
5;1;2;173;0.49998364944428847;0.9999019009422125;0.9999345999158092;['Flow Duration', 'udp.length'];0.49998101980583265;0.9998861245987414;0.4999726581724723;0.9998359609953881;0.4999788653511522;0.9998731992533851;1488248;0.4408013244187069;0.69494373321719;0.7882731910273019;{'Other': {'precision': 0.9999345999158092, 'recall': 1.0, 'f1-score': 0.9999672988885769, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9999345999158092, 'macro avg': {'precision': 0.4999672999579046, 'recall': 0.5, 'f1-score': 0.49998364944428847, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998692041079604, 'recall': 0.9999345999149801, 'f1-score': 0.9999019009422125, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882731910273019, 'recall': 1.0, 'f1-score': 0.8816026488374138, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882731910273019, 'macro avg': {'precision': 0.39413659551365093, 'recall': 0.5, 'f1-score': 0.4408013244187069, 'support': 1488248}, 'weighted avg': {'precision': 0.6213746236923652, 'recall': 0.7882731910273019, 'f1-score': 0.69494373321719, 'support': 1488248}}
5;1;3;173;0.8076807450004697;0.9999544085660161;0.9999591247398918;['Flow Duration', 'udp.length', 'ip.len'];0.49998101980583265;0.9998861245987414;0.8749863283386197;0.9999453193350831;0.6874823875444716;0.9999119436778345;1488248;0.8035041542818734;0.8807354777152175;0.8948239809494116;{'Other': {'precision': 0.999967298413847, 'recall': 0.9999918244546911, 'f1-score': 0.9999795612838843, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.7999989910033889, 'recall': 0.49999684690343243, 'f1-score': 0.6153819287170551, 'support': 3.9999999999845204}, 'accuracy': 0.9999591247398918, 'macro avg': {'precision': 0.899983144708618, 'recall': 0.7499943356790618, 'f1-score': 0.8076807450004697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9999542204695411, 'recall': 0.9999591247406497, 'f1-score': 0.9999544085660161, 'support': 61161.99999999313}};{'Other': {'precision': 0.8822820699872901, 'recall': 0.9999982951823558, 'f1-score': 0.9374592459054122, 'support': 1173146}, 'Dropcam': {'precision': 0.9999873879100506, 'recall': 0.503252914929134, 'f1-score': 0.6695490626583346, 'support': 315102}, 'accuracy': 0.8948239809494116, 'macro avg': {'precision': 0.9411347289486703, 'recall': 0.7516256050557449, 'f1-score': 0.8035041542818734, 'support': 1488248}, 'weighted avg': {'precision': 0.9072034413501932, 'recall': 0.8948239809494116, 'f1-score': 0.8807354777152175, 'support': 1488248}}
5;1;4;173;0.49992369799095643;0.9997820058772088;0.9996948385326908;['Flow Duration', 'udp.length', 'ip.len', 'srcport'];0.49998101980583265;0.9998861245987414;0.49977434045870434;0.9994393689444299;0.4999277825727018;0.9997710423330521;1488248;0.44078787673832254;0.694922532325333;0.788230187441878;{'Other': {'precision': 0.9999345842316344, 'recall': 0.9997602229354419, 'f1-score': 0.9998473959819129, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9996948385326908, 'macro avg': {'precision': 0.4999672921158172, 'recall': 0.49988011146772093, 'f1-score': 0.49992369799095643, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.9998691884248114, 'recall': 0.9996948385318624, 'f1-score': 0.9997820058772088, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882640856238207, 'recall': 0.9999454458353862, 'f1-score': 0.8815757534766451, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.788230187441878, 'macro avg': {'precision': 0.39413204281191033, 'recall': 0.4999727229176931, 'f1-score': 0.44078787673832254, 'support': 1488248}, 'weighted avg': {'precision': 0.6213674461469074, 'recall': 0.788230187441878, 'f1-score': 0.694922532325333, 'support': 1488248}}
5;1;5;173;0.4999711132938697;0.9998768302811055;0.9998844598506271;['Flow Duration', 'udp.length', 'ip.len', 'srcport', 'ip.ttl'];0.49998101980583265;0.9998861245987414;0.4999384766826627;0.9997676054920354;0.49997005872013356;0.9998555874802855;1488248;0.4407979625592456;0.6949384330898193;0.7882624401309459;{'Other': {'precision': 0.9999345966364803, 'recall': 0.9999498566554393, 'f1-score': 0.9999422265877393, 'support': 61157.999999993146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.9999999999845204}, 'accuracy': 0.9998844598506271, 'macro avg': {'precision': 0.49996729831824016, 'recall': 0.49997492832771967, 'f1-score': 0.4999711132938697, 'support': 61161.99999999313}, 'weighted avg': {'precision': 0.999869200828846, 'recall': 0.9998844598497985, 'f1-score': 0.9998768302811055, 'support': 61161.99999999313}};{'Other': {'precision': 0.7882709147498508, 'recall': 0.9999863614588466, 'f1-score': 0.8815959251184912, 'support': 1173146}, 'Dropcam': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 315102}, 'accuracy': 0.7882624401309459, 'macro avg': {'precision': 0.3941354573749254, 'recall': 0.4999931807294233, 'f1-score': 0.4407979625592456, 'support': 1488248}, 'weighted avg': {'precision': 0.6213728293638752, 'recall': 0.7882624401309459, 'f1-score': 0.6949384330898193, 'support': 1488248}}
