depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[16];1;1;41;0.5070519212108654;0.9734103278141466;0.9787809021782456;['ip.len'];0.46145650992674536;0.9699293276507356;0.47336326719271016;0.9777619550585831;0.47006221177343105;0.9732837595031442;1447020;0.34594003729816963;0.9603456064455848;0.973016267916131;{'Other': {'precision': 0.9788145262352083, 'recall': 0.99975153226139, 'f1-score': 0.989172252501812, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9787551133907714, 'recall': 0.316154352321874, 'f1-score': 0.4779294570767301, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.25, 'recall': 0.030303030303030176, 'f1-score': 0.054054054054053856, 'support': 22.000000000000092}, 'accuracy': 0.9787809021782456, 'macro avg': {'precision': 0.7358565465419932, 'recall': 0.4487363049620981, 'f1-score': 0.5070519212108654, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9785401097192955, 'recall': 0.9787809021782901, 'f1-score': 0.9734103278141466, 'support': 58812.99999992633}};{'Other': {'precision': 0.9730965148009277, 'recall': 0.9998990972759106, 'f1-score': 0.9863157533204783, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.8538622129436325, 'recall': 0.02078146435648595, 'f1-score': 0.04057539682539683, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.5, 'recall': 0.0055248618784530384, 'f1-score': 0.01092896174863388, 'support': 362}, 'accuracy': 0.973016267916131, 'macro avg': {'precision': 0.7756529092481866, 'recall': 0.3420684745036166, 'f1-score': 0.34594003729816963, 'support': 1447020}, 'weighted avg': {'precision': 0.9697347357459977, 'recall': 0.973016267916131, 'f1-score': 0.9603456064455848, 'support': 1447020}}
[14];1;2;41;0.6710737266703459;0.9761322461379003;0.9800719479604991;['ip.len', 'tcp.window_size_value'];0.6567851155622965;0.9702470565412439;0.6598245369588291;0.9825958500727591;0.6479159179073005;0.9755874794240241;1447020;0.5882741954403942;0.9614543690350085;0.9734295310361986;{'Other': {'precision': 0.9809634281798636, 'recall': 0.9988278356732492, 'f1-score': 0.9898150332642336, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9453458511113161, 'recall': 0.38015134423765334, 'f1-score': 0.54224859521463, 'support': 1772.9999999999463}, 'NEST Protect smoke alarm': {'precision': 0.3617910026170716, 'recall': 0.7180730752501087, 'f1-score': 0.4811575515321741, 'support': 22.000000000000092}, 'accuracy': 0.9800719479604991, 'macro avg': {'precision': 0.7627000939694172, 'recall': 0.6990174183870037, 'f1-score': 0.6710737266703459, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9796580746439953, 'recall': 0.9800719479605672, 'f1-score': 0.9761322461379003, 'support': 58812.99999992633}};{'Other': {'precision': 0.973698999896183, 'recall': 0.9996823695938879, 'f1-score': 0.9865196241707123, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.8770595690747782, 'recall': 0.035160814999237844, 'f1-score': 0.06761113825109917, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.5726351351351351, 'recall': 0.93646408839779, 'f1-score': 0.7106918238993711, 'support': 362}, 'accuracy': 0.9734295310361986, 'macro avg': {'precision': 0.8077979013686988, 'recall': 0.6571024243303052, 'f1-score': 0.5882741954403942, 'support': 1447020}, 'weighted avg': {'precision': 0.970969869410747, 'recall': 0.9734295310361986, 'f1-score': 0.9614543690350085, 'support': 1447020}}
[12];1;3;41;0.6703700879220027;0.9736513022084475;0.9782633962056841;['ip.len', 'tcp.window_size_value', 'dstport'];0.6883097823479088;0.975292518854023;0.5813537624135792;0.9736645320412115;0.659572869030561;0.9750729323867983;1447020;0.5681841254905419;0.9608719228897781;0.9728828903539688;{'Other': {'precision': 0.979651959060743, 'recall': 0.9983147804502372, 'f1-score': 0.9888953245686679, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.8628845911994657, 'recall': 0.3410563842856999, 'f1-score': 0.48888160586400803, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 1.0, 'recall': 0.3636363636363626, 'f1-score': 0.5333333333333322, 'support': 22.000000000000092}, 'accuracy': 0.9782633962056841, 'macro avg': {'precision': 0.9475121834200696, 'recall': 0.5676691761241, 'f1-score': 0.6703700879220027, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9761394552551621, 'recall': 0.9782633962057492, 'f1-score': 0.9736513022084475, 'support': 58812.99999992633}};{'Other': {'precision': 0.9734400143964065, 'recall': 0.9993853460821319, 'f1-score': 0.9862420720724827, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.575147347740668, 'recall': 0.02974950459834358, 'f1-score': 0.05657278129378231, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 1.0, 'recall': 0.494475138121547, 'f1-score': 0.6617375231053604, 'support': 362}, 'accuracy': 0.9728828903539688, 'macro avg': {'precision': 0.8495291207123582, 'recall': 0.5078699962673409, 'f1-score': 0.5681841254905419, 'support': 1447020}, 'weighted avg': {'precision': 0.9626122571918657, 'recall': 0.9728828903539688, 'f1-score': 0.9608719228897781, 'support': 1447020}}
[10];1;4;41;0.48520625953338387;0.9727548141107222;0.9781804271530719;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration'];0.38863011724811153;0.9602474734150193;0.6063506282010821;0.9924797310263249;0.48121703652374803;0.975486036793525;1447020;0.373480991160871;0.9633211208905348;0.9739450733231054;{'Other': {'precision': 0.9786291999101098, 'recall': 0.9993160681839284, 'f1-score': 0.9888644544816181, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9385277469349709, 'recall': 0.3106158411996061, 'f1-score': 0.4667543241185334, 'support': 1772.9999999999463}, 'NEST Protect smoke alarm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 22.000000000000092}, 'accuracy': 0.9781804271530719, 'macro avg': {'precision': 0.6390523156150268, 'recall': 0.4366439697945115, 'f1-score': 0.48520625953338387, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9770542127725201, 'recall': 0.9781804271531227, 'f1-score': 0.9727548141107222, 'support': 58812.99999992633}};{'Other': {'precision': 0.9744477453933749, 'recall': 0.9994166117149483, 'f1-score': 0.9867742537496684, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.8951511335012594, 'recall': 0.07222702098470606, 'f1-score': 0.13366871973294467, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 362}, 'accuracy': 0.9739450733231054, 'macro avg': {'precision': 0.6231996262982115, 'recall': 0.35721454423321813, 'f1-score': 0.373480991160871, 'support': 1447020}, 'weighted avg': {'precision': 0.9720469331577943, 'recall': 0.9739450733231054, 'f1-score': 0.9633211208905348, 'support': 1447020}}
[9];1;5;41;0.7005398269046467;0.9860651223831589;0.987365071106145;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration', 'udp.length'];0.5128850229782899;0.9751951843750201;0.7518802388761477;0.9949617479013285;0.637226118016544;0.983925290671899;1447020;0.4426366959195236;0.9648934581772588;0.9741102403560421;{'Other': {'precision': 0.9880515699879324, 'recall': 0.9990487250324044, 'f1-score': 0.9935197168823396, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9630865543690795, 'recall': 0.6197431468557201, 'f1-score': 0.7541762596914482, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.3770044721315273, 'recall': 0.33350562272975987, 'f1-score': 0.3539235041401524, 'support': 22.000000000000092}, 'accuracy': 0.987365071106145, 'macro avg': {'precision': 0.7760475321628464, 'recall': 0.6507658315392948, 'f1-score': 0.7005398269046467, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9870703922067421, 'recall': 0.9873650711062527, 'f1-score': 0.9860651223831589, 'support': 58812.99999992633}};{'Other': {'precision': 0.9753957892150432, 'recall': 0.9985681761335213, 'f1-score': 0.9868459722088114, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.9274740171712608, 'recall': 0.10428839997967583, 'f1-score': 0.1874942906732438, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.09168900804289544, 'recall': 0.4723756906077348, 'f1-score': 0.1535698248765155, 'support': 362}, 'accuracy': 0.9741102403560421, 'macro avg': {'precision': 0.6648529381430665, 'recall': 0.5250774222403106, 'f1-score': 0.4426366959195236, 'support': 1447020}, 'weighted avg': {'precision': 0.9738711394894197, 'recall': 0.9741102403560421, 'f1-score': 0.9648934581772588, 'support': 1447020}}
[12];1;6;41;0.6322238617503647;0.9773723132811348;0.9810766849732686;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration', 'udp.length', 'ip.ttl'];0.42989614055058584;0.9656801274349348;0.7631325455471522;0.9964967465446757;0.6035136723928639;0.9805045079609723;1447020;0.44081249140862505;0.9647778555620075;0.9742159749001396;{'Other': {'precision': 0.9815192504475291, 'recall': 0.9992964256472259, 'f1-score': 0.9903280658702146, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.964202940461442, 'recall': 0.4032449501992767, 'f1-score': 0.5686651306625022, 'support': 1772.9999999999463}, 'NEST Protect smoke alarm': {'precision': 0.34742615122358456, 'recall': 0.3284626856397165, 'f1-score': 0.33767838871837735, 'support': 22.000000000000092}, 'accuracy': 0.9810766849732686, 'macro avg': {'precision': 0.7643827807108519, 'recall': 0.5770013538287397, 'f1-score': 0.6322238617503647, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9807600328291739, 'recall': 0.9810766849733834, 'f1-score': 0.9773723132811348, 'support': 58812.99999992633}};{'Other': {'precision': 0.9752796546312139, 'recall': 0.9988048001273364, 'f1-score': 0.9869020529127573, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.9567751335599806, 'recall': 0.100096539809969, 'f1-score': 0.1812327506899724, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.09397590361445783, 'recall': 0.430939226519337, 'f1-score': 0.1543026706231454, 'support': 362}, 'accuracy': 0.9742159749001396, 'macro avg': {'precision': 0.6753435639352174, 'recall': 0.5099468554855474, 'f1-score': 0.44081249140862505, 'support': 1447020}, 'weighted avg': {'precision': 0.9745558174235222, 'recall': 0.9742159749001396, 'f1-score': 0.9647778555620075, 'support': 1447020}}
[10];1;7;41;0.795341123366447;0.9851996696275703;0.9867062757444528;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration', 'udp.length', 'ip.ttl', 'srcport'];0.6491721381310129;0.9702646028930909;0.8503969334694391;0.9956816215138097;0.7414089132899093;0.9823740628121533;1447020;0.6017990514461138;0.9653652276971634;0.9751288855717267;{'Other': {'precision': 0.9873228102845221, 'recall': 0.9991163910737528, 'f1-score': 0.9931845911636846, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9636843602776938, 'recall': 0.5907002989490461, 'f1-score': 0.73244243158156, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.5978534650136946, 'recall': 0.7375535947306282, 'f1-score': 0.6603963473540966, 'support': 22.000000000000092}, 'accuracy': 0.9867062757444528, 'macro avg': {'precision': 0.8496202118586368, 'recall': 0.775790094917809, 'f1-score': 0.795341123366447, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.986464508591731, 'recall': 0.9867062757445304, 'f1-score': 0.9851996696275703, 'support': 58812.99999992633}};{'Other': {'precision': 0.975428847597975, 'recall': 0.9996070478421029, 'f1-score': 0.9873699541143545, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.9529780564263323, 'recall': 0.10040140236776586, 'f1-score': 0.18166356386035074, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.484149855907781, 'recall': 0.9281767955801105, 'f1-score': 0.6363636363636364, 'support': 362}, 'accuracy': 0.9751288855717267, 'macro avg': {'precision': 0.8041855866440294, 'recall': 0.6760617485966597, 'f1-score': 0.6017990514461138, 'support': 1447020}, 'weighted avg': {'precision': 0.9746952357356026, 'recall': 0.9751288855717267, 'f1-score': 0.9653652276971634, 'support': 1447020}}
[12];1;8;41;0.7339952348578976;0.9880482724474544;0.9890197220684203;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration', 'udp.length', 'ip.ttl', 'srcport', 'Flow IAT Max'];0.5337192839195337;0.9792489863047413;0.7938777053347766;0.9972525051518887;0.6834970073637378;0.9875262765540888;1447020;0.5328222395975197;0.9659046385556366;0.9752664095865987;{'Other': {'precision': 0.9893561350271936, 'recall': 0.999426251864576, 'f1-score': 0.9943656986371548, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9888883122744034, 'recall': 0.660479124184733, 'f1-score': 0.7919885793424885, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.3579269876631545, 'recall': 0.4955180919192643, 'f1-score': 0.4156314265940494, 'support': 22.000000000000092}, 'accuracy': 0.9890197220684203, 'macro avg': {'precision': 0.7787238116549172, 'recall': 0.7184744893228577, 'f1-score': 0.7339952348578976, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9891058350767962, 'recall': 0.9890197220685121, 'f1-score': 0.9880482724474544, 'support': 58812.99999992633}};{'Other': {'precision': 0.9756775991687211, 'recall': 0.9994841170585292, 'f1-score': 0.987437388774031, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.9665354330708661, 'recall': 0.11226563690869366, 'f1-score': 0.2011653844402968, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.29606879606879605, 'recall': 0.6657458563535912, 'f1-score': 0.4098639455782313, 'support': 362}, 'accuracy': 0.9752664095865987, 'macro avg': {'precision': 0.7460939427694612, 'recall': 0.5924985367736048, 'f1-score': 0.5328222395975197, 'support': 1447020}, 'weighted avg': {'precision': 0.9752588956755655, 'recall': 0.9752664095865987, 'f1-score': 0.9659046385556366, 'support': 1447020}}
[9];1;9;41;0.7304182353966929;0.982422209210209;0.9847139105047045;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration', 'udp.length', 'ip.ttl', 'srcport', 'Flow IAT Max', 'Flow IAT Mean'];0.5927507855886462;0.9653307773220561;0.8252501040918242;0.9966629571215386;0.698912152270163;0.9807149796609662;1447020;0.5962914063713615;0.9652588250294686;0.9750563226493069;{'Other': {'precision': 0.9849535572415693, 'recall': 0.9995013641123941, 'f1-score': 0.9921741365418569, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9704225470455976, 'recall': 0.5168699602709871, 'f1-score': 0.6744904057137987, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.9411764705882324, 'recall': 0.36363636363636087, 'f1-score': 0.5245901639344228, 'support': 22.000000000000092}, 'accuracy': 0.9847139105047045, 'macro avg': {'precision': 0.9655175249584665, 'recall': 0.626669229339914, 'f1-score': 0.7304182353966929, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9844991240893093, 'recall': 0.9847139105048183, 'f1-score': 0.982422209210209, 'support': 58812.99999992633}};{'Other': {'precision': 0.9752906090033331, 'recall': 0.9996795272636319, 'f1-score': 0.9873344786832967, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.8969544309594687, 'recall': 0.09951221990752503, 'f1-score': 0.17914884859018043, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9939393939393939, 'recall': 0.4530386740331492, 'f1-score': 0.6223908918406073, 'support': 362}, 'accuracy': 0.9750563226493069, 'macro avg': {'precision': 0.9553948113007319, 'recall': 0.5174101404014354, 'f1-score': 0.5962914063713615, 'support': 1447020}, 'weighted avg': {'precision': 0.9731643648740081, 'recall': 0.9750563226493069, 'f1-score': 0.9652588250294686, 'support': 1447020}}
[17];1;1;85;0.506981111260186;0.9733956855037876;0.9787638991346989;['ip.len'];0.4613942800876274;0.969915461535285;0.47336326719271016;0.9777619550585831;0.4700225085645567;0.9732759234407128;1447020;0.34593958344149955;0.9603452335638423;0.9730155768406795;{'Other': {'precision': 0.9788141624525535, 'recall': 0.9997339939401582, 'f1-score': 0.9891634821140578, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9770490996202449, 'recall': 0.316154352321874, 'f1-score': 0.47772579761244605, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.25, 'recall': 0.030303030303030176, 'f1-score': 0.054054054054053856, 'support': 22.000000000000092}, 'accuracy': 0.9787638991346989, 'macro avg': {'precision': 0.7352877540242662, 'recall': 0.4487304588550208, 'f1-score': 0.506981111260186, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9784883268723984, 'recall': 0.9787638991347453, 'f1-score': 0.9733956855037876, 'support': 58812.99999992633}};{'Other': {'precision': 0.9730964961962081, 'recall': 0.9998983866933466, 'f1-score': 0.9863153980597564, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.8529718456725756, 'recall': 0.02078146435648595, 'f1-score': 0.04057439051610823, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.5, 'recall': 0.0055248618784530384, 'f1-score': 0.01092896174863388, 'support': 362}, 'accuracy': 0.9730155768406795, 'macro avg': {'precision': 0.7753561139562613, 'recall': 0.3420682376427619, 'f1-score': 0.34593958344149955, 'support': 1447020}, 'weighted avg': {'precision': 0.9697104977818571, 'recall': 0.9730155768406795, 'f1-score': 0.9603452335638423, 'support': 1447020}}
[18];1;2;85;0.6722306822498477;0.9762362477524136;0.9801177253856448;['ip.len', 'tcp.window_size_value'];0.6481899111073844;0.9702799207362756;0.6694508541282844;0.9828092759530805;0.6504418841911414;0.9757072842161317;1447020;0.769967823907213;0.9814407475311506;0.9843416124172437;{'Other': {'precision': 0.9810582152155993, 'recall': 0.9987756704100981, 'f1-score': 0.9898376664096998, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9444447652367708, 'recall': 0.3829714231998867, 'f1-score': 0.5449614959154442, 'support': 1772.9999999999459}, 'NEST Protect smoke alarm': {'precision': 0.35535675798380606, 'recall': 0.7483761055531389, 'f1-score': 0.4818928844243992, 'support': 22.000000000000092}, 'accuracy': 0.9801177253856448, 'macro avg': {'precision': 0.7602865794787254, 'recall': 0.7100410663877078, 'f1-score': 0.6722306822498477, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9797203974053931, 'recall': 0.9801177253854962, 'f1-score': 0.9762362477524136, 'support': 58812.99999992633}};{'Other': {'precision': 0.9844847373651135, 'recall': 0.9996539462913275, 'f1-score': 0.9920113557354785, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.9867002980967668, 'recall': 0.4372745287332961, 'f1-score': 0.6059923247544274, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.5721476510067114, 'recall': 0.9419889502762431, 'f1-score': 0.7118997912317329, 'support': 362}, 'accuracy': 0.9843416124172437, 'macro avg': {'precision': 0.8477775621561973, 'recall': 0.792972475100289, 'f1-score': 0.769967823907213, 'support': 1447020}, 'weighted avg': {'precision': 0.9844418512102974, 'recall': 0.9843416124172437, 'f1-score': 0.9814407475311506, 'support': 1447020}}
[16];1;3;85;0.7630713082286378;0.9850407623708436;0.9863932686078929;['ip.len', 'tcp.window_size_value', 'dstport'];0.699640671428371;0.9755215388351834;0.7893860918339867;0.9932419999158602;0.7325206036487915;0.9833913607613853;1447020;0.6106240355502239;0.9653168489650071;0.9748883913145637;{'Other': {'precision': 0.9878017984708812, 'recall': 0.998292662678463, 'f1-score': 0.9930195233749456, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9183099330759033, 'recall': 0.6108833987827734, 'f1-score': 0.7336944013109692, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.8999999999999999, 'recall': 0.40909090909090784, 'f1-score': 0.5624999999999988, 'support': 22.000000000000092}, 'accuracy': 0.9863932686078929, 'macro avg': {'precision': 0.9353705771822615, 'recall': 0.6727556568507147, 'f1-score': 0.7630713082286378, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9856740254120029, 'recall': 0.986393268607988, 'f1-score': 0.9850407623708436, 'support': 58812.99999992633}};{'Other': {'precision': 0.9754031338013761, 'recall': 0.999381082586748, 'f1-score': 0.9872465373455657, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.8245046502224019, 'recall': 0.10360245922463289, 'f1-score': 0.18407511058950982, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9836065573770492, 'recall': 0.4972375690607735, 'f1-score': 0.6605504587155964, 'support': 362}, 'accuracy': 0.9748883913145637, 'macro avg': {'precision': 0.9278381138002757, 'recall': 0.5334070369573848, 'f1-score': 0.6106240355502239, 'support': 1447020}, 'weighted avg': {'precision': 0.9713004286063538, 'recall': 0.9748883913145637, 'f1-score': 0.9653168489650071, 'support': 1447020}}
[17];1;4;85;0.5040006838690055;0.9730091914333471;0.9783403704654651;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration'];0.38863011724811153;0.9602474734150193;0.6346366431567951;0.9928005165940907;0.4964673792655714;0.9756608801058172;1447020;0.3757622366794094;0.9634039895011961;0.9739934486047187;{'Other': {'precision': 0.9787667818760861, 'recall': 0.9993379841258174, 'f1-score': 0.9889454184030011, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9420760776790751, 'recall': 0.31484058806394705, 'f1-score': 0.4719545764350579, 'support': 1772.9999999999463}, 'NEST Protect smoke alarm': {'precision': 0.16293629520345124, 'recall': 0.030303030303030176, 'f1-score': 0.05110205676895769, 'support': 22.000000000000092}, 'accuracy': 0.9783403704654651, 'macro avg': {'precision': 0.6945930515862041, 'recall': 0.44816053416426493, 'f1-score': 0.5040006838690055, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9773555141419422, 'recall': 0.9783403704655158, 'f1-score': 0.9730091914333471, 'support': 58812.99999992633}};{'Other': {'precision': 0.97448119900674, 'recall': 0.9994315339487926, 'f1-score': 0.9867986798679867, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.9028428616057482, 'recall': 0.07342106600274376, 'f1-score': 0.13579869840001876, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.004073319755600814, 'recall': 0.0055248618784530384, 'f1-score': 0.004689331770222744, 'support': 362}, 'accuracy': 0.9739934486047187, 'macro avg': {'precision': 0.6271324601226963, 'recall': 0.35945915394332983, 'f1-score': 0.3757622366794094, 'support': 1447020}, 'weighted avg': {'precision': 0.9722897186615708, 'recall': 0.9739934486047187, 'f1-score': 0.9634039895011961, 'support': 1447020}}
[14];1;5;85;0.7847797870795651;0.9877273291282646;0.9887050365131154;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration', 'udp.length'];0.5121177706134747;0.97524452055706;0.8510497378908052;0.9975948745977904;0.707336437952074;0.9853398649279522;1447020;0.48309219068912884;0.9654061059315433;0.9743597185940761;{'Other': {'precision': 0.9894088539295681, 'recall': 0.9990437394174436, 'f1-score': 0.9942029541460866, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9665769601200475, 'recall': 0.6602764103585315, 'f1-score': 0.784591871823804, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.5090810710540401, 'recall': 0.6619683083694795, 'f1-score': 0.5755445352688044, 'support': 22.000000000000092}, 'accuracy': 0.9887050365131154, 'macro avg': {'precision': 0.8216889617012185, 'recall': 0.7737628193818181, 'f1-score': 0.7847797870795651, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9885408798601004, 'recall': 0.9887050365132346, 'f1-score': 0.9877273291282646, 'support': 58812.99999992633}};{'Other': {'precision': 0.9757208407053837, 'recall': 0.9984814850607122, 'f1-score': 0.9869699587696933, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.9318755256518082, 'recall': 0.11259590467964026, 'f1-score': 0.20091572600752527, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.152803738317757, 'recall': 0.9033149171270718, 'f1-score': 0.2613908872901679, 'support': 362}, 'accuracy': 0.9743597185940761, 'macro avg': {'precision': 0.6868000348916498, 'recall': 0.6714641022891414, 'f1-score': 0.48309219068912884, 'support': 1447020}, 'weighted avg': {'precision': 0.9743222869312803, 'recall': 0.9743597185940761, 'f1-score': 0.9654061059315433, 'support': 1447020}}
[16];1;6;85;0.8373767921249806;0.9882786309285004;0.9892942731954951;['ip.len', 'tcp.window_size_value', 'dstport', 'Flow Duration', 'udp.length', 'ip.ttl'];0.6538696571393596;0.978842850827363;0.9249806666825503;0.9977171050946549;0.7605408281133634;0.9874643395831288;1447020;0.5047852371423028;0.9657107912359346;0.9748496910892731;{'Other': {'precision': 0.9894302491747621, 'recall': 0.9996360187735277, 'f1-score': 0.9945069514042674, 'support': 57017.99999992638}, 'Withings Smart Baby Monitor': {'precision': 0.9882673014354835, 'recall': 0.6597029310227527, 'f1-score': 0.7912313251173451, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.7056628229473644, 'recall': 0.7483761055531386, 'f1-score': 0.7263920998533292, 'support': 22.000000000000092}, 'accuracy': 0.9892942731954951, 'macro avg': {'precision': 0.8944534578525366, 'recall': 0.8025716851164729, 'f1-score': 0.8373767921249806, 'support': 58812.99999992633}, 'weighted avg': {'precision': 0.9892890424735437, 'recall': 0.989294273195616, 'f1-score': 0.9882786309285004, 'support': 58812.99999992633}};{'Other': {'precision': 0.975747976626663, 'recall': 0.9989689446996225, 'f1-score': 0.9872219313833199, 'support': 1407296}, 'Withings Smart Baby Monitor': {'precision': 0.988206497552292, 'recall': 0.1128245515979879, 'f1-score': 0.20252645020065668, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.1960897067280046, 'recall': 0.9419889502762431, 'f1-score': 0.324607329842932, 'support': 362}, 'accuracy': 0.9748496910892731, 'macro avg': {'precision': 0.7200147269689866, 'recall': 0.6845941488579511, 'f1-score': 0.5047852371423028, 'support': 1447020}, 'weighted avg': {'precision': 0.9758918281331876, 'recall': 0.9748496910892731, 'f1-score': 0.9657107912359346, 'support': 1447020}}
