depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;41;0.5341453667399305;0.745971243480671;0.751251882982414;['ip.len'];0.7001328375219092;0.6870982053759186;0.43379442120309525;0.6574360832552453;0.6135843741645867;0.6792924811060287;375440;0.3724908841800494;0.8547801413925166;0.8970514596207116;{'Other': {'precision': 0.7387663582191439, 'recall': 0.8513360940339904, 'f1-score': 0.7910665943805218, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.7737268987612407, 'recall': 0.6354624929498306, 'f1-score': 0.69781170201992, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.43491945391361797, 'recall': 0.06530441890324719, 'f1-score': 0.11355780381934955, 'support': 22.000000000000092}, 'accuracy': 0.751251882982414, 'macro avg': {'precision': 0.6491375702980009, 'recall': 0.5173676686290227, 'f1-score': 0.5341453667399305, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.7526018364493448, 'recall': 0.7512518829824776, 'f1-score': 0.745971243480671, 'support': 3997.0000000218133}};{'Other': {'precision': 0.8984925593760983, 'recall': 0.9976110760285479, 'f1-score': 0.9454611153377644, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.696776611694153, 'recall': 0.04722829124536355, 'f1-score': 0.08846062336426362, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.7619047619047619, 'recall': 0.04419889502762431, 'f1-score': 0.08355091383812009, 'support': 362}, 'accuracy': 0.8970514596207116, 'macro avg': {'precision': 0.7857246443250044, 'recall': 0.363012754100512, 'f1-score': 0.3724908841800494, 'support': 375440}, 'weighted avg': {'precision': 0.8772124935457623, 'recall': 0.8970514596207116, 'f1-score': 0.8547801413925166, 'support': 375440}}
5;1;2;41;0.7535096859866167;0.745734602504459;0.7634704729180025;['ip.len', 'ip.ttl'];0.7562076633456258;0.7394678651246184;0.7519324732118879;0.7461236675291648;0.7533938648220557;0.7417007409001576;375440;0.6609069134841352;0.8588274069767968;0.9000213083315577;{'Other': {'precision': 0.7063864175965664, 'recall': 0.9773576204580731, 'f1-score': 0.8200678162741966, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9528076211412352, 'recall': 0.49658770445575007, 'f1-score': 0.6528964748462744, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.7238095238095255, 'recall': 0.8636363636363631, 'f1-score': 0.787564766839379, 'support': 22.000000000000092}, 'accuracy': 0.7634704729180025, 'macro avg': {'precision': 0.7943345208491092, 'recall': 0.7791938961833953, 'f1-score': 0.7535096859866167, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8157904962102726, 'recall': 0.7634704729180419, 'f1-score': 0.745734602504459, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9003192297675717, 'recall': 0.9988561760535691, 'f1-score': 0.9470314540897378, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.8581916537867079, 'recall': 0.05642497840556882, 'f1-score': 0.10588796185935638, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.8931297709923665, 'recall': 0.9696132596685083, 'f1-score': 0.9298013245033113, 'support': 362}, 'accuracy': 0.9000213083315577, 'macro avg': {'precision': 0.8838802181822154, 'recall': 0.6749648047092155, 'f1-score': 0.6609069134841352, 'support': 375440}, 'weighted avg': {'precision': 0.8958955449448692, 'recall': 0.9000213083315577, 'f1-score': 0.8588274069767968, 'support': 375440}}
5;1;3;41;0.6820052644712251;0.8203672026504426;0.8235273916676045;['ip.len', 'ip.ttl', 'Flow IAT Max'];0.4919987687611709;0.7428465517280172;0.7504054661487444;0.9009410603643232;0.6305298607608433;0.8036729546517913;375440;0.473427855833747;0.6339361322614958;0.5513157894736842;{'Other': {'precision': 0.7925621112509158, 'recall': 0.9206296732344026, 'f1-score': 0.8518091250573024, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.8833342049225485, 'recall': 0.7086968969351622, 'f1-score': 0.7864371610012046, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.4722779259191231, 'recall': 0.35876571594274664, 'f1-score': 0.40776950735516804, 'support': 22.000000000000092}, 'accuracy': 0.8235273916676045, 'macro avg': {'precision': 0.7160580806975291, 'recall': 0.6626974287041038, 'f1-score': 0.6820052644712251, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8310641552843561, 'recall': 0.8235273916640149, 'f1-score': 0.8203672026504426, 'support': 3997.0000000218133}};{'Other': {'precision': 0.946360521343709, 'recall': 0.5281607072644735, 'f1-score': 0.6779562512665415, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.15717975344143567, 'recall': 0.7498602713276764, 'f1-score': 0.25988456814309674, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.5392491467576792, 'recall': 0.43646408839779005, 'f1-score': 0.48244274809160304, 'support': 362}, 'accuracy': 0.5513157894736842, 'macro avg': {'precision': 0.5475964738476079, 'recall': 0.5714950223299801, 'f1-score': 0.473427855833747, 'support': 375440}, 'weighted avg': {'precision': 0.8632284424395714, 'recall': 0.5513157894736842, 'f1-score': 0.6339361322614958, 'support': 375440}}
5;1;4;41;0.6496260889180119;0.7262462584097804;0.7493813208615939;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport'];0.5632403066096314;0.5978478033846352;0.816718423578567;0.9701753078089406;0.6636152246461388;0.7453834788755539;375440;0.5895948367896194;0.8705951722247154;0.9055561474536544;{'Other': {'precision': 0.6904947176739188, 'recall': 0.9895430711968117, 'f1-score': 0.8134034461587925, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9734516751106278, 'recall': 0.45551981389546314, 'f1-score': 0.6206233354467298, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.7428571428571412, 'recall': 0.3939393939393926, 'f1-score': 0.5148514851485133, 'support': 22.000000000000092}, 'accuracy': 0.7493813208615939, 'macro avg': {'precision': 0.8022678452138959, 'recall': 0.6130007596772225, 'f1-score': 0.6496260889180119, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8162977346582962, 'recall': 0.7493813208616388, 'f1-score': 0.7262462584097804, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9049867010515071, 'recall': 0.9993089396990313, 'f1-score': 0.9498118688262823, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9495835160017536, 'recall': 0.11005538336466643, 'f1-score': 0.19724979510062834, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9651162790697675, 'recall': 0.4585635359116022, 'f1-score': 0.6217228464419476, 'support': 362}, 'accuracy': 0.9055561474536544, 'macro avg': {'precision': 0.9398954987076761, 'recall': 0.5226426196584334, 'f1-score': 0.5895948367896194, 'support': 375440}, 'weighted avg': {'precision': 0.9097203115813234, 'recall': 0.9055561474536544, 'f1-score': 0.8705951722247154, 'support': 375440}}
5;1;5;41;0.7033715115159218;0.7243693028331732;0.7467035824232804;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration'];0.3851088209688261;0.5943276814240415;0.8848651362150353;0.9661261749542323;0.6591399942516407;0.742779274535244;375440;0.6356509729091121;0.870278927771999;0.9049355422970381;{'Other': {'precision': 0.6899585824094898, 'recall': 0.9810888371723149, 'f1-score': 0.8101633207782798, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9626319166211371, 'recall': 0.45545401205301134, 'f1-score': 0.6183469699403829, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.6185732745604302, 'recall': 0.7589380053391763, 'f1-score': 0.681604243829103, 'support': 22.000000000000092}, 'accuracy': 0.7467035824232804, 'macro avg': {'precision': 0.7570545911970191, 'recall': 0.7318269515215009, 'f1-score': 0.7033715115159218, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8105188387972625, 'recall': 0.7467035824233248, 'f1-score': 0.7243693028331732, 'support': 3997.0000000218133}};{'Other': {'precision': 0.905280363100947, 'recall': 0.998120435129693, 'f1-score': 0.9494362204456686, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9062172911869374, 'recall': 0.10997916772521721, 'f1-score': 0.19615306191803167, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.6467181467181468, 'recall': 0.925414364640884, 'f1-score': 0.7613636363636364, 'support': 362}, 'accuracy': 0.9049355422970381, 'macro avg': {'precision': 0.8194052670020104, 'recall': 0.6778379891652647, 'f1-score': 0.6356509729091121, 'support': 375440}, 'weighted avg': {'precision': 0.905129286606674, 'recall': 0.9049355422970381, 'f1-score': 0.870278927771999, 'support': 375440}}
5;1;6;41;0.7309253670823272;0.8507091900016202;0.8553602698311139;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'srcport'];0.49193919346970066;0.74269024787503;0.8368913373833126;0.9749373067707954;0.6554417833334265;0.8270550489857185;375440;0.6928473093210329;0.9151287862482336;0.9304362880886426;{'Other': {'precision': 0.801174976195643, 'recall': 0.9808752504939648, 'f1-score': 0.8819647097435881, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9674522469930362, 'recall': 0.7060132644338035, 'f1-score': 0.8163109600041885, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 1.0, 'recall': 0.3284626856397165, 'f1-score': 0.4945004314992053, 'support': 22.000000000000092}, 'accuracy': 0.8553602698311139, 'macro avg': {'precision': 0.9228757410628932, 'recall': 0.6717837335224949, 'f1-score': 0.7309253670823272, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.876027053164828, 'recall': 0.8553602698312912, 'f1-score': 0.8507091900016202, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9283743583357547, 'recall': 0.9993029822826437, 'f1-score': 0.9625337658034001, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9831884474459373, 'recall': 0.347670341954169, 'f1-score': 0.5136915598430961, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 1.0, 'recall': 0.430939226519337, 'f1-score': 0.6023166023166023, 'support': 362}, 'accuracy': 0.9304362880886426, 'macro avg': {'precision': 0.970520935260564, 'recall': 0.5926375169187166, 'f1-score': 0.6928473093210329, 'support': 375440}, 'weighted avg': {'precision': 0.934190256103274, 'recall': 0.9304362880886426, 'f1-score': 0.9151287862482336, 'support': 375440}}
5;1;7;41;0.7256865492939397;0.7615869858831102;0.7655778999985047;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'srcport', 'Flow IAT Mean'];0.3738572453422575;0.542287199963361;0.8954584483869702;0.980294044207435;0.6255061636796277;0.7051525087044873;375440;0.6212031188338574;0.8703847499682573;0.9051432985297251;{'Other': {'precision': 0.747758038809183, 'recall': 0.8671811038211213, 'f1-score': 0.8030539657730087, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.8016345102377743, 'recall': 0.6392848878889718, 'f1-score': 0.7113136635838506, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.5793229418878804, 'recall': 0.7740895204906916, 'f1-score': 0.66269201852496, 'support': 22.000000000000092}, 'accuracy': 0.7655778999985047, 'macro avg': {'precision': 0.7095718303116126, 'recall': 0.7601851707335948, 'f1-score': 0.7256865492939397, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.7707296204229233, 'recall': 0.765577899998569, 'f1-score': 0.7615869858831102, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9052920728298126, 'recall': 0.9983706466179747, 'f1-score': 0.9495558461021972, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9322984044846917, 'recall': 0.10985214165946852, 'f1-score': 0.19654545454545452, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.5869947275922671, 'recall': 0.9226519337016574, 'f1-score': 0.7175080558539204, 'support': 362}, 'accuracy': 0.9051432985297251, 'macro avg': {'precision': 0.8081950683022572, 'recall': 0.6769582406597001, 'f1-score': 0.6212031188338574, 'support': 375440}, 'weighted avg': {'precision': 0.9078165763127216, 'recall': 0.9051432985297251, 'f1-score': 0.8703847499682573, 'support': 375440}}
5;1;8;41;0.7521317503073974;0.7433140595762984;0.7616985109172874;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'srcport', 'Flow IAT Mean', 'tcp.window_size_value'];0.6360943339321095;0.6954764554050858;0.929053915774032;0.982803431918283;0.762299326791745;0.7961784651892334;375440;0.6827183356241117;0.8732052796455281;0.9068746004687833;{'Other': {'precision': 0.704118968935817, 'recall': 0.9794635526385604, 'f1-score': 0.819275393936914, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9537326137718957, 'recall': 0.4911692507172214, 'f1-score': 0.6484096184020772, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.8110183160620833, 'recall': 0.7675965318206702, 'f1-score': 0.7887102385832013, 'support': 22.000000000000092}, 'accuracy': 0.7616985109172874, 'macro avg': {'precision': 0.8229566329232654, 'recall': 0.7460764450588173, 'f1-score': 0.7521317503073974, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8154316479272365, 'recall': 0.7616985109173318, 'f1-score': 0.7433140595762984, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9064608981202449, 'recall': 0.999017026296036, 'f1-score': 0.9504910650393718, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9435724220147029, 'recall': 0.12064935724810731, 'f1-score': 0.21394301160040546, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.8300970873786407, 'recall': 0.9447513812154696, 'f1-score': 0.883720930232558, 'support': 362}, 'accuracy': 0.9068746004687833, 'macro avg': {'precision': 0.8933768025045294, 'recall': 0.6881392549198709, 'f1-score': 0.6827183356241117, 'support': 375440}, 'weighted avg': {'precision': 0.910278126183438, 'recall': 0.9068746004687833, 'f1-score': 0.8732052796455281, 'support': 375440}}
5;1;9;41;0.9082499590095875;0.9294603259916004;0.9300463813051079;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'srcport', 'Flow IAT Mean', 'tcp.window_size_value', 'udp.length'];0.8458470843817237;0.8346112027000857;0.946150854880992;0.9792435973194047;0.8811222793539827;0.8851446469582769;375440;0.7018037863515886;0.8751671962967519;0.9080811847432346;{'Other': {'precision': 0.8982661827553632, 'recall': 0.9845256233903943, 'f1-score': 0.9394199301919738, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9791728582864756, 'recall': 0.8637732449915645, 'f1-score': 0.9178600673187168, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.9230769230769221, 'recall': 0.818181818181818, 'f1-score': 0.8674698795180718, 'support': 22.000000000000092}, 'accuracy': 0.9300463813051079, 'macro avg': {'precision': 0.9335053213729202, 'recall': 0.8888268955212589, 'f1-score': 0.9082499590095875, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.9342915447776166, 'recall': 0.9300463813052006, 'f1-score': 0.9294603259916004, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9072266417179972, 'recall': 0.9994042583612339, 'f1-score': 0.9510872492353397, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9699291323501245, 'recall': 0.12865199939027488, 'f1-score': 0.22717179193863132, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.8905852417302799, 'recall': 0.9668508287292817, 'f1-score': 0.9271523178807947, 'support': 362}, 'accuracy': 0.9080811847432346, 'macro avg': {'precision': 0.9225803385994672, 'recall': 0.6983023621602635, 'f1-score': 0.7018037863515886, 'support': 375440}, 'weighted avg': {'precision': 0.9137844705307668, 'recall': 0.9080811847432346, 'f1-score': 0.8751671962967519, 'support': 375440}}
5;1;1;85;0.5341453667399305;0.745971243480671;0.751251882982414;['ip.len'];0.7001328375219092;0.6870982053759186;0.43379442120309525;0.6574360832552453;0.6135843741645867;0.6792924811060287;375440;0.3724908841800494;0.8547801413925166;0.8970514596207116;{'Other': {'precision': 0.7387663582191439, 'recall': 0.8513360940339904, 'f1-score': 0.7910665943805218, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.7737268987612407, 'recall': 0.6354624929498306, 'f1-score': 0.69781170201992, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.43491945391361797, 'recall': 0.06530441890324719, 'f1-score': 0.11355780381934955, 'support': 22.000000000000092}, 'accuracy': 0.751251882982414, 'macro avg': {'precision': 0.6491375702980009, 'recall': 0.5173676686290227, 'f1-score': 0.5341453667399305, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.7526018364493448, 'recall': 0.7512518829824776, 'f1-score': 0.745971243480671, 'support': 3997.0000000218133}};{'Other': {'precision': 0.8984925593760983, 'recall': 0.9976110760285479, 'f1-score': 0.9454611153377644, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.696776611694153, 'recall': 0.04722829124536355, 'f1-score': 0.08846062336426362, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.7619047619047619, 'recall': 0.04419889502762431, 'f1-score': 0.08355091383812009, 'support': 362}, 'accuracy': 0.8970514596207116, 'macro avg': {'precision': 0.7857246443250044, 'recall': 0.363012754100512, 'f1-score': 0.3724908841800494, 'support': 375440}, 'weighted avg': {'precision': 0.8772124935457623, 'recall': 0.8970514596207116, 'f1-score': 0.8547801413925166, 'support': 375440}}
5;1;2;85;0.7535096859866167;0.745734602504459;0.7634704729180025;['ip.len', 'ip.ttl'];0.7562076633456258;0.7394678651246184;0.7519324732118879;0.7461236675291648;0.7533938648220557;0.7417007409001576;375440;0.6609069134841352;0.8588274069767968;0.9000213083315577;{'Other': {'precision': 0.7063864175965664, 'recall': 0.9773576204580731, 'f1-score': 0.8200678162741966, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9528076211412352, 'recall': 0.49658770445575007, 'f1-score': 0.6528964748462744, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.7238095238095255, 'recall': 0.8636363636363631, 'f1-score': 0.787564766839379, 'support': 22.000000000000092}, 'accuracy': 0.7634704729180025, 'macro avg': {'precision': 0.7943345208491092, 'recall': 0.7791938961833953, 'f1-score': 0.7535096859866167, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8157904962102726, 'recall': 0.7634704729180419, 'f1-score': 0.745734602504459, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9003192297675717, 'recall': 0.9988561760535691, 'f1-score': 0.9470314540897378, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.8581916537867079, 'recall': 0.05642497840556882, 'f1-score': 0.10588796185935638, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.8931297709923665, 'recall': 0.9696132596685083, 'f1-score': 0.9298013245033113, 'support': 362}, 'accuracy': 0.9000213083315577, 'macro avg': {'precision': 0.8838802181822154, 'recall': 0.6749648047092155, 'f1-score': 0.6609069134841352, 'support': 375440}, 'weighted avg': {'precision': 0.8958955449448692, 'recall': 0.9000213083315577, 'f1-score': 0.8588274069767968, 'support': 375440}}
5;1;3;85;0.6820052644712251;0.8203672026504426;0.8235273916676045;['ip.len', 'ip.ttl', 'Flow IAT Max'];0.4919987687611709;0.7428465517280172;0.7504054661487444;0.9009410603643232;0.6305298607608433;0.8036729546517913;375440;0.473427855833747;0.6339361322614958;0.5513157894736842;{'Other': {'precision': 0.7925621112509158, 'recall': 0.9206296732344026, 'f1-score': 0.8518091250573024, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.8833342049225485, 'recall': 0.7086968969351622, 'f1-score': 0.7864371610012046, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.4722779259191231, 'recall': 0.35876571594274664, 'f1-score': 0.40776950735516804, 'support': 22.000000000000092}, 'accuracy': 0.8235273916676045, 'macro avg': {'precision': 0.7160580806975291, 'recall': 0.6626974287041038, 'f1-score': 0.6820052644712251, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8310641552843561, 'recall': 0.8235273916640149, 'f1-score': 0.8203672026504426, 'support': 3997.0000000218133}};{'Other': {'precision': 0.946360521343709, 'recall': 0.5281607072644735, 'f1-score': 0.6779562512665415, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.15717975344143567, 'recall': 0.7498602713276764, 'f1-score': 0.25988456814309674, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.5392491467576792, 'recall': 0.43646408839779005, 'f1-score': 0.48244274809160304, 'support': 362}, 'accuracy': 0.5513157894736842, 'macro avg': {'precision': 0.5475964738476079, 'recall': 0.5714950223299801, 'f1-score': 0.473427855833747, 'support': 375440}, 'weighted avg': {'precision': 0.8632284424395714, 'recall': 0.5513157894736842, 'f1-score': 0.6339361322614958, 'support': 375440}}
5;1;4;85;0.6496260889180119;0.7262462584097804;0.7493813208615939;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport'];0.5632403066096314;0.5978478033846352;0.816718423578567;0.9701753078089406;0.6636152246461388;0.7453834788755539;375440;0.5895948367896194;0.8705951722247154;0.9055561474536544;{'Other': {'precision': 0.6904947176739188, 'recall': 0.9895430711968117, 'f1-score': 0.8134034461587925, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9734516751106278, 'recall': 0.45551981389546314, 'f1-score': 0.6206233354467298, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.7428571428571412, 'recall': 0.3939393939393926, 'f1-score': 0.5148514851485133, 'support': 22.000000000000092}, 'accuracy': 0.7493813208615939, 'macro avg': {'precision': 0.8022678452138959, 'recall': 0.6130007596772225, 'f1-score': 0.6496260889180119, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8162977346582962, 'recall': 0.7493813208616388, 'f1-score': 0.7262462584097804, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9049867010515071, 'recall': 0.9993089396990313, 'f1-score': 0.9498118688262823, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9495835160017536, 'recall': 0.11005538336466643, 'f1-score': 0.19724979510062834, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.9651162790697675, 'recall': 0.4585635359116022, 'f1-score': 0.6217228464419476, 'support': 362}, 'accuracy': 0.9055561474536544, 'macro avg': {'precision': 0.9398954987076761, 'recall': 0.5226426196584334, 'f1-score': 0.5895948367896194, 'support': 375440}, 'weighted avg': {'precision': 0.9097203115813234, 'recall': 0.9055561474536544, 'f1-score': 0.8705951722247154, 'support': 375440}}
5;1;5;85;0.7033715115159218;0.7243693028331732;0.7467035824232804;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration'];0.3851088209688261;0.5943276814240415;0.8848651362150353;0.9661261749542323;0.6591399942516407;0.742779274535244;375440;0.6356509729091121;0.870278927771999;0.9049355422970381;{'Other': {'precision': 0.6899585824094898, 'recall': 0.9810888371723149, 'f1-score': 0.8101633207782798, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9626319166211371, 'recall': 0.45545401205301134, 'f1-score': 0.6183469699403829, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 0.6185732745604302, 'recall': 0.7589380053391763, 'f1-score': 0.681604243829103, 'support': 22.000000000000092}, 'accuracy': 0.7467035824232804, 'macro avg': {'precision': 0.7570545911970191, 'recall': 0.7318269515215009, 'f1-score': 0.7033715115159218, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.8105188387972625, 'recall': 0.7467035824233248, 'f1-score': 0.7243693028331732, 'support': 3997.0000000218133}};{'Other': {'precision': 0.905280363100947, 'recall': 0.998120435129693, 'f1-score': 0.9494362204456686, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9062172911869374, 'recall': 0.10997916772521721, 'f1-score': 0.19615306191803167, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 0.6467181467181468, 'recall': 0.925414364640884, 'f1-score': 0.7613636363636364, 'support': 362}, 'accuracy': 0.9049355422970381, 'macro avg': {'precision': 0.8194052670020104, 'recall': 0.6778379891652647, 'f1-score': 0.6356509729091121, 'support': 375440}, 'weighted avg': {'precision': 0.905129286606674, 'recall': 0.9049355422970381, 'f1-score': 0.870278927771999, 'support': 375440}}
5;1;6;85;0.7309253670823272;0.8507091900016202;0.8553602698311139;['ip.len', 'ip.ttl', 'Flow IAT Max', 'dstport', 'Flow Duration', 'srcport'];0.49193919346970066;0.74269024787503;0.8368913373833126;0.9749373067707954;0.6554417833334265;0.8270550489857185;375440;0.6928473093210329;0.9151287862482336;0.9304362880886426;{'Other': {'precision': 0.801174976195643, 'recall': 0.9808752504939648, 'f1-score': 0.8819647097435881, 'support': 2202.0000000218674}, 'Withings Smart Baby Monitor': {'precision': 0.9674522469930362, 'recall': 0.7060132644338035, 'f1-score': 0.8163109600041885, 'support': 1772.999999999946}, 'NEST Protect smoke alarm': {'precision': 1.0, 'recall': 0.3284626856397165, 'f1-score': 0.4945004314992053, 'support': 22.000000000000092}, 'accuracy': 0.8553602698311139, 'macro avg': {'precision': 0.9228757410628932, 'recall': 0.6717837335224949, 'f1-score': 0.7309253670823272, 'support': 3997.0000000218133}, 'weighted avg': {'precision': 0.876027053164828, 'recall': 0.8553602698312912, 'f1-score': 0.8507091900016202, 'support': 3997.0000000218133}};{'Other': {'precision': 0.9283743583357547, 'recall': 0.9993029822826437, 'f1-score': 0.9625337658034001, 'support': 335716}, 'Withings Smart Baby Monitor': {'precision': 0.9831884474459373, 'recall': 0.347670341954169, 'f1-score': 0.5136915598430961, 'support': 39362}, 'NEST Protect smoke alarm': {'precision': 1.0, 'recall': 0.430939226519337, 'f1-score': 0.6023166023166023, 'support': 362}, 'accuracy': 0.9304362880886426, 'macro avg': {'precision': 0.970520935260564, 'recall': 0.5926375169187166, 'f1-score': 0.6928473093210329, 'support': 375440}, 'weighted avg': {'precision': 0.934190256103274, 'recall': 0.9304362880886426, 'f1-score': 0.9151287862482336, 'support': 375440}}
