depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
5;1;1;500;0.8642702707826948;0.9700011484721333;0.9676269579149256;['srcport'];0.8701874934136067;0.9673226284494155;0.8865420521584308;0.9610655031114306;0.8756027411895907;0.9656842169634444;1488248;0.8589642376624493;0.9835615457118101;0.9816394848170467;{'Other': {'precision': 0.993345571362896, 'recall': 0.9723047684862075, 'f1-score': 0.982712556969765, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.6444099378881848, 'recall': 0.8851310176721466, 'f1-score': 0.7458279845956245, 'support': 3281.9999999995284}, 'accuracy': 0.9676269579149256, 'macro avg': {'precision': 0.8188777546255404, 'recall': 0.9287178930791771, 'f1-score': 0.8642702707826948, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9746214166742931, 'recall': 0.9676269579147444, 'f1-score': 0.9700011484721333, 'support': 61161.999999973625}};{'Other': {'precision': 0.9980458924505168, 'recall': 0.9830669076609544, 'f1-score': 0.9904997727942001, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.5977573035181482, 'recall': 0.9289444854908155, 'f1-score': 0.7274287025306987, 'support': 39251}, 'accuracy': 0.9816394848170467, 'macro avg': {'precision': 0.7979015979843325, 'recall': 0.956005696575885, 'f1-score': 0.8589642376624493, 'support': 1488248}, 'weighted avg': {'precision': 0.9874886953945259, 'recall': 0.9816394848170467, 'f1-score': 0.9835615457118101, 'support': 1488248}}
5;1;2;500;0.9419561244005374;0.9882711008402424;0.9883324547265737;['srcport', 'tcp.window_size_value'];0.9386084635550529;0.9857629482901024;0.9400084622642458;0.9804966335737152;0.9392056852748738;0.9844065497612937;1488248;0.945164293617478;0.994422149243045;0.9944767269971134;{'Other': {'precision': 0.9932191083813579, 'recall': 0.9944602287652932, 'f1-score': 0.9938392810913563, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9001013786438339, 'recall': 0.8802655560814499, 'f1-score': 0.8900729677097187, 'support': 3281.9999999995284}, 'accuracy': 0.9883324547265737, 'macro avg': {'precision': 0.9466602435125959, 'recall': 0.9373628924233715, 'f1-score': 0.9419561244005374, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9882223393254302, 'recall': 0.9883324547266992, 'f1-score': 0.9882711008402424, 'support': 61161.999999973625}};{'Other': {'precision': 0.996628196440131, 'recall': 0.9977025487285343, 'f1-score': 0.9971650832058426, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9116718405900927, 'recall': 0.8753917097653563, 'f1-score': 0.8931635040291135, 'support': 39251}, 'accuracy': 0.9944767269971134, 'macro avg': {'precision': 0.9541500185151118, 'recall': 0.9365471292469453, 'f1-score': 0.945164293617478, 'support': 1488248}, 'weighted avg': {'precision': 0.99438756052228, 'recall': 0.9944767269971134, 'f1-score': 0.994422149243045, 'support': 1488248}}
5;1;3;500;0.9429300058728681;0.9880829096708397;0.9877604902141225;['srcport', 'tcp.window_size_value', 'Packet Length Total'];0.9177656864250967;0.9806376781947669;0.9498537660479176;0.9830707112128719;0.9288226858589612;0.9813184055381053;1488248;0.9076969842927923;0.9899893099906474;0.9894627777090915;{'Other': {'precision': 0.9968800765232874, 'recall': 0.9901653754288225, 'f1-score': 0.9935113806868106, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.8449756887632223, 'recall': 0.9453489252455082, 'f1-score': 0.8923486310589257, 'support': 3281.9999999995284}, 'accuracy': 0.9877604902141225, 'macro avg': {'precision': 0.9209278826432548, 'recall': 0.9677571503371654, 'f1-score': 0.9429300058728681, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9887287701463102, 'recall': 0.9877604902141193, 'f1-score': 0.9880829096708397, 'support': 61161.999999973625}};{'Other': {'precision': 0.9976867686081097, 'recall': 0.9914761728285152, 'f1-score': 0.9945717753084657, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.7441320875888214, 'recall': 0.9151359201039464, 'f1-score': 0.8208221932771189, 'support': 39251}, 'accuracy': 0.9894627777090915, 'macro avg': {'precision': 0.8709094280984655, 'recall': 0.9533060464662308, 'f1-score': 0.9076969842927923, 'support': 1488248}, 'weighted avg': {'precision': 0.9909995264383314, 'recall': 0.9894627777090915, 'f1-score': 0.9899893099906474, 'support': 1488248}}
5;1;4;500;0.9405544738311787;0.9879981126352185;0.9880712201332995;['srcport', 'tcp.window_size_value', 'Packet Length Total', 'dstport'];0.9353309863230271;0.9850383400681786;0.9387403738661809;0.9800981193192339;0.9365980337534583;0.9837669359358548;1488248;0.9425609360373555;0.9941681590269303;0.9942361756911482;{'Other': {'precision': 0.9929808322709511, 'recall': 0.9944241867626818, 'f1-score': 0.9937019853981369, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.8990802436302503, 'recall': 0.8760329177259615, 'f1-score': 0.8874069622642206, 'support': 3281.9999999995284}, 'accuracy': 0.9880712201332995, 'macro avg': {'precision': 0.9460305379506007, 'recall': 0.9352285522443217, 'f1-score': 0.9405544738311787, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9879420544036664, 'recall': 0.9880712201334246, 'f1-score': 0.9879981126352185, 'support': 61161.999999973625}};{'Other': {'precision': 0.9964035000051694, 'recall': 0.9976811546193678, 'f1-score': 0.9970419180013326, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9101436097665339, 'recall': 0.867060711828998, 'f1-score': 0.8880799540733784, 'support': 39251}, 'accuracy': 0.9942361756911482, 'macro avg': {'precision': 0.9532735548858516, 'recall': 0.932370933224183, 'f1-score': 0.9425609360373555, 'support': 1488248}, 'weighted avg': {'precision': 0.9941284847175583, 'recall': 0.9942361756911482, 'f1-score': 0.9941681590269303, 'support': 1488248}}
5;1;5;500;0.9162223309749433;0.9833964636354018;0.9838128452739828;['srcport', 'tcp.window_size_value', 'Packet Length Total', 'dstport', 'Max Packet Length'];0.8657089894221517;0.9668836046309717;0.9332649652274729;0.9791128077793966;0.8850645495116661;0.9696625469288429;1488248;0.7611796052673244;0.971756859424736;0.9681081378909967;{'Other': {'precision': 0.9885906682449714, 'recall': 0.9943710193761718, 'f1-score': 0.9914724189228371, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.8893163156505971, 'recall': 0.7976132361843711, 'f1-score': 0.8409722430270496, 'support': 3281.9999999995284}, 'accuracy': 0.9838128452739828, 'macro avg': {'precision': 0.9389534919477842, 'recall': 0.8959921277802714, 'f1-score': 0.9162223309749433, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9832635300674294, 'recall': 0.9838128452740222, 'f1-score': 0.9833964636354018, 'support': 61161.999999973625}};{'Other': {'precision': 0.9919147532237798, 'recall': 0.9751931853551111, 'f1-score': 0.9834828977365064, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.43551933163730017, 'recall': 0.7065552470000764, 'f1-score': 0.5388763127981424, 'support': 39251}, 'accuracy': 0.9681081378909967, 'macro avg': {'precision': 0.7137170424305399, 'recall': 0.8408742161775937, 'f1-score': 0.7611796052673244, 'support': 1488248}, 'weighted avg': {'precision': 0.9772404000966861, 'recall': 0.9681081378909967, 'f1-score': 0.971756859424736, 'support': 1488248}}
5;1;6;500;0.9515419765469498;0.990067781046539;0.9899788120948939;['srcport', 'tcp.window_size_value', 'Packet Length Total', 'dstport', 'Max Packet Length', 'ip.len'];0.9263018775927061;0.9827975510670671;0.9608405184719924;0.9870425089543532;0.9379627674648073;0.983922127985194;1488248;0.9432921348605666;0.9942185041680527;0.9942617090699937;{'Other': {'precision': 0.995785299792224, 'recall': 0.9936160943817348, 'f1-score': 0.9946995144568358, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.8915812090817762, 'recall': 0.9258332000417939, 'f1-score': 0.9083844386370639, 'support': 3281.9999999995284}, 'accuracy': 0.9899788120948939, 'macro avg': {'precision': 0.9436832544370001, 'recall': 0.9597246472117644, 'f1-score': 0.9515419765469498, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.990193628072663, 'recall': 0.9899788120949595, 'f1-score': 0.990067781046539, 'support': 61161.999999973625}};{'Other': {'precision': 0.9966432054216232, 'recall': 0.9974658332625947, 'f1-score': 0.9970543496631817, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.903508080409933, 'recall': 0.8759776820972714, 'f1-score': 0.8895299200579515, 'support': 39251}, 'accuracy': 0.9942617090699937, 'macro avg': {'precision': 0.9500756429157782, 'recall': 0.9367217576799332, 'f1-score': 0.9432921348605666, 'support': 1488248}, 'weighted avg': {'precision': 0.9941868629358052, 'recall': 0.9942617090699937, 'f1-score': 0.9942185041680527, 'support': 1488248}}
6;1;1;500;0.9135573353389985;0.9820060474874976;0.9815735260455707;['srcport'];0.9136385612789968;0.9793473873926213;0.9146609989188523;0.9715974997331042;0.91416270350299;0.9773503570510134;1488248;0.8697058375790504;0.9851409455672339;0.983683498986728;{'Other': {'precision': 0.9932041366124871, 'recall': 0.9872840359362164, 'f1-score': 0.9902352380538718, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.7970774744968492, 'recall': 0.880865326020721, 'f1-score': 0.8368794326241251, 'support': 3281.9999999995284}, 'accuracy': 0.9815735260455707, 'macro avg': {'precision': 0.8951408055546681, 'recall': 0.9340746809784687, 'f1-score': 0.9135573353389985, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9826798289530956, 'recall': 0.9815735260453895, 'f1-score': 0.9820060474874976, 'support': 61161.999999973625}};{'Other': {'precision': 0.997734764861326, 'recall': 0.9854789209363443, 'f1-score': 0.9915689736285216, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.6311831726555653, 'recall': 0.9174033782578788, 'f1-score': 0.7478427015295792, 'support': 39251}, 'accuracy': 0.983683498986728, 'macro avg': {'precision': 0.8144589687584456, 'recall': 0.9514411495971116, 'f1-score': 0.8697058375790504, 'support': 1488248}, 'weighted avg': {'precision': 0.9880673461611709, 'recall': 0.983683498986728, 'f1-score': 0.9851409455672339, 'support': 1488248}}
6;1;2;500;0.9463618461117047;0.9891135574490171;0.989122375639317;['srcport', 'tcp.window_size_value'];0.943790462972168;0.9868951067766577;0.9451506737020945;0.9820883901910272;0.9443627857762027;0.9856570800973526;1488248;0.9560869882439202;0.995486409831761;0.9954832796684424;{'Other': {'precision': 0.9941566403193671, 'recall': 0.9943500726181731, 'f1-score': 0.9942533470606917, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9000171326447093, 'recall': 0.8969288652389833, 'f1-score': 0.8984703451627176, 'support': 3281.9999999995284}, 'accuracy': 0.989122375639317, 'macro avg': {'precision': 0.9470868864820382, 'recall': 0.9456394689285782, 'f1-score': 0.9463618461117047, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9891050418728101, 'recall': 0.989122375639353, 'f1-score': 0.9891135574490171, 'support': 61161.999999973625}};{'Other': {'precision': 0.9977189355953026, 'recall': 0.9976418170638034, 'f1-score': 0.9976803748392791, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9131925920280466, 'recall': 0.9157983236095896, 'f1-score': 0.9144936016485614, 'support': 39251}, 'accuracy': 0.9954832796684424, 'macro avg': {'precision': 0.9554557638116745, 'recall': 0.9567200703366965, 'f1-score': 0.9560869882439202, 'support': 1488248}, 'weighted avg': {'precision': 0.9954896408061555, 'recall': 0.9954832796684424, 'f1-score': 0.995486409831761, 'support': 1488248}}
6;1;3;500;0.9410910139777486;0.9880964330226438;0.9881588463832082;['srcport', 'tcp.window_size_value', 'dstport'];0.9382041108419699;0.9856635295032719;0.9390705474021859;0.9801930825841438;0.9386267585645567;0.9842543340477649;1488248;0.9455079425504934;0.9943608581455312;0.9943188232068849;{'Other': {'precision': 0.9931260650576875, 'recall': 0.9943699557867354, 'f1-score': 0.9937476211725905, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.8984681654734376, 'recall': 0.8786222795733489, 'f1-score': 0.8884344067829066, 'support': 3281.9999999995284}, 'accuracy': 0.9881588463832082, 'macro avg': {'precision': 0.9457971152655625, 'recall': 0.9364961176800422, 'f1-score': 0.9410910139777486, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.988046649302225, 'recall': 0.9881588463833076, 'f1-score': 0.9880964330226438, 'support': 61161.999999973625}};{'Other': {'precision': 0.9974989363054158, 'recall': 0.9966638992351261, 'f1-score': 0.9970812429382823, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.8805357848952154, 'recall': 0.9077475733102341, 'f1-score': 0.8939346421627046, 'support': 39251}, 'accuracy': 0.9943188232068849, 'macro avg': {'precision': 0.9390173606003156, 'recall': 0.9522057362726801, 'f1-score': 0.9455079425504934, 'support': 1488248}, 'weighted avg': {'precision': 0.9944141542959646, 'recall': 0.9943188232068849, 'f1-score': 0.9943608581455312, 'support': 1488248}}
6;1;4;500;0.9810736204298042;0.9961693018374537;0.9961830401621521;['srcport', 'tcp.window_size_value', 'dstport', 'ip.len'];0.949491196460353;0.9881826556907477;0.9918771766452394;0.9973610765948157;0.9632876048785233;0.990530432064615;1488248;0.9688347436771458;0.9968365166523983;0.9968741768844978;{'Other': {'precision': 0.997556161427833, 'recall': 0.9984125416406332, 'f1-score': 0.9979841678171569, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9715738733613851, 'recall': 0.9568644705195478, 'f1-score': 0.9641630730424514, 'support': 3281.9999999995284}, 'accuracy': 0.9961830401621521, 'macro avg': {'precision': 0.984565017394609, 'recall': 0.9776385060800905, 'f1-score': 0.9810736204298042, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.996161931850087, 'recall': 0.9961830401622734, 'f1-score': 0.9961693018374537, 'support': 61161.999999973625}};{'Other': {'precision': 0.9977434586837209, 'recall': 0.9990489973409192, 'f1-score': 0.9983958012200462, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9631106946861197, 'recall': 0.9165881124047794, 'f1-score': 0.9392736861342453, 'support': 39251}, 'accuracy': 0.9968741768844978, 'macro avg': {'precision': 0.9804270766849204, 'recall': 0.9578185548728493, 'f1-score': 0.9688347436771458, 'support': 1488248}, 'weighted avg': {'precision': 0.9968300553936309, 'recall': 0.9968741768844978, 'f1-score': 0.9968365166523983, 'support': 1488248}}
6;1;5;500;0.9765166100407259;0.9952467588691797;0.9952636003562599;['srcport', 'tcp.window_size_value', 'dstport', 'ip.len', 'Packet Length Total'];0.9384022557328087;0.9856961937600501;0.9914220100864553;0.9972047353908864;0.955915202399735;0.9886734695571328;1488248;0.9702958726481024;0.9969371115233628;0.9969252436421887;{'Other': {'precision': 0.997075905648853, 'recall': 0.9979216043088646, 'f1-score': 0.997498575728955, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9627896727812173, 'recall': 0.9483881375979545, 'f1-score': 0.9555346443524968, 'support': 3281.9999999995284}, 'accuracy': 0.9952636003562599, 'macro avg': {'precision': 0.9799327892150351, 'recall': 0.9731548709534095, 'f1-score': 0.9765166100407259, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9952360800010387, 'recall': 0.9952636003563246, 'f1-score': 0.9952467588691797, 'support': 61161.999999973625}};{'Other': {'precision': 0.9986370876482443, 'recall': 0.9982042750951176, 'f1-score': 0.9984206344659253, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9347526266957547, 'recall': 0.9497082876869379, 'f1-score': 0.9421711108302793, 'support': 39251}, 'accuracy': 0.9969252436421887, 'macro avg': {'precision': 0.9666948571719995, 'recall': 0.9739562813910277, 'f1-score': 0.9702958726481024, 'support': 1488248}, 'weighted avg': {'precision': 0.9969522011395132, 'recall': 0.9969252436421887, 'f1-score': 0.9969371115233628, 'support': 1488248}}
6;1;6;500;0.9780176243251626;0.995561085483194;0.9955873840425177;['srcport', 'tcp.window_size_value', 'dstport', 'ip.len', 'Packet Length Total', 'Max Packet Length'];0.9352848503427786;0.9850282037848072;0.9929956649953111;0.9977214626723931;0.954395479438795;0.9883187079055821;1488248;0.968877411219309;0.9968393818176641;0.9968755207465423;{'Other': {'precision': 0.9969658518180209, 'recall': 0.9983756117857611, 'f1-score': 0.997670233786087, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9706202990737042, 'recall': 0.946415348158369, 'f1-score': 0.9583650148642381, 'support': 3281.9999999995284}, 'accuracy': 0.9955873840425177, 'macro avg': {'precision': 0.9837930754458626, 'recall': 0.9723954799720651, 'f1-score': 0.9780176243251626, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9955521291780342, 'recall': 0.9955873840426338, 'f1-score': 0.995561085483194, 'support': 61161.999999973625}};{'Other': {'precision': 0.9977695356898414, 'recall': 0.9990241525689839, 'f1-score': 0.998396449981654, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9622218066205349, 'recall': 0.9175562406053349, 'f1-score': 0.939358372456964, 'support': 39251}, 'accuracy': 0.9968755207465423, 'macro avg': {'precision': 0.9799956711551882, 'recall': 0.9582901965871594, 'f1-score': 0.968877411219309, 'support': 1488248}, 'weighted avg': {'precision': 0.9968320011433819, 'recall': 0.9968755207465423, 'f1-score': 0.9968393818176641, 'support': 1488248}}
7;1;1;500;0.9141759901571758;0.9821260586166576;0.9816879761943553;['srcport'];0.914262657659119;0.9794866631256164;0.9153033772792235;0.9717979945566408;0.9147915438026328;0.9775054303985635;1488248;0.8701459886414953;0.9851856865006006;0.9837278464341964;{'Other': {'precision': 0.9933249895702858, 'recall': 0.9872840359362164, 'f1-score': 0.9902953001523948, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.7974683544304014, 'recall': 0.8829981718464388, 'f1-score': 0.8380566801619569, 'support': 3281.9999999995284}, 'accuracy': 0.9816879761943553, 'macro avg': {'precision': 0.8953966720003437, 'recall': 0.9351411038913275, 'f1-score': 0.9141759901571758, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9828151717662689, 'recall': 0.9816879761941747, 'f1-score': 0.9821260586166576, 'support': 61161.999999973625}};{'Other': {'precision': 0.9977807777339895, 'recall': 0.9854789209363443, 'f1-score': 0.9915916960663914, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.6316093563975068, 'recall': 0.9190848640798961, 'f1-score': 0.748700281216599, 'support': 39251}, 'accuracy': 0.9837278464341964, 'macro avg': {'precision': 0.8146950670657482, 'recall': 0.9522818925081202, 'f1-score': 0.8701459886414953, 'support': 1488248}, 'weighted avg': {'precision': 0.9881233856468654, 'recall': 0.9837278464341964, 'f1-score': 0.9851856865006006, 'support': 1488248}}
7;1;2;500;0.9467111275425648;0.9891899016704958;0.9892041191720243;['srcport', 'tcp.window_size_value'];0.9441344858740133;0.9869827391491033;0.9454406332300626;0.9821904237749612;0.9446885248472834;0.9857484367439294;1488248;0.9483290667567513;0.9947294984605384;0.9947663292677027;{'Other': {'precision': 0.9941399683923376, 'recall': 0.9944538364045118, 'f1-score': 0.9942968776288794, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9016425012915652, 'recall': 0.8966222686515254, 'f1-score': 0.8991253774562501, 'support': 3281.9999999995284}, 'accuracy': 0.9892041191720243, 'macro avg': {'precision': 0.9478912348419515, 'recall': 0.9455380525280186, 'f1-score': 0.9467111275425648, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.989176483106951, 'recall': 0.9892041191721552, 'f1-score': 0.9891899016704958, 'support': 61161.999999973625}};{'Other': {'precision': 0.9969285215803425, 'recall': 0.9976984079332117, 'f1-score': 0.9973133161763614, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9125406482744152, 'recall': 0.8865251840717434, 'f1-score': 0.8993448173371412, 'support': 39251}, 'accuracy': 0.9947663292677027, 'macro avg': {'precision': 0.9547345849273788, 'recall': 0.9421117960024776, 'f1-score': 0.9483290667567513, 'support': 1488248}, 'weighted avg': {'precision': 0.9947028788009598, 'recall': 0.9947663292677027, 'f1-score': 0.9947294984605384, 'support': 1488248}}
7;1;3;500;0.9408243531770091;0.9880316932501534;0.9880835064017035;['srcport', 'tcp.window_size_value', 'dstport'];0.9407854329591436;0.9862166399012368;0.939163511028531;0.9802219382719367;0.9403861676052239;0.9846717206352179;1488248;0.9524632787587188;0.9951279563589916;0.9951385790540286;{'Other': {'precision': 0.9931932819332308, 'recall': 0.99422156447903, 'f1-score': 0.993707157190961, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.8961986185694625, 'recall': 0.879835242687525, 'f1-score': 0.887941549163057, 'support': 3281.9999999995284}, 'accuracy': 0.9880835064017035, 'macro avg': {'precision': 0.9446959502513466, 'recall': 0.9370284035832774, 'f1-score': 0.9408243531770091, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9879884736346143, 'recall': 0.9880835064017953, 'f1-score': 0.9880316932501534, 'support': 61161.999999973625}};{'Other': {'precision': 0.9973829611659863, 'recall': 0.9976245637499594, 'f1-score': 0.9975037478285022, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9115167095115682, 'recall': 0.9033655193498255, 'f1-score': 0.9074228096889354, 'support': 39251}, 'accuracy': 0.9951385790540286, 'macro avg': {'precision': 0.9544498353387773, 'recall': 0.9504950415498925, 'f1-score': 0.9524632787587188, 'support': 1488248}, 'weighted avg': {'precision': 0.9951183276884427, 'recall': 0.9951385790540286, 'f1-score': 0.9951279563589916, 'support': 1488248}}
7;1;4;500;0.9792964703451645;0.9958032194681368;0.9958118513496882;['srcport', 'tcp.window_size_value', 'dstport', 'Max Packet Length'];0.9360101169009313;0.9851178490583206;0.996060998098023;0.9987142087825241;0.9558375107341002;0.9886352877103697;1488248;0.9775525205121103;0.9976827104293134;0.997671087076885;{'Other': {'precision': 0.9975417576576221, 'recall': 0.9980338235002574, 'f1-score': 0.9977877299125345, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9650210302144053, 'recall': 0.9566260658310747, 'f1-score': 0.9608052107777946, 'support': 3281.9999999995284}, 'accuracy': 0.9958118513496882, 'macro avg': {'precision': 0.9812813939360137, 'recall': 0.977329944665666, 'f1-score': 0.9792964703451645, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9957966703898959, 'recall': 0.9958118513497343, 'f1-score': 0.9958032194681368, 'support': 61161.999999973625}};{'Other': {'precision': 0.9990843698620961, 'recall': 0.9985231163349545, 'f1-score': 0.9988036642528252, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9465867964557594, 'recall': 0.9662174212121984, 'f1-score': 0.9563013767713954, 'support': 39251}, 'accuracy': 0.997671087076885, 'macro avg': {'precision': 0.9728355831589277, 'recall': 0.9823702687735765, 'f1-score': 0.9775525205121103, 'support': 1488248}, 'weighted avg': {'precision': 0.9976998007218909, 'recall': 0.997671087076885, 'f1-score': 0.9976827104293134, 'support': 1488248}}
7;1;5;500;0.9784631510649704;0.9956440827485558;0.9956628620201731;['srcport', 'tcp.window_size_value', 'dstport', 'Max Packet Length', 'Packet Length Total'];0.9352885864803148;0.9850097149100046;0.9942734259517142;0.9981351961052016;0.9548107717937294;0.9884110989145547;1488248;0.9781194807178647;0.9977541626147451;0.9977557503856884;{'Other': {'precision': 0.9971958311313875, 'recall': 0.9982239911207029, 'f1-score': 0.9977096462411944, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.9680989764969847, 'recall': 0.950495844246179, 'f1-score': 0.9592166558887465, 'support': 3281.9999999995284}, 'accuracy': 0.9956628620201731, 'macro avg': {'precision': 0.9826474038141861, 'recall': 0.974359917683441, 'f1-score': 0.9784631510649704, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9956344715141394, 'recall': 0.9956628620202447, 'f1-score': 0.9956440827485558, 'support': 61161.999999973625}};{'Other': {'precision': 0.9988082348419134, 'recall': 0.9988868161907858, 'f1-score': 0.9988475239708113, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9587858037151544, 'recall': 0.956001120990548, 'f1-score': 0.9573914374649181, 'support': 39251}, 'accuracy': 0.9977557503856884, 'macro avg': {'precision': 0.9787970192785339, 'recall': 0.9774439685906668, 'f1-score': 0.9781194807178647, 'support': 1488248}, 'weighted avg': {'precision': 0.9977526846619995, 'recall': 0.9977557503856884, 'f1-score': 0.9977541626147451, 'support': 1488248}}
7;1;6;500;0.9767454810232039;0.9952929929757621;0.9953095788017814;['srcport', 'tcp.window_size_value', 'dstport', 'Max Packet Length', 'Packet Length Total', 'ip.len'];0.9355068775645248;0.9850731402841792;0.9913510556453673;0.9971794793828896;0.9540574896516567;0.9882187539113958;1488248;0.9708144068124522;0.9969764984339606;0.9969507770210341;{'Other': {'precision': 0.9971024876772904, 'recall': 0.9979435718446218, 'f1-score': 0.997522852466158, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.963186031255972, 'recall': 0.9488575625564127, 'f1-score': 0.9559681095802499, 'support': 3281.9999999995284}, 'accuracy': 0.9953095788017814, 'macro avg': {'precision': 0.9801442594666312, 'recall': 0.9734005672005173, 'f1-score': 0.9767454810232039, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9952825045182243, 'recall': 0.9953095788018183, 'f1-score': 0.9952929929757621, 'support': 61161.999999973625}};{'Other': {'precision': 0.9989113097372153, 'recall': 0.997955827375764, 'f1-score': 0.9984333399617761, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.9271107611290204, 'recall': 0.9598481567348602, 'f1-score': 0.9431954736631283, 'support': 39251}, 'accuracy': 0.9969507770210341, 'macro avg': {'precision': 0.9630110354331178, 'recall': 0.9789019920553121, 'f1-score': 0.9708144068124522, 'support': 1488248}, 'weighted avg': {'precision': 0.9970176446132438, 'recall': 0.9969507770210341, 'f1-score': 0.9969764984339606, 'support': 1488248}}
8;1;1;500;0.9141759901571758;0.9821260586166576;0.9816879761943553;['srcport'];0.914262657659119;0.9794866631256164;0.9153033772792235;0.9717979945566408;0.9147915438026328;0.9775054303985635;1488248;0.8701459886414953;0.9851856865006006;0.9837278464341964;{'Other': {'precision': 0.9933249895702858, 'recall': 0.9872840359362164, 'f1-score': 0.9902953001523948, 'support': 57879.9999999741}, 'Belkin wemo motion sensor': {'precision': 0.7974683544304014, 'recall': 0.8829981718464388, 'f1-score': 0.8380566801619569, 'support': 3281.9999999995284}, 'accuracy': 0.9816879761943553, 'macro avg': {'precision': 0.8953966720003437, 'recall': 0.9351411038913275, 'f1-score': 0.9141759901571758, 'support': 61161.999999973625}, 'weighted avg': {'precision': 0.9828151717662689, 'recall': 0.9816879761941747, 'f1-score': 0.9821260586166576, 'support': 61161.999999973625}};{'Other': {'precision': 0.9977807777339895, 'recall': 0.9854789209363443, 'f1-score': 0.9915916960663914, 'support': 1448997}, 'Belkin wemo motion sensor': {'precision': 0.6316093563975068, 'recall': 0.9190848640798961, 'f1-score': 0.748700281216599, 'support': 39251}, 'accuracy': 0.9837278464341964, 'macro avg': {'precision': 0.8146950670657482, 'recall': 0.9522818925081202, 'f1-score': 0.8701459886414953, 'support': 1488248}, 'weighted avg': {'precision': 0.9881233856468654, 'recall': 0.9837278464341964, 'f1-score': 0.9851856865006006, 'support': 1488248}}
