depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[7];1;1;41;0.7342769918922336;0.8849965140318943;0.9025232162681757;['ip.ttl'];0.7415184458977593;0.8893595021546099;0.7888687312087819;0.9218244723519181;0.755722804518763;0.8999192271375117;1576856;0.2895927043608036;0.3184467972784854;0.34247134804953655;{'normal': {'precision': 0.8798543238560474, 'recall': 0.37192244551673936, 'f1-score': 0.5228369463845913, 'support': 8644.00000000162}, 'Other': {'precision': 0.9039880353896397, 'recall': 0.9914849872004194, 'f1-score': 0.9457170373998758, 'support': 51555.99999974015}, 'accuracy': 0.9025232162681757, 'macro avg': {'precision': 0.8919211796228436, 'recall': 0.6817037163585794, 'f1-score': 0.7342769918922336, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9005227230557974, 'recall': 0.9025232162645771, 'f1-score': 0.8849965140318943, 'support': 60199.99999974177}};{'normal': {'precision': 0.11545537694887457, 'recall': 0.08182662174224689, 'f1-score': 0.09577481493884785, 'support': 671053}, 'Other': {'precision': 0.44051137741189417, 'recall': 0.5355667843891001, 'f1-score': 0.4834105937827593, 'support': 905803}, 'accuracy': 0.34247134804953655, 'macro avg': {'precision': 0.27798337718038435, 'recall': 0.3086967030656735, 'f1-score': 0.2895927043608036, 'support': 1576856}, 'weighted avg': {'precision': 0.3021792758891738, 'recall': 0.34247134804953655, 'f1-score': 0.3184467972784854, 'support': 1576856}}
[15];1;2;41;0.785161350037606;0.9035338618517934;0.9135198940091069;['ip.ttl', 'dstport'];0.7970070070171356;0.9101642581839349;0.8345906480762137;0.9371617237440674;0.8081424186162831;0.9188966625326233;1576856;0.3018143659029496;0.3285019407196451;0.3478421618714708;{'normal': {'precision': 0.8421544266755897, 'recall': 0.4894606222867011, 'f1-score': 0.6190999869870155, 'support': 8644.00000000162}, 'Other': {'precision': 0.9200178666086752, 'recall': 0.9846186670824769, 'f1-score': 0.9512227130881964, 'support': 51555.99999974015}, 'accuracy': 0.9135198940091069, 'macro avg': {'precision': 0.8810861466421325, 'recall': 0.737039644684589, 'f1-score': 0.785161350037606, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.908837607891323, 'recall': 0.9135198940055026, 'f1-score': 0.9035338618517934, 'support': 60199.99999974177}};{'normal': {'precision': 0.14335877923550502, 'recall': 0.10701539222684349, 'f1-score': 0.12254935003434345, 'support': 671053}, 'Other': {'precision': 0.44304616311189265, 'recall': 0.5262557090228228, 'f1-score': 0.48107938177155574, 'support': 905803}, 'accuracy': 0.3478421618714708, 'macro avg': {'precision': 0.29320247117369885, 'recall': 0.3166355506248332, 'f1-score': 0.3018143659029496, 'support': 1576856}, 'weighted avg': {'precision': 0.3155100291767701, 'recall': 0.3478421618714708, 'f1-score': 0.3285019407196451, 'support': 1576856}}
[10];1;3;41;0.8500351702501486;0.931235880036061;0.9365649707298793;['ip.ttl', 'dstport', 'udp.length'];0.846502605386467;0.9306966034542394;0.8110042901482377;0.9289832529710612;0.8368348994585721;0.9302222629579289;1576856;0.3029414625265033;0.330301439489542;0.35139606914011173;{'normal': {'precision': 0.9139861638468517, 'recall': 0.616205217988866, 'f1-score': 0.7361210499779465, 'support': 8644.00000000162}, 'Other': {'precision': 0.9389850196720166, 'recall': 0.9902772389913655, 'f1-score': 0.9639492905223508, 'support': 51555.99999974015}, 'accuracy': 0.9365649707298793, 'macro avg': {'precision': 0.9264855917594341, 'recall': 0.8032412284901158, 'f1-score': 0.8500351702501486, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9353954829651446, 'recall': 0.9365649707262479, 'f1-score': 0.931235880036061, 'support': 60199.99999974177}};{'normal': {'precision': 0.14116434722278903, 'recall': 0.10309021791125292, 'f1-score': 0.11915980615151153, 'support': 671053}, 'Other': {'precision': 0.4461941339497017, 'recall': 0.5353504017981835, 'f1-score': 0.48672311890149506, 'support': 905803}, 'accuracy': 0.35139606914011173, 'macro avg': {'precision': 0.2936792405862454, 'recall': 0.3192203098547182, 'f1-score': 0.3029414625265033, 'support': 1576856}, 'weighted avg': {'precision': 0.3163844661852039, 'recall': 0.35139606914011173, 'f1-score': 0.330301439489542, 'support': 1576856}}
[11];1;4;41;0.8726072458855685;0.9407754980265365;0.944395775933381;['ip.ttl', 'dstport', 'udp.length', 'ip.len'];0.8693655003404523;0.9402400152318657;0.844271363423986;0.9403418412554847;0.8624714429183002;0.9403068540667489;1576856;0.30793840724342864;0.3343167568122019;0.35330366247774053;{'normal': {'precision': 0.916072294236055, 'recall': 0.6745520731569129, 'f1-score': 0.776975982395317, 'support': 8644.00000000162}, 'Other': {'precision': 0.9477445254077718, 'recall': 0.9896384046593381, 'f1-score': 0.9682385093758201, 'support': 51555.99999974015}, 'accuracy': 0.944395775933381, 'macro avg': {'precision': 0.9319084098219134, 'recall': 0.8320952389081255, 'f1-score': 0.8726072458855685, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9431967718155866, 'recall': 0.944395775929784, 'f1-score': 0.9407754980265365, 'support': 60199.99999974177}};{'normal': {'precision': 0.1527519409180174, 'recall': 0.11428903529229435, 'f1-score': 0.13075051038456784, 'support': 671053}, 'Other': {'precision': 0.4469916466159397, 'recall': 0.5303747061999132, 'f1-score': 0.4851263041022894, 'support': 905803}, 'accuracy': 0.35330366247774053, 'macro avg': {'precision': 0.29987179376697853, 'recall': 0.3223318707461038, 'f1-score': 0.30793840724342864, 'support': 1576856}, 'weighted avg': {'precision': 0.3217738478900523, 'recall': 0.35330366247774053, 'f1-score': 0.3343167568122019, 'support': 1576856}}
[10];1;5;41;0.8770538610091729;0.9437655635323939;0.9482939780029215;['ip.ttl', 'dstport', 'udp.length', 'ip.len', 'tcp.window_size_value'];0.871466617858554;0.9421780798161109;0.8637002799091076;0.9484771582986574;0.8694093155696743;0.9442103614306849;1576856;0.47778740879206666;0.5177516635741786;0.6157841933569077;{'normal': {'precision': 0.9825670607245904, 'recall': 0.6514585500285601, 'f1-score': 0.7834659487257755, 'support': 8644.00000000162}, 'Other': {'precision': 0.9446878257978187, 'recall': 0.998062102742899, 'f1-score': 0.9706417732925704, 'support': 51555.99999974015}, 'accuracy': 0.9482939780029215, 'macro avg': {'precision': 0.9636274432612046, 'recall': 0.8247603263857295, 'f1-score': 0.8770538610091729, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9501268308926439, 'recall': 0.9482939779974477, 'f1-score': 0.9437655635323939, 'support': 60199.99999974177}};{'normal': {'precision': 0.8424010082974478, 'recall': 0.11952111085115483, 'f1-score': 0.20934065718950282, 'support': 671053}, 'Other': {'precision': 0.6012218843097474, 'recall': 0.9834345878739638, 'f1-score': 0.7462341603946305, 'support': 905803}, 'accuracy': 0.6157841933569077, 'macro avg': {'precision': 0.7218114463035976, 'recall': 0.5514778493625593, 'f1-score': 0.47778740879206666, 'support': 1576856}, 'weighted avg': {'precision': 0.7038590145799295, 'recall': 0.6157841933569077, 'f1-score': 0.5177516635741786, 'support': 1576856}}
[7];1;1;85;0.7342769918922336;0.8849965140318943;0.9025232162681757;['ip.ttl'];0.7415184458977593;0.8893595021546099;0.7888687312087819;0.9218244723519181;0.755722804518763;0.8999192271375117;1576856;0.2895927043608036;0.3184467972784854;0.34247134804953655;{'normal': {'precision': 0.8798543238560474, 'recall': 0.37192244551673936, 'f1-score': 0.5228369463845913, 'support': 8644.00000000162}, 'Other': {'precision': 0.9039880353896397, 'recall': 0.9914849872004194, 'f1-score': 0.9457170373998758, 'support': 51555.99999974015}, 'accuracy': 0.9025232162681757, 'macro avg': {'precision': 0.8919211796228436, 'recall': 0.6817037163585794, 'f1-score': 0.7342769918922336, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9005227230557974, 'recall': 0.9025232162645771, 'f1-score': 0.8849965140318943, 'support': 60199.99999974177}};{'normal': {'precision': 0.11545537694887457, 'recall': 0.08182662174224689, 'f1-score': 0.09577481493884785, 'support': 671053}, 'Other': {'precision': 0.44051137741189417, 'recall': 0.5355667843891001, 'f1-score': 0.4834105937827593, 'support': 905803}, 'accuracy': 0.34247134804953655, 'macro avg': {'precision': 0.27798337718038435, 'recall': 0.3086967030656735, 'f1-score': 0.2895927043608036, 'support': 1576856}, 'weighted avg': {'precision': 0.3021792758891738, 'recall': 0.34247134804953655, 'f1-score': 0.3184467972784854, 'support': 1576856}}
[18];1;2;85;0.7848314647285654;0.9034086680022694;0.9134368375307012;['ip.ttl', 'dstport'];0.7966729093447071;0.9100385832241661;0.8339500679317103;0.9369478434789432;0.8077155348383573;0.9187412526061236;1576856;0.30174041932554974;0.32843668785656427;0.34779333052605943;{'normal': {'precision': 0.8422699604081043, 'recall': 0.4886508120136796, 'f1-score': 0.61848294596715, 'support': 8644.00000000162}, 'Other': {'precision': 0.9199040648663825, 'recall': 0.9846574598515051, 'f1-score': 0.9511799834899807, 'support': 51555.99999974015}, 'accuracy': 0.9134368375307012, 'macro avg': {'precision': 0.8810870126372434, 'recall': 0.7366541359325923, 'f1-score': 0.7848314647285654, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9087567359803299, 'recall': 0.9134368375270971, 'f1-score': 0.9034086680022694, 'support': 60199.99999974177}};{'normal': {'precision': 0.1432185335524306, 'recall': 0.10689170602023983, 'f1-score': 0.12241700628724735, 'support': 671053}, 'Other': {'precision': 0.44301509368381237, 'recall': 0.5262623329796876, 'f1-score': 0.4810638323638521, 'support': 905803}, 'accuracy': 0.34779333052605943, 'macro avg': {'precision': 0.2931168136181215, 'recall': 0.3165770194999637, 'f1-score': 0.30174041932554974, 'support': 1576856}, 'weighted avg': {'precision': 0.31543249827507236, 'recall': 0.34779333052605943, 'f1-score': 0.32843668785656427, 'support': 1576856}}
[25];1;3;85;0.8524116867596059;0.9326502094733439;0.9382634757133497;['ip.ttl', 'dstport', 'udp.length'];0.8489735325246861;0.9321499783036811;0.8163129720828357;0.9313391852102316;0.8400952795193396;0.9319612342596303;1576856;0.3612847081882432;0.3948909715027057;0.44106690782164004;{'normal': {'precision': 0.93667724026053, 'recall': 0.6113752781462014, 'f1-score': 0.7398473908196417, 'support': 8644.00000000162}, 'Other': {'precision': 0.9384275127184195, 'recall': 0.9930703183609415, 'f1-score': 0.9649759826995701, 'support': 51555.99999974015}, 'accuracy': 0.9382634757133497, 'macro avg': {'precision': 0.9375523764894748, 'recall': 0.8022227982535715, 'f1-score': 0.8524116867596059, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9381761945269566, 'recall': 0.938263475709264, 'f1-score': 0.9326502094733439, 'support': 60199.99999974177}};{'normal': {'precision': 0.1982725968436155, 'recall': 0.10296951209516983, 'f1-score': 0.13554567540873302, 'support': 671053}, 'Other': {'precision': 0.509950698331754, 'recall': 0.6915422006771892, 'f1-score': 0.5870237409677534, 'support': 905803}, 'accuracy': 0.44106690782164004, 'macro avg': {'precision': 0.35411164758768476, 'recall': 0.3972558563861795, 'f1-score': 0.3612847081882432, 'support': 1576856}, 'weighted avg': {'precision': 0.37731174776307824, 'recall': 0.44106690782164004, 'f1-score': 0.3948909715027057, 'support': 1576856}}
[12];1;4;85;0.8797160493580536;0.9441711775187622;0.9476900355514579;['ip.ttl', 'dstport', 'udp.length', 'ip.len'];0.8746903217922493;0.9428596991426393;0.8541617311560676;0.9442362813506213;0.8690547698038924;0.9433265981967103;1576856;0.36317329192460424;0.39469581716967467;0.43357668677418865;{'normal': {'precision': 0.9360187580472323, 'recall': 0.6823349084863038, 'f1-score': 0.7892938197886636, 'support': 8644.00000000162}, 'Other': {'precision': 0.9490545169687836, 'recall': 0.9921800991350931, 'f1-score': 0.9701382789274434, 'support': 51555.99999974015}, 'accuracy': 0.9476900355514579, 'macro avg': {'precision': 0.942536637508008, 'recall': 0.8372575038106984, 'f1-score': 0.8797160493580536, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9471827378970495, 'recall': 0.9476900355473833, 'f1-score': 0.9441711775187622, 'support': 60199.99999974177}};{'normal': {'precision': 0.20889634473991167, 'recall': 0.1187611112684095, 'f1-score': 0.1514310850328438, 'support': 671053}, 'Other': {'precision': 0.5052850585309252, 'recall': 0.6668039297728093, 'f1-score': 0.5749154988163647, 'support': 905803}, 'accuracy': 0.43357668677418865, 'macro avg': {'precision': 0.35709070163541845, 'recall': 0.3927825205206094, 'f1-score': 0.36317329192460424, 'support': 1576856}, 'weighted avg': {'precision': 0.37915271952495316, 'recall': 0.43357668677418865, 'f1-score': 0.39469581716967467, 'support': 1576856}}
[13];1;5;85;0.8840683592676248;0.9464882712791702;0.9502107353214667;['ip.ttl', 'dstport', 'udp.length', 'ip.len', 'tcp.window_size_value'];0.8818113589586678;0.946379758291207;0.8653068761640639;0.9490679185388494;0.8773652679098612;0.9472794516263365;1576856;0.48070850327972847;0.5203338016022679;0.6171375192154515;{'normal': {'precision': 0.9639911931640274, 'recall': 0.6785974661062331, 'f1-score': 0.7965012753959381, 'support': 8644.00000000162}, 'Other': {'precision': 0.9486612082750899, 'recall': 0.9957500537088355, 'f1-score': 0.9716354431393115, 'support': 51555.99999974015}, 'accuracy': 0.9502107353214667, 'macro avg': {'precision': 0.9563262007195587, 'recall': 0.8371737599075343, 'f1-score': 0.8840683592676248, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9508624107564946, 'recall': 0.9502107353159921, 'f1-score': 0.9464882712791702, 'support': 60199.99999974177}};{'normal': {'precision': 0.8450760526423681, 'recall': 0.12286510901523427, 'f1-score': 0.2145385803332479, 'support': 671053}, 'Other': {'precision': 0.6021042498708842, 'recall': 0.9833131486647759, 'f1-score': 0.746878426226209, 'support': 905803}, 'accuracy': 0.6171375192154515, 'macro avg': {'precision': 0.7235901512566261, 'recall': 0.553089128840005, 'f1-score': 0.48070850327972847, 'support': 1576856}, 'weighted avg': {'precision': 0.7055042795281341, 'recall': 0.6171375192154515, 'f1-score': 0.5203338016022679, 'support': 1576856}}
[7];1;1;129;0.7342769918922336;0.8849965140318943;0.9025232162681757;['ip.ttl'];0.7415184458977593;0.8893595021546099;0.7888687312087819;0.9218244723519181;0.755722804518763;0.8999192271375117;1576856;0.2895927043608036;0.3184467972784854;0.34247134804953655;{'normal': {'precision': 0.8798543238560474, 'recall': 0.37192244551673936, 'f1-score': 0.5228369463845913, 'support': 8644.00000000162}, 'Other': {'precision': 0.9039880353896397, 'recall': 0.9914849872004194, 'f1-score': 0.9457170373998758, 'support': 51555.99999974015}, 'accuracy': 0.9025232162681757, 'macro avg': {'precision': 0.8919211796228436, 'recall': 0.6817037163585794, 'f1-score': 0.7342769918922336, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9005227230557974, 'recall': 0.9025232162645771, 'f1-score': 0.8849965140318943, 'support': 60199.99999974177}};{'normal': {'precision': 0.11545537694887457, 'recall': 0.08182662174224689, 'f1-score': 0.09577481493884785, 'support': 671053}, 'Other': {'precision': 0.44051137741189417, 'recall': 0.5355667843891001, 'f1-score': 0.4834105937827593, 'support': 905803}, 'accuracy': 0.34247134804953655, 'macro avg': {'precision': 0.27798337718038435, 'recall': 0.3086967030656735, 'f1-score': 0.2895927043608036, 'support': 1576856}, 'weighted avg': {'precision': 0.3021792758891738, 'recall': 0.34247134804953655, 'f1-score': 0.3184467972784854, 'support': 1576856}}
[21];1;2;129;0.783617994020348;0.9029664152846081;0.9131710567998274;['ip.ttl', 'dstport'];0.7953303581044328;0.9095264465261511;0.8327759417654201;0.9365431042942557;0.8064270611489024;0.9182650674750479;1576856;0.3036699667340553;0.33015591951270923;0.34912572866514124;{'normal': {'precision': 0.8434138630271716, 'recall': 0.48541157092155546, 'f1-score': 0.6161875559116274, 'support': 8644.00000000162}, 'Other': {'precision': 0.9194550632072822, 'recall': 0.9848902164656712, 'f1-score': 0.9510484321290686, 'support': 51555.99999974015}, 'accuracy': 0.9131710567998274, 'macro avg': {'precision': 0.8814344631172268, 'recall': 0.7351508936936133, 'f1-score': 0.783617994020348, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9085364563242289, 'recall': 0.9131710567961917, 'f1-score': 0.9029664152846081, 'support': 60199.99999974177}};{'normal': {'precision': 0.14678080012725683, 'recall': 0.1100047239189751, 'f1-score': 0.12575928066488753, 'support': 671053}, 'Other': {'precision': 0.4438830619329271, 'recall': 0.5262755808934172, 'f1-score': 0.48158065280322304, 'support': 905803}, 'accuracy': 0.34912572866514124, 'macro avg': {'precision': 0.295331931030092, 'recall': 0.31814015240619614, 'f1-score': 0.3036699667340553, 'support': 1576856}, 'weighted avg': {'precision': 0.3174470626460674, 'recall': 0.34912572866514124, 'f1-score': 0.33015591951270923, 'support': 1576856}}
[25];1;3;129;0.8600864177946097;0.9364209864527661;0.9420494668540196;['ip.ttl', 'dstport', 'udp.length'];0.8569552823411081;0.9360141493260766;0.8239851043541814;0.9346659873856729;0.8480321089504741;0.9356652409999703;1576856;0.4321540295326854;0.4718584369924599;0.5574161496040222;{'normal': {'precision': 0.9703888147761973, 'recall': 0.6151833145491007, 'f1-score': 0.7529988657525399, 'support': 8644.00000000162}, 'Other': {'precision': 0.9392114394556738, 'recall': 0.9968526133400649, 'f1-score': 0.9671739698366795, 'support': 51555.99999974015}, 'accuracy': 0.9420494668540196, 'macro avg': {'precision': 0.9548001271159355, 'recall': 0.8060179639445828, 'f1-score': 0.8600864177946097, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.943688137666169, 'recall': 0.9420494668489707, 'f1-score': 0.9364209864527661, 'support': 60199.99999974177}};{'normal': {'precision': 0.41877020302909235, 'recall': 0.10309170810651319, 'f1-score': 0.16545271694742367, 'support': 671053}, 'Other': {'precision': 0.5736410660372413, 'recall': 0.8939968182927193, 'f1-score': 0.6988553421179471, 'support': 905803}, 'accuracy': 0.5574161496040222, 'macro avg': {'precision': 0.4962056345331668, 'recall': 0.4985442631996162, 'f1-score': 0.4321540295326854, 'support': 1576856}, 'weighted avg': {'precision': 0.5077336165084274, 'recall': 0.5574161496040222, 'f1-score': 0.4718584369924599, 'support': 1576856}}
[24];1;4;129;0.8778428120436337;0.9433603052729316;0.9469989908300879;['ip.ttl', 'dstport', 'udp.length', 'ip.len'];0.8723956596419871;0.9418674870155604;0.8543725602608081;0.9443069537336599;0.8674553270080677;0.942670554533792;1576856;0.3644215364396195;0.3958061274417251;0.43434720735438115;{'normal': {'precision': 0.9355166778445474, 'recall': 0.6775861265220096, 'f1-score': 0.7859302213368187, 'support': 8644.00000000162}, 'Other': {'precision': 0.94833175210467, 'recall': 0.9921693841663867, 'f1-score': 0.9697554027504487, 'support': 51555.99999974015}, 'accuracy': 0.9469989908300879, 'macro avg': {'precision': 0.9419242149746088, 'recall': 0.8348777553441982, 'f1-score': 0.8778428120436337, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9464916607108993, 'recall': 0.9469989908260185, 'f1-score': 0.9433603052729316, 'support': 60199.99999974177}};{'normal': {'precision': 0.21144853098695313, 'recall': 0.12061193378168342, 'f1-score': 0.15360585750792113, 'support': 671053}, 'Other': {'precision': 0.5057994342097109, 'recall': 0.6667741219669178, 'f1-score': 0.5752372153713179, 'support': 905803}, 'accuracy': 0.43434720735438115, 'macro avg': {'precision': 0.358623982598332, 'recall': 0.3936930278743006, 'f1-score': 0.3644215364396195, 'support': 1576856}, 'weighted avg': {'precision': 0.3805343138307154, 'recall': 0.43434720735438115, 'f1-score': 0.3958061274417251, 'support': 1576856}}
[25];1;5;129;0.8832384597757974;0.9461368790406391;0.949921457791021;['ip.ttl', 'dstport', 'udp.length', 'ip.len', 'tcp.window_size_value'];0.8789649643476874;0.9451786252277062;0.8663118015418887;0.9494278366872314;0.8755770388315836;0.9465692453052998;1576856;0.4815189202037068;0.5210968187838668;0.6178344756908684;{'normal': {'precision': 0.9643082810485755, 'recall': 0.6762650264045417, 'f1-score': 0.7950000919590958, 'support': 8644.00000000162}, 'Other': {'precision': 0.9483105210944837, 'recall': 0.9958033375448356, 'f1-score': 0.971476827592499, 'support': 51555.99999974015}, 'accuracy': 0.949921457791021, 'macro avg': {'precision': 0.9563094010715296, 'recall': 0.8360341819746886, 'f1-score': 0.8832384597757974, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9506076080885665, 'recall': 0.9499214577855488, 'f1-score': 0.9461368790406391, 'support': 60199.99999974177}};{'normal': {'precision': 0.8517718903247694, 'recall': 0.12346416750986881, 'f1-score': 0.21566738945390085, 'support': 671053}, 'Other': {'precision': 0.6024552797503627, 'recall': 0.9840826316539026, 'f1-score': 0.7473704509535127, 'support': 905803}, 'accuracy': 0.6178344756908684, 'macro avg': {'precision': 0.7271135850375661, 'recall': 0.5537733995818858, 'f1-score': 0.4815189202037068, 'support': 1576856}, 'weighted avg': {'precision': 0.7085554306048398, 'recall': 0.6178344756908684, 'f1-score': 0.5210968187838668, 'support': 1576856}}
[7];1;1;173;0.7342769918922336;0.8849965140318943;0.9025232162681757;['ip.ttl'];0.7415184458977593;0.8893595021546099;0.7888687312087819;0.9218244723519181;0.755722804518763;0.8999192271375117;1576856;0.2895927043608036;0.3184467972784854;0.34247134804953655;{'normal': {'precision': 0.8798543238560474, 'recall': 0.37192244551673936, 'f1-score': 0.5228369463845913, 'support': 8644.00000000162}, 'Other': {'precision': 0.9039880353896397, 'recall': 0.9914849872004194, 'f1-score': 0.9457170373998758, 'support': 51555.99999974015}, 'accuracy': 0.9025232162681757, 'macro avg': {'precision': 0.8919211796228436, 'recall': 0.6817037163585794, 'f1-score': 0.7342769918922336, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9005227230557974, 'recall': 0.9025232162645771, 'f1-score': 0.8849965140318943, 'support': 60199.99999974177}};{'normal': {'precision': 0.11545537694887457, 'recall': 0.08182662174224689, 'f1-score': 0.09577481493884785, 'support': 671053}, 'Other': {'precision': 0.44051137741189417, 'recall': 0.5355667843891001, 'f1-score': 0.4834105937827593, 'support': 905803}, 'accuracy': 0.34247134804953655, 'macro avg': {'precision': 0.27798337718038435, 'recall': 0.3086967030656735, 'f1-score': 0.2895927043608036, 'support': 1576856}, 'weighted avg': {'precision': 0.3021792758891738, 'recall': 0.34247134804953655, 'f1-score': 0.3184467972784854, 'support': 1576856}}
[23];1;2;173;0.7831206640732942;0.9027588027114158;0.9130049438430106;['ip.ttl', 'dstport'];0.7948505262391438;0.909331745644323;0.8322529470421055;0.9363629650677104;0.8059335081210015;0.9180746066652653;1576856;0.30340963932370246;0.32992390842089053;0.3489456234431045;{'normal': {'precision': 0.8428222797329378, 'recall': 0.4844860734666708, 'f1-score': 0.615283789864963, 'support': 8644.00000000162}, 'Other': {'precision': 0.9193189672386127, 'recall': 0.9848514236966436, 'f1-score': 0.9509575382816254, 'support': 51555.99999974015}, 'accuracy': 0.9130049438430106, 'macro avg': {'precision': 0.8810706234857753, 'recall': 0.7346687485816572, 'f1-score': 0.7831206640732942, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9083349578232968, 'recall': 0.9130049438393802, 'f1-score': 0.9027588027114158, 'support': 60199.99999974177}};{'normal': {'precision': 0.1463015279325163, 'recall': 0.10958448885557474, 'f1-score': 0.12530874768785366, 'support': 671053}, 'Other': {'precision': 0.4437654996760428, 'recall': 0.5262733729077956, 'f1-score': 0.4815105309595513, 'support': 905803}, 'accuracy': 0.3489456234431045, 'macro avg': {'precision': 0.29503351380427956, 'recall': 0.31792893088168517, 'f1-score': 0.30340963932370246, 'support': 1576856}, 'weighted avg': {'precision': 0.31717556969485955, 'recall': 0.3489456234431045, 'f1-score': 0.32992390842089053, 'support': 1576856}}
[25];1;3;173;0.8799929157973748;0.9445723072179653;0.9483866761562776;['ip.ttl', 'dstport', 'udp.length'];0.8792367780622534;0.9451326654645782;0.8562716918583113;0.9456200075396473;0.87300507586126;0.9453388444822598;1576856;0.44023314345091324;0.4781928713103554;0.5563811787506279;{'normal': {'precision': 0.9531433299326567, 'recall': 0.6736631849794749, 'f1-score': 0.7893963609053501, 'support': 8644.00000000162}, 'Other': {'precision': 0.9478494227319729, 'recall': 0.9944474616602823, 'f1-score': 0.9705894706893995, 'support': 51555.99999974015}, 'accuracy': 0.9483866761562776, 'macro avg': {'precision': 0.9504963763323149, 'recall': 0.8340553233198786, 'f1-score': 0.8799929157973748, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9486095644901608, 'recall': 0.9483866761512904, 'f1-score': 0.9445723072179653, 'support': 60199.99999974177}};{'normal': {'precision': 0.42408890690159023, 'recall': 0.11850926826942135, 'f1-score': 0.18525114288210115, 'support': 671053}, 'Other': {'precision': 0.5742370085235083, 'recall': 0.8807731924049711, 'f1-score': 0.6952151440197253, 'support': 905803}, 'accuracy': 0.5563811787506279, 'macro avg': {'precision': 0.49916295771254926, 'recall': 0.4996412303371962, 'f1-score': 0.44023314345091324, 'support': 1576856}, 'weighted avg': {'precision': 0.5103393957816391, 'recall': 0.5563811787506279, 'f1-score': 0.4781928713103554, 'support': 1576856}}
[24];1;4;173;0.8789046893236729;0.9438175974124026;0.9473857181286937;['ip.ttl', 'dstport', 'udp.length', 'ip.len'];0.8729576682267852;0.9421065808200083;0.8551435743065152;0.9445741272621234;0.8680734400100254;0.9429179513385345;1576856;0.36760453616183486;0.3986423888182485;0.43633787739654095;{'normal': {'precision': 0.9356744272888928, 'recall': 0.6803471401822364, 'f1-score': 0.7878402535726343, 'support': 8644.00000000162}, 'Other': {'precision': 0.9487509848360592, 'recall': 0.9921580330394008, 'f1-score': 0.9699691250747117, 'support': 51555.99999974015}, 'accuracy': 0.9473857181286937, 'macro avg': {'precision': 0.9422127060624761, 'recall': 0.8362525866108186, 'f1-score': 0.8789046893236729, 'support': 60199.99999974177}, 'weighted avg': {'precision': 0.9468733475696438, 'recall': 0.9473857181246267, 'f1-score': 0.9438175974124026, 'support': 60199.99999974177}};{'normal': {'precision': 0.21788889205568612, 'recall': 0.12531648021840303, 'f1-score': 0.15911795814955887, 'support': 671053}, 'Other': {'precision': 0.5071327987827765, 'recall': 0.6667542500963234, 'f1-score': 0.5760911141741109, 'support': 905803}, 'accuracy': 0.43633787739654095, 'macro avg': {'precision': 0.3625108454192313, 'recall': 0.3960353651573632, 'f1-score': 0.36760453616183486, 'support': 1576856}, 'weighted avg': {'precision': 0.3840410317850708, 'recall': 0.43633787739654095, 'f1-score': 0.3986423888182485, 'support': 1576856}}
