depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL;Micro_F1_PL;cl_report_FL;cl_report_PL
[7];1;1;41;0.6719341366293242;0.7505801307404394;0.7930771933933002;['dstport'];0.6764226068186988;0.7579955602792473;0.6758815248907045;0.7640025639267385;0.6762604132310942;0.7599767937693755;162954;0.6762494619897792;0.7920534293438669;0.8251408372915056;{'injection': {'precision': 0.7708654555203892, 'recall': 0.9933483068417448, 'f1-score': 0.8680783603214955, 'support': 11576.000000012227}, 'password': {'precision': 0.9885974914481188, 'recall': 0.232315112540194, 'f1-score': 0.3762204382729456, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.9179687500000107, 'recall': 0.6653454133635752, 'f1-score': 0.7715036112935316, 'support': 1765.999999999777}, 'accuracy': 0.7930771933933002, 'macro avg': {'precision': 0.8924772323228396, 'recall': 0.6303362775818381, 'f1-score': 0.6719341366293242, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.8336720840861872, 'recall': 0.7930771933936323, 'f1-score': 0.7505801307404394, 'support': 17074.0000000115}};{'injection': {'precision': 0.8128277282086479, 'recall': 0.9914275907679171, 'f1-score': 0.893288026158482, 'support': 119453}, 'password': {'precision': 0.993901086715458, 'recall': 0.28669673415859004, 'f1-score': 0.4450237084481517, 'support': 31263}, 'scanning': {'precision': 0.8581835842642059, 'recall': 0.577545350547475, 'f1-score': 0.6904366513627038, 'support': 12238}, 'accuracy': 0.8251408372915056, 'macro avg': {'precision': 0.8883041330627707, 'recall': 0.6185565584913274, 'f1-score': 0.6762494619897792, 'support': 162954}, 'weighted avg': {'precision': 0.850973225547813, 'recall': 0.8251408372915056, 'f1-score': 0.7920534293438669, 'support': 162954}}
[10];1;2;41;0.7312136118863354;0.7833567302034679;0.7810438292723539;['dstport', 'Packet Length Total'];0.5200859187854593;0.6183534287411454;0.815020715178985;0.8456321015106298;0.6194445848957159;0.699524229675833;162954;0.7197882894032376;0.8139431671774972;0.8048529032733164;{'injection': {'precision': 0.8620454626922774, 'recall': 0.8131958628892224, 'f1-score': 0.8369084420006826, 'support': 11576.000000012227}, 'password': {'precision': 0.6800601714651038, 'recall': 0.634814444903373, 'f1-score': 0.656658840128572, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.5815353554143815, 'recall': 0.8793089036294223, 'f1-score': 0.7000735535297514, 'support': 1765.999999999777}, 'accuracy': 0.7810438292723539, 'macro avg': {'precision': 0.7078803298572542, 'recall': 0.7757730704740059, 'f1-score': 0.7312136118863354, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7932537351350776, 'recall': 0.7810438292722872, 'f1-score': 0.7833567302034679, 'support': 17074.0000000115}};{'injection': {'precision': 0.907121568916035, 'recall': 0.8255548207244691, 'f1-score': 0.8644182937786252, 'support': 119453}, 'password': {'precision': 0.7066085693536674, 'recall': 0.7158302146307136, 'f1-score': 0.7111895001112276, 'support': 31263}, 'scanning': {'precision': 0.4501351291480218, 'recall': 0.8302010132374571, 'f1-score': 0.5837570743198598, 'support': 12238}, 'accuracy': 0.8048529032733164, 'macro avg': {'precision': 0.6879550891392414, 'recall': 0.7905286828642133, 'f1-score': 0.7197882894032376, 'support': 162954}, 'weighted avg': {'precision': 0.834332696257498, 'recall': 0.8048529032733164, 'f1-score': 0.8139431671774972, 'support': 162954}}
[12];1;3;41;0.7447492985854899;0.8011871594558445;0.8025916127238535;['dstport', 'Packet Length Total', 'ip.len'];0.5884007631960743;0.7007031175266126;0.7928083982738147;0.8384570792438086;0.6683766772914739;0.7554891179820103;162954;0.7355692125883481;0.8359870551771063;0.8334069737471924;{'injection': {'precision': 0.8514985251754774, 'recall': 0.8677289154243121, 'f1-score': 0.8595371086889442, 'support': 11576.000000012227}, 'password': {'precision': 0.6918810587574726, 'recall': 0.634814444903373, 'f1-score': 0.6621204172959396, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.695831399903526, 'recall': 0.7301765358520548, 'f1-score': 0.7125903697715857, 'support': 1765.999999999777}, 'accuracy': 0.8025916127238535, 'macro avg': {'precision': 0.7464036612788254, 'recall': 0.7442399653932467, 'f1-score': 0.7447492985854899, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.8005086851906141, 'recall': 0.8025916127238405, 'f1-score': 0.8011871594558445, 'support': 17074.0000000115}};{'injection': {'precision': 0.8984469053372154, 'recall': 0.8809071350238169, 'f1-score': 0.8895905720831536, 'support': 119453}, 'password': {'precision': 0.7399484195212274, 'recall': 0.7158302146307136, 'f1-score': 0.7276895312728633, 'support': 31263}, 'scanning': {'precision': 0.5260760792866765, 'recall': 0.6701258375551561, 'f1-score': 0.5894275344090273, 'support': 12238}, 'accuracy': 0.8334069737471924, 'macro avg': {'precision': 0.7214904680483731, 'recall': 0.7556210624032289, 'f1-score': 0.7355692125883481, 'support': 162954}, 'weighted avg': {'precision': 0.8400733009379878, 'recall': 0.8334069737471924, 'f1-score': 0.8359870551771063, 'support': 162954}}
[9];1;4;41;0.7270279368777398;0.7913079220458094;0.7900418546670955;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len'];0.5884206565917199;0.6994390308725925;0.7725266570864336;0.8281674169516045;0.6641665244722555;0.7518448518439912;162954;0.7007322720905028;0.8171022154308809;0.8083078660235404;{'injection': {'precision': 0.8624827696821885, 'recall': 0.8434136252762966, 'f1-score': 0.8528416164848025, 'support': 11576.000000012227}, 'password': {'precision': 0.6814978310670946, 'recall': 0.6351121702814847, 'f1-score': 0.6574878910046403, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.5956088527113984, 'recall': 0.7675990265546523, 'f1-score': 0.6707543031437766, 'support': 1765.999999999777}, 'accuracy': 0.7900418546670955, 'macro avg': {'precision': 0.7131964844868938, 'recall': 0.7487082740374779, 'f1-score': 0.7270279368777398, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7953201172117058, 'recall': 0.7900418546670471, 'f1-score': 0.7913079220458094, 'support': 17074.0000000115}};{'injection': {'precision': 0.9039128724203298, 'recall': 0.8462742668664663, 'f1-score': 0.8741444686085375, 'support': 119453}, 'password': {'precision': 0.7243811680957774, 'recall': 0.7160861081789975, 'f1-score': 0.7202097542143867, 'support': 31263}, 'scanning': {'precision': 0.4076584376391431, 'recall': 0.6733126327831345, 'f1-score': 0.507842593448584, 'support': 12238}, 'accuracy': 0.8083078660235404, 'macro avg': {'precision': 0.6786508260517502, 'recall': 0.7452243359428662, 'f1-score': 0.7007322720905028, 'support': 162954}, 'weighted avg': {'precision': 0.8322002329935551, 'recall': 0.8083078660235404, 'f1-score': 0.8171022154308809, 'support': 162954}}
[10];1;5;41;0.7377127239026673;0.7965792398420011;0.795343787146451;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length'];0.5885840600133029;0.6997147619441598;0.7855818899621608;0.8347665623097829;0.6681898981143517;0.7540255619548945;162954;0.713179428502079;0.8210469484600953;0.8114314469113983;{'injection': {'precision': 0.8689453428068279, 'recall': 0.8436595346635167, 'f1-score': 0.8561157721835726, 'support': 11576.000000012227}, 'password': {'precision': 0.6832304746811111, 'recall': 0.6348203994109344, 'f1-score': 0.6581364215179695, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.6101283007385232, 'recall': 0.8178637134033276, 'f1-score': 0.6988859780064597, 'support': 1765.999999999777}, 'accuracy': 0.795343787146451, 'macro avg': {'precision': 0.7207680394088207, 'recall': 0.7654478824925929, 'f1-score': 0.7377127239026673, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.8015821716614094, 'recall': 0.7953437871463875, 'f1-score': 0.7965792398420011, 'support': 17074.0000000115}};{'injection': {'precision': 0.911491836845634, 'recall': 0.8422140925719739, 'f1-score': 0.8754846036366484, 'support': 119453}, 'password': {'precision': 0.7291089754031601, 'recall': 0.7158622013242492, 'f1-score': 0.7224248684592788, 'support': 31263}, 'scanning': {'precision': 0.42225268448709163, 'recall': 0.7551070436345808, 'f1-score': 0.5416288134103099, 'support': 12238}, 'accuracy': 0.8114314469113983, 'macro avg': {'precision': 0.6876178322452953, 'recall': 0.7710611125102679, 'f1-score': 0.713179428502079, 'support': 162954}, 'weighted avg': {'precision': 0.8397590524780216, 'recall': 0.8114314469113983, 'f1-score': 0.8210469484600953, 'support': 162954}}
[11];1;6;41;0.649169395261784;0.7358080323321246;0.7403576315894584;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length', 'Min Packet Length'];0.5022545607218185;0.6219839377487955;0.7115364099069845;0.7842946455667913;0.569622764113407;0.6779798941854761;162954;0.6214144364160836;0.7640991196419791;0.758809234507898;{'injection': {'precision': 0.8034355188150216, 'recall': 0.8378091461863343, 'f1-score': 0.8202623781672816, 'support': 11576.000000012227}, 'password': {'precision': 0.6690390588885927, 'recall': 0.4638610146321158, 'f1-score': 0.5478702737129018, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.5015033915608507, 'recall': 0.6858766811423446, 'f1-score': 0.5793755339051688, 'support': 1765.999999999777}, 'accuracy': 0.7403576315894584, 'macro avg': {'precision': 0.6579926564214883, 'recall': 0.6625156139869316, 'f1-score': 0.649169395261784, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7428299357544929, 'recall': 0.7403576315894803, 'f1-score': 0.7358080323321246, 'support': 17074.0000000115}};{'injection': {'precision': 0.8443748898641448, 'recall': 0.842381522439788, 'f1-score': 0.8433770282955613, 'support': 119453}, 'password': {'precision': 0.7273657764957663, 'recall': 0.5000799667338387, 'f1-score': 0.5926796444073773, 'support': 31263}, 'scanning': {'precision': 0.33164341154829735, 'recall': 0.604020264749142, 'f1-score': 0.42818663654531236, 'support': 12238}, 'accuracy': 0.758809234507898, 'macro avg': {'precision': 0.6344613593027361, 'recall': 0.6488272513075896, 'f1-score': 0.6214144364160836, 'support': 162954}, 'weighted avg': {'precision': 0.7834198734615713, 'recall': 0.758809234507898, 'f1-score': 0.7640991196419791, 'support': 162954}}
[9];1;7;41;0.6124079748957659;0.7138110682971966;0.6834829925253935;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length', 'Min Packet Length', 'tcp.window_size_value'];0.3654655308973241;0.4531704236180983;0.7236510975188682;0.7939381089861447;0.48309379842321326;0.5783690407800853;162954;0.6093868316757184;0.7476413934199204;0.7058863237478061;{'injection': {'precision': 0.8866150735055264, 'recall': 0.6948675262319985, 'f1-score': 0.7791170423867276, 'support': 11576.000000012227}, 'password': {'precision': 0.6898910561751562, 'recall': 0.634814444903373, 'f1-score': 0.6612078043203831, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.2751794842820719, 'recall': 0.7117070341638582, 'f1-score': 0.39689907798018736, 'support': 1765.999999999777}, 'accuracy': 0.6834829925253935, 'macro avg': {'precision': 0.6172285379875848, 'recall': 0.6804630017664098, 'f1-score': 0.6124079748957659, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7803734615080973, 'recall': 0.6834829925251572, 'f1-score': 0.7138110682971966, 'support': 17074.0000000115}};{'injection': {'precision': 0.9142114291262555, 'recall': 0.7094087214218144, 'f1-score': 0.7988932150500128, 'support': 119453}, 'password': {'precision': 0.7356673241288626, 'recall': 0.7158302146307136, 'f1-score': 0.7256132159590162, 'support': 31263}, 'scanning': {'precision': 0.1984638939785648, 'recall': 0.6461023042980879, 'f1-score': 0.3036540640181263, 'support': 12238}, 'accuracy': 0.7058863237478061, 'macro avg': {'precision': 0.6161142157445609, 'recall': 0.6904470801168721, 'f1-score': 0.6093868316757184, 'support': 162954}, 'weighted avg': {'precision': 0.8262041222195767, 'recall': 0.7058863237478061, 'f1-score': 0.7476413934199204, 'support': 162954}}
[10];1;8;41;0.6500934762528578;0.7268969351272494;0.712319000559988;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length', 'Min Packet Length', 'tcp.window_size_value', 'ip.ttl'];0.46973776069907996;0.5580693370691401;0.7118378580805027;0.7846557999157505;0.560228017836032;0.6421371310958774;162954;0.6302883355371612;0.7533008899580403;0.7226456546019122;{'injection': {'precision': 0.8466663036431972, 'recall': 0.7258019123378529, 'f1-score': 0.7815891170974983, 'support': 11576.000000012227}, 'password': {'precision': 0.6893588556395275, 'recall': 0.634814444903373, 'f1-score': 0.6609632728625664, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.37458236795963573, 'recall': 0.787726030552511, 'f1-score': 0.5077280387985088, 'support': 1765.999999999777}, 'accuracy': 0.712319000559988, 'macro avg': {'precision': 0.6368691757474535, 'recall': 0.7161141292645788, 'f1-score': 0.6500934762528578, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7634537215671915, 'recall': 0.7123190005598158, 'f1-score': 0.7268969351272494, 'support': 17074.0000000115}};{'injection': {'precision': 0.898805873977614, 'recall': 0.7240002344018149, 'f1-score': 0.8019881858731233, 'support': 119453}, 'password': {'precision': 0.7167931840748214, 'recall': 0.7158302146307136, 'f1-score': 0.7163113757121823, 'support': 31263}, 'scanning': {'precision': 0.2504787114214913, 'recall': 0.7268344500735414, 'f1-score': 0.372565445026178, 'support': 12238}, 'accuracy': 0.7226456546019122, 'macro avg': {'precision': 0.6220259231579756, 'recall': 0.7222216330353567, 'f1-score': 0.6302883355371612, 'support': 162954}, 'weighted avg': {'precision': 0.8151964471467732, 'recall': 0.7226456546019122, 'f1-score': 0.7533008899580403, 'support': 162954}}
[12];1;9;41;0.7097239564828035;0.7806760176369942;0.7778890321807005;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length', 'Min Packet Length', 'tcp.window_size_value', 'ip.ttl', 'udp.length'];0.5748553204875925;0.6927845881199817;0.7560283546549321;0.8174602531174482;0.6505545383210377;0.7441775673520146;162954;0.6921333374921043;0.8112171201899787;0.7996980743031776;{'injection': {'precision': 0.8574562337915552, 'recall': 0.8288902558430139, 'f1-score': 0.8429312971804339, 'support': 11576.000000012227}, 'password': {'precision': 0.690880917509411, 'recall': 0.6340293505869758, 'f1-score': 0.6612353908175141, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.5369576777131576, 'recall': 0.7475912782684748, 'f1-score': 0.6250051814504626, 'support': 1765.999999999777}, 'accuracy': 0.7778890321807005, 'macro avg': {'precision': 0.6950982763380412, 'recall': 0.7368369615661549, 'f1-score': 0.7097239564828035, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7878966970457161, 'recall': 0.7778890321806345, 'f1-score': 0.7806760176369942, 'support': 17074.0000000115}};{'injection': {'precision': 0.9002384522282638, 'recall': 0.8343783747582731, 'f1-score': 0.8660581230150282, 'support': 119453}, 'password': {'precision': 0.7496897950970858, 'recall': 0.7150625339858618, 'f1-score': 0.7319668642153171, 'support': 31263}, 'scanning': {'precision': 0.3697426519780563, 'recall': 0.6773982676907991, 'f1-score': 0.4783750252459678, 'support': 12238}, 'accuracy': 0.7996980743031776, 'macro avg': {'precision': 0.6732236331011353, 'recall': 0.7422797254783114, 'f1-score': 0.6921333374921043, 'support': 162954}, 'weighted avg': {'precision': 0.8315147003022352, 'recall': 0.7996980743031776, 'f1-score': 0.8112171201899787, 'support': 162954}}
[7];1;1;85;0.6719341366293242;0.7505801307404394;0.7930771933933002;['dstport'];0.6764226068186988;0.7579955602792473;0.6758815248907045;0.7640025639267385;0.6762604132310942;0.7599767937693755;162954;0.6762494619897792;0.7920534293438669;0.8251408372915056;{'injection': {'precision': 0.7708654555203892, 'recall': 0.9933483068417448, 'f1-score': 0.8680783603214955, 'support': 11576.000000012227}, 'password': {'precision': 0.9885974914481188, 'recall': 0.232315112540194, 'f1-score': 0.3762204382729456, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.9179687500000107, 'recall': 0.6653454133635752, 'f1-score': 0.7715036112935316, 'support': 1765.999999999777}, 'accuracy': 0.7930771933933002, 'macro avg': {'precision': 0.8924772323228396, 'recall': 0.6303362775818381, 'f1-score': 0.6719341366293242, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.8336720840861872, 'recall': 0.7930771933936323, 'f1-score': 0.7505801307404394, 'support': 17074.0000000115}};{'injection': {'precision': 0.8128277282086479, 'recall': 0.9914275907679171, 'f1-score': 0.893288026158482, 'support': 119453}, 'password': {'precision': 0.993901086715458, 'recall': 0.28669673415859004, 'f1-score': 0.4450237084481517, 'support': 31263}, 'scanning': {'precision': 0.8581835842642059, 'recall': 0.577545350547475, 'f1-score': 0.6904366513627038, 'support': 12238}, 'accuracy': 0.8251408372915056, 'macro avg': {'precision': 0.8883041330627707, 'recall': 0.6185565584913274, 'f1-score': 0.6762494619897792, 'support': 162954}, 'weighted avg': {'precision': 0.850973225547813, 'recall': 0.8251408372915056, 'f1-score': 0.7920534293438669, 'support': 162954}}
[14];1;2;85;0.6740535244926193;0.7446449692738116;0.7494581298006469;['dstport', 'Packet Length Total'];0.5200859187854593;0.6183534287411454;0.7480945514801407;0.799660184508163;0.5875155316750548;0.679172700805651;162954;0.6513087507797793;0.7715697672342173;0.7706530677369073;{'injection': {'precision': 0.8185108945115114, 'recall': 0.8367631642112902, 'f1-score': 0.8275363978836591, 'support': 11576.000000012227}, 'password': {'precision': 0.5945324167380062, 'recall': 0.46406942239679366, 'f1-score': 0.5212617341705625, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.5922157398385408, 'recall': 0.7802778227183994, 'f1-score': 0.6733624414236362, 'support': 1765.999999999777}, 'accuracy': 0.7494581298006469, 'macro avg': {'precision': 0.6684196836960195, 'recall': 0.6937034697754944, 'f1-score': 0.6740535244926193, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7461479495541382, 'recall': 0.7494581298006693, 'f1-score': 0.7446449692738116, 'support': 17074.0000000115}};{'injection': {'precision': 0.8571863426513114, 'recall': 0.8486685139762082, 'f1-score': 0.8529061623176946, 'support': 119453}, 'password': {'precision': 0.5991342986286677, 'recall': 0.5003038735885872, 'f1-score': 0.5452770660112606, 'support': 31263}, 'scanning': {'precision': 0.4608761166720482, 'recall': 0.6997875469848014, 'f1-score': 0.5557430240103829, 'support': 12238}, 'accuracy': 0.7706530677369073, 'macro avg': {'precision': 0.6390655859840092, 'recall': 0.6829199781831989, 'f1-score': 0.6513087507797793, 'support': 162954}, 'weighted avg': {'precision': 0.7779153483964043, 'recall': 0.7706530677369073, 'f1-score': 0.7715697672342173, 'support': 162954}}
[16];1;3;85;0.7660253934288916;0.8100082105264924;0.8106934027631513;['dstport', 'Packet Length Total', 'ip.len'];0.588255606690015;0.7004763261366015;0.8271293390423655;0.8534886668505292;0.679245498386973;0.7599332394807207;162954;0.7572533773927151;0.8401216856425566;0.8369539870147403;{'injection': {'precision': 0.8673494390076638, 'recall': 0.8610908145330891, 'f1-score': 0.8642087956352003, 'support': 11576.000000012227}, 'password': {'precision': 0.6828790811664236, 'recall': 0.6350228526680513, 'f1-score': 0.6580820788204482, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.7123815281131188, 'recall': 0.8515779182245563, 'f1-score': 0.7757853058310263, 'support': 1765.999999999777}, 'accuracy': 0.8106934027631513, 'macro avg': {'precision': 0.7542033494290687, 'recall': 0.7825638618085655, 'f1-score': 0.7660253934288916, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.8109996260697173, 'recall': 0.8106934027631176, 'f1-score': 0.8100082105264924, 'support': 17074.0000000115}};{'injection': {'precision': 0.909716895613974, 'recall': 0.8737327651879819, 'f1-score': 0.8913618098820998, 'support': 119453}, 'password': {'precision': 0.7065618786099801, 'recall': 0.7160541214854621, 'f1-score': 0.711276332094176, 'support': 31263}, 'scanning': {'precision': 0.5820588768663483, 'recall': 0.7868115705180585, 'f1-score': 0.6691219902018694, 'support': 12238}, 'accuracy': 0.8369539870147403, 'macro avg': {'precision': 0.7327792170301008, 'recall': 0.7921994857305009, 'f1-score': 0.7572533773927151, 'support': 162954}, 'weighted avg': {'precision': 0.8461338345658909, 'recall': 0.8369539870147403, 'f1-score': 0.8401216856425566, 'support': 162954}}
[12];1;4;85;0.6757912784613852;0.7521297309044037;0.757359085136494;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len'];0.589336950387105;0.7002626359753037;0.7112874746918457;0.7816139544858844;0.6350745781982704;0.7313138626617123;162954;0.6375962384651602;0.7699830102541427;0.7677319979871621;{'injection': {'precision': 0.8275670510674956, 'recall': 0.8530182669863527, 'f1-score': 0.8400999391498702, 'support': 11576.000000012227}, 'password': {'precision': 0.5880662843647277, 'recall': 0.4642778301614715, 'f1-score': 0.5188913678087138, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.6029960262781103, 'recall': 0.7496742348939334, 'f1-score': 0.6683825284255717, 'support': 1765.999999999777}, 'accuracy': 0.757359085136494, 'macro avg': {'precision': 0.6728764539034446, 'recall': 0.6889901106805859, 'f1-score': 0.6757912784613852, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7519896063496941, 'recall': 0.7573590851365021, 'f1-score': 0.7521297309044037, 'support': 17074.0000000115}};{'injection': {'precision': 0.862383137854836, 'recall': 0.8494386913681532, 'f1-score': 0.8558619729833455, 'support': 119453}, 'password': {'precision': 0.5897561527154864, 'recall': 0.5005277804433356, 'f1-score': 0.5414907606062703, 'support': 31263}, 'scanning': {'precision': 0.4258301796279516, 'recall': 0.652802745546658, 'f1-score': 0.5154359818058647, 'support': 12238}, 'accuracy': 0.7677319979871621, 'macro avg': {'precision': 0.6259898233994247, 'recall': 0.6675897391193822, 'f1-score': 0.6375962384651602, 'support': 162954}, 'weighted avg': {'precision': 0.7772936491697341, 'recall': 0.7677319979871621, 'f1-score': 0.7699830102541427, 'support': 162954}}
[15];1;5;85;0.6970988140498897;0.7601155319336015;0.7665814077911521;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length'];0.5892221951148707;0.70020765372657;0.7402784183268755;0.7919920684538707;0.6448380966123178;0.7349450897169613;162954;0.667319297018489;0.7804675494125177;0.7794346870896081;{'injection': {'precision': 0.8273380853903254, 'recall': 0.8509068953901873, 'f1-score': 0.8389569934541203, 'support': 11576.000000012227}, 'password': {'precision': 0.635399549963144, 'recall': 0.46428378466903386, 'f1-score': 0.5365284687751732, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.6168119797928746, 'recall': 0.8526645816555015, 'f1-score': 0.7158109799203757, 'support': 1765.999999999777}, 'accuracy': 0.7665814077911521, 'macro avg': {'precision': 0.6931832050487813, 'recall': 0.7226184205715742, 'f1-score': 0.6970988140498897, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7636093916631107, 'recall': 0.7665814077911691, 'f1-score': 0.7601155319336015, 'support': 17074.0000000115}};{'injection': {'precision': 0.8627271416821416, 'recall': 0.851749223543988, 'f1-score': 0.8572030364048426, 'support': 119453}, 'password': {'precision': 0.6521231820644248, 'recall': 0.5005597671368711, 'f1-score': 0.5663771263119798, 'support': 31263}, 'scanning': {'precision': 0.4575247336377473, 'recall': 0.7859944435365256, 'f1-score': 0.5783777283386448, 'support': 12238}, 'accuracy': 0.7794346870896081, 'macro avg': {'precision': 0.6574583524614379, 'recall': 0.7127678114057948, 'f1-score': 0.667319297018489, 'support': 162954}, 'weighted avg': {'precision': 0.7918913312130769, 'recall': 0.7794346870896081, 'f1-score': 0.7804675494125177, 'support': 162954}}
[13];1;6;85;0.6734145760393065;0.7544025112431187;0.7633125717582344;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length', 'Min Packet Length'];0.557043316837759;0.6860851349546331;0.7197779901697617;0.7886410246700402;0.6157886831479206;0.724151422407999;162954;0.6478490339419437;0.782949270849443;0.7863875694981406;{'injection': {'precision': 0.8061512155218861, 'recall': 0.8758711581988092, 'f1-score': 0.8395662386590581, 'support': 11576.000000012227}, 'password': {'precision': 0.6685239488790884, 'recall': 0.4638610146321158, 'f1-score': 0.5476974831445727, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.6095224101238808, 'recall': 0.6583154112587798, 'f1-score': 0.6329800063142885, 'support': 1765.999999999777}, 'accuracy': 0.7633125717582344, 'macro avg': {'precision': 0.6947325248416184, 'recall': 0.6660158613632349, 'f1-score': 0.6734145760393065, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7557311950554984, 'recall': 0.763312571758289, 'f1-score': 0.7544025112431187, 'support': 17074.0000000115}};{'injection': {'precision': 0.8468669486560024, 'recall': 0.8832930106401681, 'f1-score': 0.8646965301339102, 'support': 119453}, 'password': {'precision': 0.6988199535133203, 'recall': 0.5000799667338387, 'f1-score': 0.5829775333271185, 'support': 31263}, 'scanning': {'precision': 0.4376836970796073, 'recall': 0.5719071743748979, 'f1-score': 0.49587303836480223, 'support': 12238}, 'accuracy': 0.7863875694981406, 'macro avg': {'precision': 0.6611235330829767, 'recall': 0.6517600505829683, 'f1-score': 0.6478490339419437, 'support': 162954}, 'weighted avg': {'precision': 0.7877338323045314, 'recall': 0.7863875694981406, 'f1-score': 0.782949270849443, 'support': 162954}}
[12];1;7;85;0.624269903245856;0.7166302957420816;0.6859861614112441;['dstport', 'Packet Length Total', 'ip.len', 'tcp.hdr_len', 'Max Packet Length', 'Min Packet Length', 'tcp.window_size_value'];0.3655470616696918;0.4532052652831627;0.7419671832964762;0.7998925927204694;0.48758418699471884;0.5789888632228061;162954;0.6167067217989864;0.7420633436459814;0.6993077801097242;{'injection': {'precision': 0.9040142311829066, 'recall': 0.6821135986342326, 'f1-score': 0.7775418712876659, 'support': 11576.000000012227}, 'password': {'precision': 0.6909617813718111, 'recall': 0.6346060371386947, 'f1-score': 0.6615859434236604, 'support': 3731.9999999994957}, 'scanning': {'precision': 0.294803678272146, 'recall': 0.8199495875083234, 'f1-score': 0.4336818950262413, 'support': 1765.999999999777}, 'accuracy': 0.6859861614112441, 'macro avg': {'precision': 0.6299265636089545, 'recall': 0.7122230744270835, 'f1-score': 0.624269903245856, 'support': 17074.0000000115}, 'weighted avg': {'precision': 0.7944337240296965, 'recall': 0.6859861614109836, 'f1-score': 0.7166302957420816, 'support': 17074.0000000115}};{'injection': {'precision': 0.928789062942449, 'recall': 0.6864624580378894, 'f1-score': 0.7894483488976606, 'support': 119453}, 'password': {'precision': 0.718271422608919, 'recall': 0.7156063077759652, 'f1-score': 0.716936388399295, 'support': 31263}, 'scanning': {'precision': 0.22019761029411763, 'recall': 0.783052786403007, 'f1-score': 0.34373542810000357, 'support': 12238}, 'accuracy': 0.6993077801097242, 'macro avg': {'precision': 0.6224193652818285, 'recall': 0.7283738507389539, 'f1-score': 0.6167067217989864, 'support': 162954}, 'weighted avg': {'precision': 0.8351850078885231, 'recall': 0.6993077801097242, 'f1-score': 0.7420633436459814, 'support': 162954}}
